ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
55	"AT4G12020"	"WRKY19"	chr4	+	7208515	7208563	7208343	7208416	7208915	7209032
56	"AT3G47040"	"AT3G47040"	chr3	-	17326313	17326479	17325878	17326024	17326601	17326806
57	"AT2G33380"	"PXG3"	chr2	-	14145269	14145395	14144830	14145134	14145487	14145582
58	"AT5G11640"	"AT5G11640"	chr5	+	3742568	3742610	3742403	3742473	3742677	3742751
59	"AT2G22830"	"SQE2"	chr2	-	9725208	9725383	9724476	9725140	9725470	9725582
60	"AT5G20570"	"RBX1A"	chr5	-	6957268	6957340	6957023	6957095	6957753	6957813
61	"AT3G04970"	"PAT17"	chr3	+	1377321	1377374	1377149	1377222	1377485	1377577
62	"AT5G06800"	"AT5G06800"	chr5	+	2104699	2104739	2104539	2104616	2104833	2104888
63	"AT5G48970"	"AT5G48970"	chr5	-	19859233	19859403	19858924	19859041	19859529	19859763
64	"AT5G40280"	"FTB"	chr5	+	16103768	16103841	16103546	16103603	16103925	16104012
65	"AT1G03760"	"AT1G03760"	chr1	-	941914	941948	941693	941794	942030	942105
66	"AT4G33050"	"EDA39"	chr4	-	15945573	15945661	15945059	15945477	15945749	15945838
67	"AT3G17590"	"BSH"	chr3	-	6018267	6018306	6018059	6018142	6018409	6018493
68	"AT4G16162"	"AT4G16162"	chr4	-	9160388	9160446	9160079	9160151	9160535	9160607
69	"AT5G25470"	"AT5G25470"	chr5	-	8867349	8867430	8867132	8867251	8867583	8867637
70	"AT1G17140"	"ICR1"	chr1	-	5858247	5858310	5857847	5857957	5858452	5858550
71	"AT1G27385"	"AT1G27385"	chr1	-	9510826	9510901	9510602	9510638	9511132	9511185
72	"AT4G12590"	"AT4G12590"	chr4	-	7452120	7452169	7451834	7451934	7452250	7452370
73	"AT4G23470"	"AT4G23470"	chr4	+	12249469	12249491	12249070	12249385	12249817	12249874
74	"AT3G15395"	"AT3G15395"	chr3	+	5200850	5200880	5200638	5200757	5200969	5201089
75	"AT3G15395"	"AT3G15395"	chr3	+	5200850	5200880	5200638	5200757	5201004	5201089
76	"AT1G06220"	"MEE5"	chr1	+	1900296	1900429	1899963	1900107	1900511	1901264
77	"AT1G73602"	"CPuORF32"	chr1	+	27671553	27671691	27671311	27671449	27671798	27671942
78	"AT5G16280"	"AT5G16280"	chr5	-	5328699	5328783	5328416	5328536	5329041	5329192
79	"AT5G16280"	"AT5G16280"	chr5	-	5329675	5329735	5329469	5329550	5329841	5329962
80	"AT5G27000"	"ATK4"	chr5	+	9502550	9502754	9502244	9502471	9502836	9503134
81	"AT5G40490"	"AT5G40490"	chr5	+	16225906	16225947	16225375	16225607	16226050	16226214
82	"AT5G52920"	"PKP2"	chr5	+	21466324	21466433	21466099	21466248	21466504	21466880
83	"AT1G56280"	"ATDI19"	chr1	-	21073305	21073477	21072854	21073224	21073560	21073793
84	"AT1G56280"	"ATDI19"	chr1	-	21073908	21073974	21073560	21073793	21074056	21074199
85	"AT3G66654"	"CYP21-4"	chr3	+	2089355	2089441	2089131	2089182	2089738	2089876
86	"AT5G65940"	"CHY1"	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781
87	"AT5G65940"	"CHY1"	chr5	-	26378975	26379056	26378842	26378911	26379131	26379235
88	"AT2G45245"	"AT2G45245"	chr2	-	18659990	18660105	18659290	18659876	18660592	18660656
89	"AT4G16190"	"AT4G16190"	chr4	+	9172079	9172199	9171466	9171985	9172274	9172521
90	"AT1G67500"	"REV3"	chr1	-	25294487	25294579	25292788	25294409	25294657	25294841
91	"AT5G54200"	"AT5G54200"	chr5	-	21995308	21995399	21994885	21995043	21995636	21997076
92	"AT1G73875"	"CCR4-5"	chr1	+	27781917	27781970	27781778	27781844	27782311	27782393
93	"AT1G75850"	"VPS35B"	chr1	-	28478810	28478918	28478621	28478725	28479023	28479104
94	"AT3G55520"	"FKBP20-1"	chr3	+	20594401	20594535	20594154	20594285	20594620	20594700
95	"AT3G56150"	"TIF3C1"	chr3	-	20836796	20836851	20834953	20836708	20837064	20837157
96	"AT3G56150"	"TIF3C1"	chr3	-	20836796	20836874	20834953	20836708	20837064	20837160
97	"AT3G29130"	"AT3G29130"	chr3	-	11103190	11103335	11102722	11102875	11103805	11103852
98	"AT4G24680"	"MOS1"	chr4	+	12735670	12735787	12735164	12735267	12736011	12737089
99	"AT1G06500"	"AT1G06500"	chr1	+	1989667	1989705	1989478	1989526	1990136	1990730
100	"AT1G06500"	"AT1G06500"	chr1	+	1989667	1989773	1989485	1989526	1990136	1990728
101	"AT4G11600"	"GPX6"	chr4	-	7010723	7010785	7010510	7010629	7010875	7010952
102	"AT5G47430"	"AT5G47430"	chr5	-	19240430	19240609	19240067	19240164	19240801	19241221
103	"AT3G16700"	"AT3G16700"	chr3	+	5688438	5688491	5688064	5688230	5688826	5688889
104	"AT1G48590"	"AT1G48590"	chr1	+	17963787	17963883	17962838	17963104	17963986	17964427
105	"AT4G18020"	"APRR2"	chr4	-	10004207	10004273	10003974	10004098	10004481	10004736
106	"AT5G59250"	"AT5G59250"	chr5	+	23905999	23906062	23905849	23905897	23906164	23906245
107	"AT2G35140"	"AT2G35140"	chr2	+	14813621	14813686	14813420	14813489	14813974	14814289
108	"AT5G20090"	"MPC1"	chr5	-	6787901	6788002	6787761	6787816	6788522	6788637
109	"AT5G20090"	"MPC1"	chr5	-	6787901	6788005	6787761	6787816	6788522	6788637
110	"AT1G01790"	"KEA1"	chr1	+	289717	289776	289538	289592	290027	290094
111	"AT5G13260"	"AT5G13260"	chr5	+	4244406	4244456	4244261	4244324	4244548	4244576
112	"AT1G65260"	"VIPP1"	chr1	+	24238279	24238354	24237439	24237521	24238779	24238850
113	"AT3G18070"	"BGLU43"	chr3	+	6188084	6188167	6187930	6188002	6188265	6188517
114	"AT3G18070"	"BGLU43"	chr3	+	6189279	6189311	6188816	6189037	6189403	6189506
115	"AT1G67060"	"AT1G67060"	chr1	+	25038083	25038168	25037052	25037148	25038271	25038393
116	"AT1G64600"	"AT1G64600"	chr1	+	23996450	23996524	23995970	23996373	23996598	23996693
117	"AT1G10570"	"ULP1C"	chr1	+	3489673	3489776	3489484	3489589	3490054	3490152
118	"AT1G10570"	"ULP1C"	chr1	+	3490054	3490152	3489673	3489776	3490367	3490490
119	"AT3G19190"	"ATATG2"	chr3	+	6640611	6641612	6639710	6640085	6641750	6641899
120	"AT3G53190"	"AT3G53190"	chr3	+	19715541	19715750	19714515	19714770	19716125	19716376
121	"AT5G09300"	"T5E8_100"	chr5	-	2886132	2886270	2885855	2886038	2886563	2886863
122	"AT3G59300"	"AT3G59300"	chr3	+	21920404	21920503	21920190	21920307	21920716	21920870
123	"AT5G66420"	"AT5G66420"	chr5	-	26522762	26523010	26522459	26522638	26523128	26523342
124	"AT5G54750"	"AT5G54750"	chr5	+	22242403	22242501	22242063	22242136	22242750	22242850
125	"AT5G54750"	"AT5G54750"	chr5	+	22242403	22242540	22242063	22242136	22242750	22242850
126	"AT2G37080"	"ICR2"	chr2	-	15584037	15584111	15583685	15583866	15584945	15585186
127	"AT1G29940"	"NRPA2"	chr1	-	10480805	10480931	10480557	10480698	10481203	10481279
128	"AT5G13980"	"AT5G13980"	chr5	+	4513925	4514025	4513841	4513889	4514091	4514425
129	"AT5G13980"	"AT5G13980"	chr5	+	4513956	4514025	4513841	4513889	4514091	4514415
130	"AT1G24490"	"ALB3L1"	chr1	+	8682772	8682883	8682233	8682690	8682965	8683040
131	"AT5G22720"	"AT5G22720"	chr5	-	7548816	7548921	7548647	7548727	7549289	7549368
132	"AT5G22720"	"AT5G22720"	chr5	-	7549055	7549137	7548816	7548921	7549289	7549368
133	"AT1G17960"	"AT1G17960"	chr1	-	6182972	6183045	6182821	6182916	6183194	6183495
134	"AT2G24640"	"UBP19"	chr2	-	10478855	10478924	10478533	10478738	10479090	10479454
135	"AT5G09290"	"SAL4"	chr5	+	2883474	2883564	2883195	2883385	2883662	2883816
136	"AT1G54450"	"B''DELTA"	chr1	-	20337174	20337284	20336798	20337081	20337373	20337521
137	"AT1G54450"	"B''DELTA"	chr1	-	20338402	20338502	20338157	20338263	20338582	20338688
138	"AT5G67500"	"VDAC2"	chr5	+	26935796	26935877	26935500	26935568	26936147	26936258
139	"AT5G06839"	"TGA10"	chr5	+	2121859	2121988	2121561	2121653	2122112	2122178
140	"AT2G41490"	"GPT"	chr2	+	17303484	17303545	17303233	17303320	17303639	17303680
141	"AT4G33110"	"AT4G33110"	chr4	-	15973086	15973197	15972922	15973006	15973294	15973394
142	"AT4G03960"	"AT4G03960"	chr4	+	1888074	1888168	1887527	1887866	1888492	1888550
143	"AT1G09840"	"ASK10"	chr1	-	3200035	3200099	3199380	3199623	3200182	3200254
144	"AT1G26170"	"AT1G26170"	chr1	-	9053703	9053875	9053463	9053579	9053957	9054050
145	"AT3G56080"	"AT3G56080"	chr3	-	20811069	20811315	20810794	20810989	20811413	20811585
146	"AT4G15470"	"AT4G15470"	chr4	+	8844725	8844839	8843566	8843952	8845032	8845190
147	"AT1G34780"	"APRL4"	chr1	-	12749649	12749837	12749441	12749566	12749935	12750383
148	"AT1G34780"	"APRL4"	chr1	-	12749736	12749837	12749441	12749566	12749935	12750383
149	"AT2G36355"	"AT2G36355"	chr2	+	15242810	15242921	15242375	15242649	15243021	15243102
150	"AT2G36355"	"AT2G36355"	chr2	+	15242817	15242921	15242602	15242649	15243021	15243102
151	"AT3G58050"	"AT3G58050"	chr3	+	21493595	21493682	21493247	21493507	21493769	21493911
152	"AT2G40740"	"WRKY55"	chr2	+	16998376	16998508	16997176	16997622	16998975	16999277
153	"AT2G34357"	"AT2G34357"	chr2	+	14499052	14499111	14498589	14498723	14499205	14499757
154	"AT3G23890"	"TOP2"	chr3	+	8630082	8630187	8629807	8629994	8630275	8630349
155	"AT1G20890"	"AT1G20890"	chr1	-	7266971	7267082	7266736	7266875	7267226	7267323
156	"AT5G04540"	"MTM2"	chr5	-	1297882	1297947	1297415	1297695	1298026	1298086
157	"AT5G24750"	"AT5G24750"	chr5	-	8491614	8491654	8491079	8491304	8491767	8491827
158	"AT5G05200"	"AT5G05200"	chr5	-	1546777	1546901	1546462	1546605	1547028	1547164
159	"AT1G55310"	"SCL33"	chr1	+	20631686	20631722	20631041	20631119	20631884	20632055
160	"AT5G44290"	"AT5G44290"	chr5	-	17843432	17843493	17842764	17843307	17843576	17843678
161	"AT5G23020"	"MAM3"	chr5	+	7721287	7721362	7721087	7721121	7721511	7721839
162	"AT3G57550"	"GK-2"	chr3	+	21307231	21307271	21306722	21307018	21307349	21307463
163	"AT5G49970"	"PPOX1"	chr5	+	20331771	20331822	20331238	20331327	20331913	20332004
164	"AT5G49970"	"PPOX1"	chr5	+	20331913	20332004	20331238	20331327	20332200	20332305
165	"AT4G19830"	"FKBP17-1"	chr4	-	10773407	10773530	10773052	10773169	10773612	10774023
166	"AT5G40760"	"ACG12"	chr5	+	16312775	16312812	16312616	16312675	16312942	16313014
167	"AT2G25660"	"emb2410"	chr2	-	10920565	10920598	10920183	10920459	10920777	10920900
168	"AT1G05710"	"AT1G05710"	chr1	+	1716063	1716102	1714949	1715384	1716195	1716308
169	"AT1G05710"	"AT1G05710"	chr1	+	1716558	1716624	1716418	1716484	1716690	1716735
170	"AT5G11800"	"KEA6"	chr5	-	3804586	3804682	3804277	3804466	3804877	3804931
171	"AT5G11800"	"KEA6"	chr5	-	3805205	3805294	3805023	3805120	3805410	3805488
172	"AT1G73177"	"BNS"	chr1	-	27517140	27517194	27516571	27516782	27517276	27517388
173	"AT1G75560"	"AT1G75560"	chr1	-	28372562	28372748	28372027	28372120	28373191	28373241
174	"AT1G75560"	"AT1G75560"	chr1	-	28372562	28373050	28372027	28372120	28373191	28373241
175	"AT5G51100"	"FSD2"	chr5	-	20773624	20773648	20773295	20773557	20773873	20773992
176	"AT5G51100"	"FSD2"	chr5	-	20773751	20773778	20773624	20773648	20773873	20773992
177	"AT4G27340"	"AT4G27340"	chr4	-	13688449	13688520	13688015	13688158	13688814	13688981
178	"AT3G04450"	"AT3G04450"	chr3	+	1185615	1185676	1185427	1185473	1185772	1185842
179	"AT4G16860"	"RPP4"	chr4	-	9490994	9492072	9490478	9490811	9495230	9495816
180	"AT5G65400"	"AT5G65400"	chr5	+	26132080	26132122	26131884	26131983	26132351	26132496
181	"AT5G65400"	"AT5G65400"	chr5	+	26132740	26132842	26132351	26132496	26132970	26133259
182	"AT1G04080"	"PRP39"	chr1	+	1054284	1054385	1053806	1054200	1054662	1054806
183	"AT1G04080"	"PRP39"	chr1	+	1054464	1054528	1054284	1054385	1054662	1054806
184	"AT5G63050"	"EMB2759"	chr5	+	25293065	25293135	25292434	25292653	25293302	25293436
185	"AT4G23300"	"CRK22"	chr4	+	12182929	12183061	12181931	12182854	12183171	12183293
186	"AT4G13020"	"MHK"	chr4	+	7604046	7604125	7603650	7603954	7604203	7604272
187	"AT4G13020"	"MHK"	chr4	+	7606381	7606427	7606261	7606296	7606522	7606601
188	"AT5G17450"	"HIPP21"	chr5	+	5755805	5755881	5755321	5755463	5756447	5756888
189	"AT5G17450"	"HIPP21"	chr5	+	5755809	5755881	5755347	5755463	5756447	5756878
190	"AT2G20280"	"AT2G20280"	chr2	-	8741951	8742036	8741707	8741848	8742178	8742349
191	"AT4G11010"	"NDPK3"	chr4	-	6733428	6733479	6733170	6733338	6733559	6733597
192	"AT1G13770"	"RUS3"	chr1	+	4723820	4723864	4723610	4723749	4723965	4724153
193	"AT3G14150"	"GLO3"	chr3	-	4691309	4691379	4691117	4691218	4691487	4691550
194	"AT3G14150"	"GLO3"	chr3	-	4691623	4691681	4691487	4691550	4691791	4691916
195	"AT3G14150"	"GLO3"	chr3	-	4692200	4692247	4692025	4692103	4692332	4692457
196	"AT1G04930"	"AT1G04930"	chr1	-	1398280	1398370	1397829	1397882	1398439	1399053
197	"AT3G26080"	"PAP5"	chr3	+	9529586	9529682	9529385	9529499	9529993	9530068
198	"AT5G08720"	"AT5G08720"	chr5	-	2843066	2843133	2842563	2842791	2843282	2843383
199	"AT5G40710"	"AT5G40710"	chr5	+	16296160	16296218	16295844	16295967	16296401	16296475
200	"AT4G09720"	"RABG3A"	chr4	+	6133807	6133827	6133572	6133719	6133993	6134006
201	"AT4G09720"	"RABG3A"	chr4	+	6133993	6134006	6133572	6133719	6134287	6134368
202	"AT1G32550"	"FdC1"	chr1	-	11772867	11772915	11772599	11772668	11773118	11773207
203	"AT1G32550"	"FdC1"	chr1	-	11773466	11773530	11773118	11773207	11773883	11774187
204	"AT2G01260"	"AT2G01260"	chr2	-	136169	136255	135243	136087	136622	136851
205	"AT1G64625"	"BHLH157"	chr1	+	24017545	24017587	24017341	24017405	24017676	24017736
206	"AT2G38740"	"SGPP"	chr2	-	16195475	16195590	16195178	16195330	16195960	16196113
207	"AT3G19960"	"VIII-1"	chr3	+	6952776	6952839	6952477	6952616	6952911	6953030
208	"AT5G65070"	"MAF4"	chr5	+	25992897	25992993	25992242	25992494	25994432	25994490
209	"AT5G65070"	"MAF4"	chr5	+	25994432	25994490	25992259	25992494	25995046	25995108
210	"AT5G65070"	"MAF4"	chr5	+	25994605	25994698	25994432	25994490	25995046	25995108
211	"AT5G27350"	"SFP1"	chr5	+	9653542	9653657	9653381	9653441	9654036	9654426
212	"AT4G02200"	"DI19-5"	chr4	+	973258	973300	973063	973197	973529	973607
213	"AT2G16990"	"AT2G16990"	chr2	+	7386202	7386278	7385880	7386116	7386376	7386463
214	"AT2G16990"	"AT2G16990"	chr2	+	7387533	7387604	7387364	7387443	7387690	7387854
215	"AT1G28395"	"AT1G28395"	chr1	-	9969771	9969836	9969539	9969587	9970112	9970153
216	"AT1G28395"	"AT1G28395"	chr1	-	9970112	9970153	9969441	9969587	9971072	9971188
217	"AT1G28395"	"AT1G28395"	chr1	-	9970112	9970153	9969535	9969836	9971072	9971188
218	"AT5G11470"	"AT5G11470"	chr5	-	3666678	3667062	3666026	3666195	3667845	3667923
219	"AT1G19690"	"AT1G19690"	chr1	-	6808497	6808632	6808277	6808415	6808701	6808741
220	"AT5G45510"	"AT5G45510"	chr5	+	18445186	18448755	18444656	18444846	18448937	18449446
221	"AT5G45510"	"AT5G45510"	chr5	+	18445186	18448755	18444656	18444846	18449020	18449446
222	"AT3G44620"	"AT3G44620"	chr3	+	16194914	16194982	16194619	16194755	16195051	16195138
223	"AT3G29644"	"AT3G29644"	chr3	-	11500666	11500727	11499624	11499687	11501158	11501366
224	"AT2G20060"	"AT2G20060"	chr2	+	8659353	8659459	8659042	8659129	8659531	8659587
225	"AT3G22430"	"AT3G22430"	chr3	+	7956136	7956444	7953259	7954323	7957249	7957884
226	"AT4G00026"	"TIM21"	chr4	-	12923	12959	12790	12809	13171	13359
227	"AT3G54440"	"AT3G54440"	chr3	-	20151820	20151956	20150502	20150558	20152174	20152283
228	"AT3G21810"	"AT3G21810"	chr3	+	7686173	7686317	7684732	7684984	7686440	7686474
229	"AT3G27110"	"AT3G27110"	chr3	+	9999051	9999148	9998745	9998925	9999323	9999433
230	"AT5G15230"	"GASA4"	chr5	+	4945282	4945321	4944899	4945082	4945439	4945473
231	"AT3G55880"	"SUE4"	chr3	+	20738259	20738445	20737315	20737584	20738625	20738913
232	"AT5G64500"	"AT5G64500"	chr5	+	25782727	25782847	25782486	25782600	25782923	25783052
233	"AT5G64500"	"AT5G64500"	chr5	+	25783204	25783283	25782923	25783052	25783376	25783654
234	"AT1G72090"	"AT1G72090"	chr1	+	27124852	27124972	27124390	27124640	27125073	27125149
235	"AT3G12977"	"AT3G12977"	chr3	+	4144688	4144963	4143725	4144024	4145488	4145967
236	"AT5G13800"	"PPH"	chr5	-	4454309	4454360	4453514	4454150	4454511	4454623
237	"AT4G27870"	"MEBL"	chr4	+	13880821	13880974	13880450	13880594	13881166	13881499
238	"AT3G49010"	"RPL13B"	chr3	-	18167290	18167449	18166768	18167192	18167709	18167843
239	"AT3G49010"	"RPL13B"	chr3	-	18167296	18167449	18166768	18167192	18167709	18167843
240	"AT3G47060"	"FTSH7"	chr3	+	17336200	17336324	17335791	17336112	17336485	17336966
241	"AT4G23020"	"AT4G23020"	chr4	-	12067368	12067449	12067063	12067160	12067773	12068538
242	"AT4G17300"	"SYNO"	chr4	+	9683888	9683975	9683709	9683793	9684240	9684411
243	"AT5G06360"	"AT5G06360"	chr5	+	1945735	1945793	1945576	1945645	1945993	1946229
244	"AT1G68540"	"TKPR2"	chr1	+	25720700	25721053	25720257	25720622	25721140	25721410
245	"AT2G34310"	"AT2G34310"	chr2	-	14478359	14478487	14477744	14477985	14478557	14478653
246	"AT2G34310"	"AT2G34310"	chr2	-	14478425	14478487	14477783	14477985	14478557	14478653
247	"AT3G43740"	"AT3G43740"	chr3	+	15644749	15644893	15644587	15644659	15645035	15645107
248	"AT1G70730"	"PGM2"	chr1	-	26672343	26672425	26672192	26672248	26672645	26672711
249	"AT1G33810"	"AT1G33810"	chr1	+	12266290	12266405	12265032	12265311	12266581	12266847
250	"AT5G15680"	"AT5G15680"	chr5	-	5110297	5110416	5109941	5109987	5110697	5110833
251	"AT2G42240"	"AT2G42240"	chr2	+	17597956	17598029	17597654	17597711	17598259	17598308
252	"AT5G48545"	"HINT3"	chr5	+	19677544	19677600	19676967	19677034	19677693	19677747
253	"AT4G36140"	"AT4G36140"	chr4	-	17102643	17103597	17101234	17102357	17103690	17103825
254	"AT5G45600"	"TAF14B"	chr5	+	18488291	18488374	18487901	18488163	18488750	18488972
255	"AT5G45600"	"TAF14B"	chr5	+	18488294	18488374	18487949	18488163	18488750	18488972
256	"AT5G22120"	"AT5G22120"	chr5	-	7336223	7336306	7336074	7336137	7336435	7336814
257	"AT5G66600"	"AT5G66600"	chr5	-	26578058	26578103	26577855	26577937	26578238	26578426
258	"AT4G15110"	"CYP97B3"	chr4	-	8631062	8631149	8630887	8630976	8631233	8631293
259	"AT4G24620"	"PGI1"	chr4	-	12709518	12709675	12709348	12709427	12709761	12709900
260	"AT5G08535"	"AT5G08535"	chr5	+	2762592	2762594	2762441	2762517	2762709	2762940
261	"AT2G23590"	"MES8"	chr2	-	10034991	10035102	10034606	10034888	10035559	10036000
262	"AT3G27460"	"AT3G27460"	chr3	-	10159737	10159751	10159292	10159639	10159860	10160014
263	"AT1G79790"	"AT1G79790"	chr1	-	30017517	30017632	30017371	30017442	30017829	30017905
264	"AT1G79790"	"AT1G79790"	chr1	-	30017712	30017764	30017371	30017632	30017829	30017905
265	"AT1G79790"	"AT1G79790"	chr1	-	30017829	30017905	30017371	30017442	30017971	30018231
266	"AT3G57880"	"AT3G57880"	chr3	-	21433636	21433689	21430982	21433556	21434267	21434600
267	"AT4G33080"	"AT4G33080"	chr4	+	15963989	15964025	15963730	15963815	15964210	15964710
268	"AT5G55470"	"NHX4"	chr5	-	22471683	22471730	22471407	22471602	22471828	22471888
269	"AT5G23580"	"CPK12"	chr5	-	7951289	7951442	7950933	7951217	7951527	7951671
270	"AT5G59610"	"AT5G59610"	chr5	+	24014317	24014346	24013770	24013936	24014483	24014578
271	"AT4G23260"	"CRK18"	chr4	-	12167916	12168070	12167353	12167839	12168161	12168399
272	"AT5G08370"	"AGAL2"	chr5	-	2692888	2692923	2692707	2692811	2693019	2693076
273	"AT3G09350"	"Fes1A"	chr3	+	2871484	2871540	2871044	2871301	2871687	2871830
274	"AT5G09230"	"SRT2"	chr5	+	2871608	2871691	2871376	2871429	2871818	2872056
275	"AT5G09230"	"SRT2"	chr5	+	2871647	2871691	2871392	2871429	2871818	2872056
276	"AT2G34750"	"AT2G34750"	chr2	-	14661757	14661864	14661570	14661654	14661975	14662044
277	"AT2G34750"	"AT2G34750"	chr2	-	14661975	14662044	14661570	14661654	14662152	14662278
278	"AT1G66920"	"AT1G66920"	chr1	-	24966622	24966646	24965303	24966530	24966723	24967522
279	"AT2G32390"	"GLR3.5"	chr2	-	13749550	13749582	13749020	13749430	13749691	13749770
280	"AT4G17140"	"AT4G17140"	chr4	-	9618792	9618897	9618447	9618629	9618978	9619055
281	"AT4G17140"	"AT4G17140"	chr4	-	9618792	9618901	9618447	9618629	9618978	9619055
