ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
28	"AT4G11670"	"AT4G11670"	chr4	-	7047882	7047975	7048107	7048263	7047503	7047575	7048350	7048536
29	"AT2G17190"	"DSK2A"	chr2	-	7478502	7478592	7478736	7478765	7478264	7478420	7479154	7479210
30	"AT1G60640"	"AT1G60640"	chr1	-	22338173	22338233	22338466	22338526	22338008	22338074	22338617	22338683
31	"AT5G52070"	"AT5G52070"	chr5	+	21162095	21162208	21163578	21163648	21161310	21161353	21163726	21163968
32	"AT2G14530"	"TBL13"	chr2	+	6188028	6188206	6188432	6188573	6187420	6187883	6189083	6189204
33	"AT5G62575"	"SDH7B"	chr5	+	25117686	25117755	25118053	25118156	25117519	25117601	25118494	25118892
34	"AT5G62575"	"SDH7B"	chr5	+	25117689	25117755	25118053	25118156	25117487	25117601	25118494	25118735
35	"AT3G55080"	"AT3G55080"	chr3	-	20412581	20412665	20412826	20412862	20412265	20412399	20413137	20413218
36	"AT3G55080"	"AT3G55080"	chr3	-	20412581	20412665	20412826	20412877	20412265	20412399	20413137	20413218
37	"AT4G33925"	"AT4G33925"	chr4	+	16263437	16263459	16263574	16263680	16263236	16263352	16263761	16263869
38	"AT3G28080"	"AT3G28080"	chr3	+	10452019	10452133	10453377	10453624	10451837	10451903	10454443	10454605
39	"AT3G28080"	"AT3G28080"	chr3	+	10452019	10452133	10453377	10453624	10451837	10451903	10454695	10454844
40	"AT3G28080"	"AT3G28080"	chr3	+	10453377	10453624	10454443	10454605	10452019	10452133	10454695	10454844
41	"AT5G10290"	"AT5G10290"	chr5	-	3236705	3236846	3236945	3237016	3235866	3236603	3237095	3237161
42	"AT1G66880"	"AT1G66880"	chr1	+	24950291	24950846	24952951	24953677	24948885	24949495	24953891	24953921
43	"AT1G66880"	"AT1G66880"	chr1	+	24951434	24952058	24952951	24953677	24950291	24950846	24953891	24953921
44	"AT1G06370"	"AT1G06370"	chr1	-	1943443	1943653	1943753	1943797	1943195	1943343	1943893	1944023
45	"AT3G60910"	"AT3G60910"	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708
46	"AT3G16230"	"AT3G16230"	chr3	+	5500490	5500588	5500758	5500807	5500177	5500272	5500945	5501069
47	"AT1G80420"	"XRCC1"	chr1	-	30236227	30236313	30236338	30236388	30236021	30236135	30236483	30236595
48	"AT4G26555"	"FKBP16-1"	chr4	-	13405078	13405139	13405229	13405323	13404951	13404997	13405430	13405465
49	"AT2G33980"	"NUDT22"	chr2	-	14353898	14353980	14354398	14354645	14352471	14352578	14355447	14355545
50	"AT5G10710"	"AT5G10710"	chr5	+	3380207	3380266	3380325	3380342	3380008	3380079	3380520	3380619
51	"AT2G45140"	"PVA12"	chr2	+	18611958	18612009	18612541	18612619	18611719	18611878	18612857	18613290
52	"AT1G51070"	"BHLH115"	chr1	+	18928692	18928755	18928858	18928936	18927886	18928130	18929018	18929181
53	"AT3G10030"	"AT3G10030"	chr3	-	3093464	3093556	3093630	3093684	3092909	3093145	3093769	3093914
54	"AT5G42620"	"AT5G42620"	chr5	+	17069472	17069572	17069811	17069881	17069262	17069389	17069965	17070118
55	"AT5G35180"	"AT5G35180"	chr5	+	13425403	13425469	13425637	13425696	13425138	13425192	13425916	13425993
56	"AT3G28130"	"AT3G28130"	chr3	+	10467731	10467978	10468076	10468238	10466086	10466200	10468314	10468463
57	"AT3G56160"	"BASS4"	chr3	-	20839033	20839055	20839374	20839488	20838308	20838394	20839733	20839802
58	"AT1G54730"	"AT1G54730"	chr1	+	20428048	20428111	20428387	20428447	20427299	20427343	20428788	20428842
59	"AT1G30810"	"JMJ18"	chr1	-	10941469	10941580	10941766	10941825	10941018	10941105	10942045	10942292
60	"AT4G27040"	"VP22-1"	chr4	-	13574948	13575081	13575225	13575299	13574741	13574852	13575398	13575538
61	"AT2G36010"	"E2FA"	chr2	+	15120718	15120760	15120800	15120854	15120479	15120666	15120938	15121113
62	"AT1G03090"	"MCCA"	chr1	+	741147	741207	741508	741601	740969	741065	741683	741795
63	"AT1G18700"	"AT1G18700"	chr1	+	6439895	6439938	6439972	6440030	6439529	6439640	6440188	6440285
64	"AT4G04330"	"AT4G04330"	chr4	-	2117037	2117054	2118002	2118120	2116865	2116928	2118202	2118297
65	"AT2G14285"	"AT2G14285"	chr2	-	6053097	6053135	6053487	6053537	6052852	6052917	6053917	6053994
66	"AT4G35570"	"HMGB5"	chr4	-	16887665	16887710	16887810	16887868	16887508	16887589	16887968	16888055
67	"AT3G23255"	"AT3G23255"	chr3	+	8312156	8312200	8312274	8312391	8311965	8312086	8312486	8312570
68	"AT3G62750"	"BGLU8"	chr3	+	23215853	23216083	23216168	23216194	23215673	23215789	23216267	23216355
69	"AT4G02120"	"AT4G02120"	chr4	+	942339	942386	942473	942543	942202	942265	942609	942672
70	"AT4G02120"	"AT4G02120"	chr4	+	942473	942543	942609	942672	942202	942265	942737	942827
71	"AT4G02120"	"AT4G02120"	chr4	+	942473	942543	942609	942672	942339	942386	942737	942827
72	"AT5G10510"	"AIL6"	chr5	+	3318742	3318811	3318812	3318821	3317438	3317521	3318903	3318992
73	"AT3G52072"	"AT3G52072"	chr3	-	19313645	19313836	19314090	19314213	19313233	19313532	19314478	19314577
