ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
20	"AT5G28850"	"B''BETA"	chr5	-	10879268	10879556	10879268	10879359	10879450	10879556
21	"AT2G45950"	"ASK20"	chr2	-	18904323	18904832	18904323	18904624	18904716	18904832
22	"AT3G16760"	"AT3G16760"	chr3	+	5703012	5704466	5703012	5704311	5704368	5704466
23	"AT1G07890"	"APX1"	chr1	+	2439277	2439665	2439277	2439336	2439419	2439665
24	"AT2G45830"	"DTA2"	chr2	+	18866060	18867160	18866060	18866503	18866606	18867160
25	"AT2G34260"	"AT2G34260"	chr2	+	14466212	14466446	14466212	14466277	14466358	14466446
26	"AT2G38660"	"FOLD1"	chr2	+	16168029	16168386	16168029	16168090	16168238	16168386
27	"AT5G44990"	"AT5G44990"	chr5	+	18163357	18163816	18163357	18163573	18163639	18163816
28	"AT3G04970"	"PAT17"	chr3	+	1377836	1378500	1377836	1377962	1378048	1378500
29	"AT3G11620"	"AT3G11620"	chr3	-	3669784	3670110	3669784	3669889	3670059	3670110
30	"AT4G33050"	"EDA39"	chr4	-	15945059	15945477	15945059	15945161	15945246	15945477
31	"AT4G33050"	"EDA39"	chr4	-	15945749	15946018	15945749	15945838	15945952	15946018
32	"AT4G23470"	"AT4G23470"	chr4	+	12249469	12249874	12249469	12249491	12249817	12249874
33	"AT4G23470"	"AT4G23470"	chr4	+	12250809	12251396	12250809	12250957	12251023	12251396
34	"AT3G59950"	"ATG4B"	chr3	-	22146421	22146963	22146421	22146796	22146890	22146963
35	"AT5G07770"	"FH16"	chr5	+	2475710	2475955	2475710	2475827	2475908	2475955
36	"AT1G14170"	"AT1G14170"	chr1	-	4844653	4845283	4844653	4845126	4845225	4845283
37	"AT1G14170"	"AT1G14170"	chr1	-	4844653	4845283	4844653	4845150	4845225	4845283
38	"AT5G16880"	"AT5G16880"	chr5	+	5550833	5551463	5550833	5550909	5550986	5551463
39	"AT5G65940"	"CHY1"	chr5	-	26377037	26377257	26377037	26377079	26377155	26377257
40	"AT1G67500"	"REV3"	chr1	-	25294487	25294841	25294487	25294579	25294657	25294841
41	"AT5G24770"	"VSP2"	chr5	-	8500475	8501193	8500475	8500887	8500980	8501193
42	"AT3G04910"	"WNK1"	chr3	+	1355717	1356244	1355717	1355945	1356023	1356244
43	"AT2G40050"	"AT2G40050"	chr2	-	16723880	16725774	16723880	16724471	16724658	16725774
44	"AT5G57290"	"RPP3B"	chr5	-	23206801	23207213	23206801	23207114	23207167	23207213
45	"AT2G40160"	"TBL30"	chr2	+	16778714	16779408	16778714	16779041	16779103	16779408
46	"AT3G61280"	"AT3G61280"	chr3	+	22682701	22683080	22682701	22682766	22682869	22683080
47	"AT3G60600"	"PVA11"	chr3	+	22401521	22401990	22401521	22401575	22401912	22401990
48	"AT1G75380"	"BBD1"	chr1	-	28281388	28281850	28281388	28281708	28281783	28281850
49	"AT1G72830"	"NFYA3"	chr1	-	27406172	27406343	27406172	27406250	27406325	27406343
50	"AT3G10300"	"CML49"	chr3	+	3187558	3187844	3187558	3187734	3187825	3187844
51	"AT3G10300"	"CML49"	chr3	+	3187558	3188205	3187558	3187746	3187966	3188205
52	"AT3G10300"	"CML49"	chr3	+	3187558	3188205	3187558	3187844	3187966	3188205
53	"AT3G16700"	"AT3G16700"	chr3	+	5689215	5689448	5689215	5689266	5689330	5689448
54	"AT5G40520"	"AT5G40520"	chr5	-	16233788	16233968	16233788	16233822	16233908	16233968
55	"AT1G53260"	"AT1G53260"	chr1	-	19859266	19860060	19859266	19859671	19859781	19860060
56	"AT5G57360"	"ADO1"	chr5	+	23242671	23244590	23242671	23244215	23244323	23244590
57	"AT2G26430"	"CYCL1-1"	chr2	-	11245186	11245528	11245186	11245261	11245352	11245528
58	"AT2G26430"	"CYCL1-1"	chr2	-	11245186	11245528	11245186	11245268	11245352	11245528
59	"AT5G22791"	"AT5G22791"	chr5	-	7603499	7604822	7603499	7604205	7604330	7604822
60	"AT5G22820"	"AT5G22820"	chr5	-	7623880	7624408	7623880	7624041	7624136	7624408
61	"AT1G56145"	"AT1G56145"	chr1	-	21008863	21009387	21008863	21009095	21009176	21009387
62	"AT2G37340"	"RS2Z33"	chr2	-	15671324	15671600	15671324	15671420	15671560	15671600
63	"AT2G33360"	"AT2G33360"	chr2	+	14140803	14142535	14140803	14141195	14141660	14142535
64	"AT5G46290"	"KAS1"	chr5	-	18775641	18776073	18775641	18775782	18775947	18776073
65	"AT1G65120"	"AT1G65120"	chr1	-	24191644	24191956	24191644	24191734	24191822	24191956
66	"AT5G27090"	"AGL54"	chr5	+	9531844	9532408	9531844	9532084	9532174	9532408
67	"AT3G25090"	"AT3G25090"	chr3	-	9140038	9141094	9140038	9140433	9140511	9141094
68	"AT1G03520"	"AT1G03520"	chr1	-	878910	880158	878910	879300	879931	880158
69	"AT1G02880"	"TPK1"	chr1	-	643876	644256	643876	643949	644159	644256
70	"AT2G01060"	"AT2G01060"	chr2	-	74508	74907	74508	74585	74784	74907
71	"AT1G73470"	"AT1G73470"	chr1	+	27625148	27625485	27625148	27625294	27625406	27625485
72	"AT1G05710"	"AT1G05710"	chr1	+	1716558	1716735	1716558	1716624	1716690	1716735
73	"AT5G04510"	"PDPK1"	chr5	+	1289000	1289512	1289000	1289173	1289289	1289512
74	"AT5G66040"	"STR16"	chr5	+	26410731	26410993	26410731	26410805	26410868	26410993
75	"AT5G49350"	"AT5G49350"	chr5	-	20010433	20010930	20010433	20010549	20010780	20010930
76	"AT4G09760"	"F17A8.110"	chr4	-	6149383	6149883	6149383	6149501	6149690	6149883
77	"AT1G13770"	"RUS3"	chr1	+	4721694	4722005	4721694	4721838	4721947	4722005
78	"AT3G15400"	"ATA20"	chr3	+	5201643	5203197	5201643	5201829	5201969	5203197
79	"AT2G32770"	"PAP13"	chr2	+	13895837	13896965	13895837	13896105	13896397	13896965
80	"AT2G32770"	"PAP13"	chr2	+	13897639	13898203	13897639	13897912	13898086	13898203
81	"AT4G04692"	"AT4G04692"	chr4	-	2375601	2376364	2375601	2375978	2376114	2376364
82	"AT5G19940"	"PAP8"	chr5	+	6740470	6740957	6740470	6740609	6740707	6740957
83	"AT1G20100"	"AT1G20100"	chr1	-	6969106	6969819	6969106	6969507	6969619	6969819
84	"AT4G00460"	"ROPGEF3"	chr4	-	211352	212087	211352	211697	211787	212087
85	"AT2G01260"	"AT2G01260"	chr2	-	135243	136087	135243	135717	135995	136087
86	"AT4G24830"	"AT4G24830"	chr4	-	12792872	12793637	12792872	12793344	12793476	12793637
87	"AT1G13860"	"QUL1"	chr1	-	4743308	4743903	4743308	4743523	4743668	4743903
88	"AT5G51630"	"AT5G51630"	chr5	+	20970622	20971712	20970622	20970810	20970954	20971712
89	"AT3G10020"	"AT3G10020"	chr3	-	3091042	3091766	3091042	3091175	3091290	3091766
90	"AT4G02200"	"DI19-5"	chr4	+	974085	974692	974085	974159	974309	974692
91	"AT1G75190"	"AT1G75190"	chr1	+	28219381	28220227	28219381	28219804	28219915	28220227
92	"AT2G03600"	"UPS3"	chr2	+	1097271	1097729	1097271	1097396	1097590	1097729
93	"AT2G03600"	"UPS3"	chr2	+	1097271	1097729	1097271	1097521	1097590	1097729
94	"AT1G65040"	"HRD1B"	chr1	-	24162832	24163379	24162832	24163023	24163236	24163379
95	"AT3G44620"	"AT3G44620"	chr3	+	16194914	16195138	16194914	16194982	16195051	16195138
96	"AT4G02405"	"AT4G02405"	chr4	-	1057853	1058309	1057853	1058070	1058141	1058309
97	"AT5G36700"	"PGLP1B"	chr5	-	14421634	14422035	14421634	14421791	14421889	14422035
98	"AT5G36700"	"PGLP1B"	chr5	-	14421634	14422240	14421634	14422035	14422136	14422240
99	"AT1G76630"	"SKI3"	chr1	+	28762810	28763184	28762810	28762906	28762990	28763184
100	"AT5G64630"	"FAS2"	chr5	+	25835674	25836384	25835674	25835775	25835841	25836384
101	"AT1G49180"	"AT1G49180"	chr1	-	18184653	18185040	18184653	18184820	18184942	18185040
102	"AT1G34047"	"AT1G34047"	chr1	-	12390237	12390675	12390237	12390421	12390500	12390675
103	"AT1G76990"	"ACR3"	chr1	+	28934840	28935539	28934840	28935187	28935271	28935539
104	"AT2G32840"	"AT2G32840"	chr2	-	13933290	13933577	13933290	13933370	13933463	13933577
105	"AT1G29120"	"AT1G29120"	chr1	+	10177613	10177958	10177613	10177782	10177860	10177958
106	"AT1G29120"	"AT1G29120"	chr1	+	10177613	10177958	10177613	10177784	10177860	10177958
107	"AT1G11170"	"AT1G11170"	chr1	+	3743983	3744148	3743983	3744010	3744112	3744148
108	"AT1G68540"	"TKPR2"	chr1	+	25720700	25721053	25720700	25720830	25720911	25721053
109	"AT2G47860"	"SETH6"	chr2	+	19599947	19601439	19599947	19600073	19600136	19601439
110	"AT2G47860"	"SETH6"	chr2	+	19600136	19601439	19600136	19600203	19600272	19601439
111	"AT3G43740"	"AT3G43740"	chr3	+	15644587	15644893	15644587	15644659	15644749	15644893
112	"AT3G06820"	"BRCC36B"	chr3	-	2152574	2152923	2152574	2152662	2152794	2152923
113	"AT1G28610"	"AT1G28610"	chr1	-	10054233	10054760	10054233	10054510	10054614	10054760
114	"AT2G47890"	"COL13"	chr2	+	19608793	19609310	19608793	19608955	19609038	19609310
115	"AT5G66600"	"AT5G66600"	chr5	-	26578238	26578826	26578238	26578426	26578518	26578826
116	"AT4G19490"	"VPS54"	chr4	+	10622786	10623521	10622786	10623043	10623266	10623521
117	"AT1G79790"	"AT1G79790"	chr1	-	30017371	30017632	30017371	30017442	30017517	30017632
118	"AT4G32551"	"LUG"	chr4	+	15710236	15710476	15710236	15710312	15710426	15710476
119	"AT1G75390"	"AtbZIP44"	chr1	+	28291697	28293008	28291697	28292538	28292608	28293008
120	"AT1G34380"	"AT1G34380"	chr1	-	12553034	12553605	12553034	12553257	12553370	12553605
121	"AT1G65060"	"4CL3"	chr1	-	24167769	24168150	24167769	24167837	24168004	24168150
122	"AT5G09230"	"SRT2"	chr5	+	2873143	2873443	2873143	2873271	2873343	2873443
123	"AT1G14320"	"RPL10A"	chr1	+	4888548	4889050	4888548	4888766	4888937	4889050
124	"AT4G28397"	"AT4G28397"	chr4	+	14045923	14046187	14045923	14045984	14046065	14046187
125	"AT2G19640"	"ASHR2"	chr2	+	8491387	8492920	8491387	8492388	8492464	8492920
126	"AT2G32390"	"GLR3.5"	chr2	-	13749691	13749969	13749691	13749770	13749873	13749969
127	"AT5G45370"	"AT5G45370"	chr5	+	18389243	18389685	18389243	18389359	18389431	18389685
128	"AT5G04320"	"AT5G04320"	chr5	+	1209745	1209960	1209745	1209835	1209922	1209960
129	"AT2G32480"	"ARASP"	chr2	-	13788516	13790073	13788516	13788996	13789107	13790073
130	"AT2G03280"	"AT2G03280"	chr2	-	997430	997763	997430	997593	997674	997763
131	"AT1G12760"	"AT1G12760"	chr1	+	4348497	4349359	4348497	4348827	4348882	4349359
132	"AT3G19180"	"CDP1"	chr3	+	6635731	6636782	6635731	6636484	6636591	6636782
133	"AT5G55670"	"AT5G55670"	chr5	-	22544655	22546801	22544655	22545207	22545582	22546801
134	"AT2G16980"	"AT2G16980"	chr2	+	7380438	7380753	7380438	7380517	7380682	7380753
135	"AT4G29020"	"AT4G29020"	chr4	+	14304920	14305721	14304920	14305287	14305422	14305721
136	"AT5G05740"	"EGY2"	chr5	-	1725809	1726058	1725809	1725920	1726007	1726058
137	"AT3G26085"	"AT3G26085"	chr3	+	9531001	9531384	9531001	9531042	9531129	9531384
138	"AT5G58320"	"NET4A"	chr5	+	23578091	23579786	23578091	23579429	23579523	23579786
139	"AT5G58320"	"NET4A"	chr5	+	23578091	23579786	23578091	23579429	23579528	23579786
140	"AT5G48440"	"AT5G48440"	chr5	-	19630109	19630453	19630109	19630198	19630294	19630453
141	"AT5G09410"	"CMTA1"	chr5	+	2923708	2923995	2923708	2923783	2923884	2923995
142	"AT1G11450"	"AT1G11450"	chr1	+	3853757	3854111	3853757	3853820	3853994	3854111
143	"AT4G16280"	"FCA"	chr4	-	9211428	9213665	9211428	9211511	9213586	9213665
144	"AT4G16280"	"FCA"	chr4	-	9214078	9214825	9214078	9214282	9214486	9214825
145	"AT1G01060"	"LHY"	chr1	-	37372	37780	37372	37398	37568	37780
146	"AT2G38010"	"AT2G38010"	chr2	+	15907566	15908254	15907566	15907900	15908005	15908254
147	"AT4G35860"	"RABB1B"	chr4	-	16988539	16989047	16988539	16988679	16988793	16989047
148	"AT1G29170"	"SCAR3"	chr1	-	10190529	10190839	10190529	10190632	10190746	10190839
149	"AT1G29170"	"SCAR3"	chr1	-	10190529	10190839	10190529	10190646	10190746	10190839
150	"AT5G45710"	"HSFA4C"	chr5	+	18541502	18542863	18541502	18541791	18541884	18542863
151	"AT1G33050"	"AT1G33050"	chr1	-	11968347	11968675	11968347	11968507	11968588	11968675
152	"AT1G25280"	"TULP10"	chr1	+	8865424	8865728	8865424	8865512	8865595	8865728
153	"AT1G08350"	"TMN5"	chr1	-	2635208	2635622	2635208	2635249	2635459	2635622
154	"AT1G68530"	"CUT1"	chr1	-	25712587	25714807	25712587	25713329	25713688	25714807
155	"AT1G77480"	"AT1G77480"	chr1	-	29114557	29115061	29114557	29114834	29114973	29115061
156	"AT1G48740"	"AT1G48740"	chr1	-	18023386	18023827	18023386	18023625	18023715	18023827
157	"AT5G23840"	"AT5G23840"	chr5	+	8036382	8036982	8036382	8036561	8036651	8036982
158	"AT2G28560"	"RAD51B"	chr2	-	12238811	12239124	12238811	12238925	12239002	12239124
159	"AT5G44120"	"CRA1"	chr5	-	17756979	17757822	17756979	17757426	17757556	17757822
160	"AT5G66180"	"AT5G66180"	chr5	+	26450357	26450585	26450357	26450425	26450523	26450585
161	"AT2G44920"	"AT2G44920"	chr2	+	18526083	18526338	18526083	18526165	18526277	18526338
162	"AT4G20095"	"AT4G20095"	chr4	-	10872062	10872322	10872062	10872137	10872200	10872322
163	"AT4G07410"	"AT4G07410"	chr4	-	4204691	4205224	4204691	4204835	4204977	4205224
164	"AT2G47090"	"AT2G47090"	chr2	-	19343679	19343988	19343679	19343833	19343902	19343988
165	"AT4G12780"	"AT4G12780"	chr4	+	7513758	7515229	7513758	7513910	7513991	7515229
166	"AT3G07700"	"AT3G07700"	chr3	-	2460653	2460909	2460653	2460738	2460825	2460909
167	"AT1G11270"	"AT1G11270"	chr1	-	3785696	3786674	3785696	3785848	3785997	3786674
168	"AT5G49070"	"KCS20"	chr5	-	19888750	19890145	19888750	19889073	19889206	19890145
169	"AT3G58640"	"AT3G58640"	chr3	-	21692426	21692821	21692426	21692693	21692791	21692821
170	"AT5G12150"	"ROPGAP6"	chr5	-	3924125	3924769	3924125	3924578	3924652	3924769
171	"AT2G26980"	"CIPK3"	chr2	-	11515562	11515817	11515562	11515619	11515703	11515817
172	"AT2G26980"	"CIPK3"	chr2	-	11515562	11515817	11515562	11515637	11515703	11515817
173	"AT1G30330"	"ARF6"	chr1	-	10689993	10690838	10689993	10690218	10690304	10690838
174	"AT4G02005"	"AT4G02005"	chr4	-	876907	878628	876907	878510	878578	878628
175	"AT5G21105"	"AT5G21105"	chr5	+	7176446	7177841	7176446	7177256	7177639	7177841
176	"AT1G11230"	"AT1G11230"	chr1	-	3763267	3764483	3763267	3763785	3763905	3764483
177	"AT1G17980"	"PAPS1"	chr1	-	6190899	6191184	6190899	6191007	6191106	6191184
178	"AT1G71020"	"PUB10"	chr1	-	26792481	26793175	26792481	26792598	26792811	26793175
179	"AT5G23510"	"AT5G23510"	chr5	+	7928901	7929338	7928901	7928947	7929060	7929338
180	"AT5G14200"	"IMDH3"	chr5	+	4577743	4578240	4577743	4577950	4578036	4578240
181	"AT3G29185"	"AT3G29185"	chr3	-	11154928	11155382	11154928	11155198	11155264	11155382
182	"AT3G29185"	"AT3G29185"	chr3	-	11155953	11156304	11155953	11156072	11156183	11156304
183	"AT2G38185"	"AT2G38185"	chr2	+	16000144	16000583	16000144	16000377	16000476	16000583
184	"AT5G13290"	"CRN"	chr5	-	4253319	4254436	4253319	4253782	4253857	4254436
185	"AT1G51770"	"AT1G51770"	chr1	+	19202543	19203224	19202543	19202626	19202707	19203224
186	"AT3G54760"	"AT3G54760"	chr3	-	20269641	20272046	20269641	20270980	20271073	20272046
187	"AT5G58260"	"ndhN"	chr5	-	23561210	23561478	23561210	23561296	23561361	23561478
188	"AT1G09090"	"RBOHB"	chr1	+	2935466	2935717	2935466	2935569	2935643	2935717
189	"AT1G13580"	"LAG13"	chr1	-	4645122	4645575	4645122	4645307	4645389	4645575
190	"AT2G20990"	"SYT1"	chr2	+	9016805	9017613	9016805	9017052	9017124	9017613
191	"AT1G15340"	"MBD10"	chr1	-	5275676	5276986	5275676	5276725	5276881	5276986
192	"AT3G59820"	"AT3G59820"	chr3	-	22101178	22102164	22101178	22101821	22102074	22102164
193	"AT2G46550"	"AT2G46550"	chr2	-	19111988	19113472	19111988	19113175	19113258	19113472
194	"AT1G58350"	"ZW18"	chr1	-	21666654	21667445	21666654	21667007	21667179	21667445
195	"AT3G59770"	"SAC9"	chr3	-	22084712	22085562	22084712	22084845	22084966	22085562
196	"AT4G00430"	"PIP1.4"	chr4	-	186332	186897	186332	186473	186601	186897
197	"AT2G23550"	"MES6"	chr2	-	10028395	10028777	10028395	10028547	10028634	10028777
198	"AT3G52640"	"AT3G52640"	chr3	-	19515628	19516245	19515628	19516073	19516160	19516245
199	"AT4G35790"	"PLDDELTA"	chr4	-	16956346	16956836	16956346	16956547	16956686	16956836
200	"AT2G41430"	"ERD15"	chr2	+	17269231	17270075	17269231	17269402	17269719	17270075
201	"AT2G41430"	"ERD15"	chr2	+	17269231	17270075	17269231	17269490	17269719	17270075
202	"AT2G41430"	"ERD15"	chr2	+	17269231	17270075	17269231	17269509	17269719	17270075
203	"AT1G07880"	"MPK13"	chr1	-	2434437	2435059	2434437	2434621	2434726	2435059
204	"AT5G18310"	"AT5G18310"	chr5	+	6062149	6062404	6062149	6062261	6062345	6062404
205	"AT5G55610"	"AT5G55610"	chr5	+	22527210	22527679	22527210	22527297	22527430	22527679
206	"AT4G26110"	"NAP1	chr4	+	13235009	13235879	13235009	13235027	13235430	13235879
207	"AT1G02090"	"CSN7"	chr1	-	387583	388406	387583	387655	388267	388406
208	"AT1G02090"	"CSN7"	chr1	-	387583	388406	387583	387672	388267	388406
209	"AT4G13940"	"SAHH1"	chr4	+	8054860	8055641	8054860	8055242	8055377	8055641
210	"AT4G13940"	"SAHH1"	chr4	+	8055929	8057181	8055929	8056139	8056706	8057181
211	"AT1G02630"	"ETN8"	chr1	-	560609	561695	560609	561320	561452	561695
212	"AT2G43090"	"AT2G43090"	chr2	+	17918926	17919724	17918926	17919329	17919416	17919724
213	"AT2G37290"	"AT2G37290"	chr2	-	15659045	15659292	15659045	15659138	15659240	15659292
214	"AT2G34840"	"AT2G34840"	chr2	+	14702487	14702958	14702487	14702776	14702868	14702958
215	"AT3G54620"	"BZIP25"	chr3	-	20218483	20218789	20218483	20218536	20218713	20218789
216	"AT3G54620"	"BZIP25"	chr3	-	20218483	20218789	20218483	20218609	20218713	20218789
217	"AT3G57050"	"CBL"	chr3	-	21112220	21112520	21112220	21112323	21112412	21112520
218	"AT3G15840"	"PIFI"	chr3	-	5357965	5358252	5357965	5358050	5358143	5358252
219	"AT5G05540"	"SDN2"	chr5	+	1638142	1638441	1638142	1638250	1638336	1638441
220	"AT5G20160"	"AT5G20160"	chr5	-	6804658	6804979	6804658	6804762	6804858	6804979
221	"AT5G10320"	"AT5G10320"	chr5	-	3244523	3244686	3244523	3244604	3244673	3244686
222	"AT2G17670"	"AT2G17670"	chr2	+	7674350	7676157	7674350	7675464	7675570	7676157
223	"AT1G19650"	"SFH4"	chr1	-	6798853	6799384	6798853	6798953	6799098	6799384
224	"AT3G55370"	"DOF3.6"	chr3	+	20527865	20529291	20527865	20528568	20528661	20529291
225	"AT2G44100"	"GDI1"	chr2	+	18244644	18246498	18244644	18244719	18244810	18246498
226	"AT4G04850"	"KEA3"	chr4	+	2456684	2457029	2456684	2456846	2456939	2457029
227	"AT1G75295"	"AT1G75295"	chr1	-	28256489	28256877	28256489	28256642	28256715	28256877
228	"AT3G10915"	"RTNLB16"	chr3	-	3416444	3416759	3416444	3416514	3416617	3416759
229	"AT3G10915"	"RTNLB16"	chr3	-	3416444	3416759	3416444	3416517	3416617	3416759
230	"AT1G54790"	"AT1G54790"	chr1	-	20441054	20441741	20441054	20441392	20441470	20441741
231	"AT1G21350"	"AT1G21350"	chr1	-	7478616	7479033	7478616	7478682	7478778	7479033
232	"AT2G38290"	"AMT2"	chr2	-	16041609	16042383	16041609	16041900	16041979	16042383
233	"AT5G04850"	"VPS60.2"	chr5	-	1408554	1408932	1408554	1408709	1408820	1408932
234	"AT4G11070"	"WRKY41"	chr4	+	6759302	6759655	6759302	6759381	6759477	6759655
235	"AT1G23950"	"AT1G23950"	chr1	-	8469533	8470221	8469533	8470044	8470134	8470221
236	"AT1G58180"	"BCA6"	chr1	-	21537851	21538198	21537851	21538029	21538131	21538198
237	"AT1G58180"	"BCA6"	chr1	-	21539168	21539458	21539168	21539300	21539393	21539458
238	"AT3G52180"	"DSP4"	chr3	-	19350286	19350708	19350286	19350346	19350612	19350708
239	"AT3G05165"	"AT3G05165"	chr3	-	1462596	1462917	1462596	1462786	1462902	1462917
240	"AT4G03410"	"AT4G03410"	chr4	+	1503298	1503561	1503298	1503365	1503480	1503561
241	"AT3G21465"	"AT3G21465"	chr3	+	7562552	7562816	7562552	7562641	7562756	7562816
242	"AT1G55325"	"MED13"	chr1	+	20644535	20645625	20644535	20645421	20645508	20645625
243	"AT4G32530"	"VHA-c''1"	chr4	-	15693113	15693825	15693113	15693564	15693654	15693825
244	"AT1G07745"	"RAD51D"	chr1	-	2402378	2402873	2402378	2402458	2402754	2402873
245	"AT3G26860"	"AT3G26860"	chr3	-	9901515	9901884	9901515	9901619	9901700	9901884
246	"AT1G67025"	"AT1G67025"	chr1	-	25013025	25014725	25013025	25013981	25014407	25014725
247	"AT1G32230"	"RCD1"	chr1	+	11615643	11616218	11615643	11615739	11615831	11616218
248	"AT2G26810"	"AT2G26810"	chr2	-	11434142	11434534	11434142	11434254	11434432	11434534
249	"AT3G09410"	"PAE5"	chr3	-	2898133	2898582	2898133	2898350	2898436	2898582
250	"AT1G37150"	"HCS2"	chr1	-	14176826	14177100	14176826	14176864	14177061	14177100
251	"AT2G17695"	"AT2G17695"	chr2	-	7684950	7685176	7684950	7685051	7685162	7685176
252	"AT1G53790"	"AT1G53790"	chr1	-	20079530	20080883	20079530	20079612	20079697	20080883
253	"AT1G01540"	"AT1G01540"	chr1	+	197774	198183	197774	197904	197973	198183
254	"AT4G27800"	"PPH1"	chr4	-	13852251	13852415	13852251	13852298	13852382	13852415
255	"AT4G20980"	"TIF3D1"	chr4	+	11216943	11219319	11216943	11218790	11219068	11219319
256	"AT3G48050"	"AT3G48050"	chr3	-	17733532	17734137	17733532	17733983	17734063	17734137
257	"AT5G06100"	"MYB33"	chr5	+	1838366	1838899	1838366	1838421	1838502	1838899
258	"AT4G23100"	"GSH1"	chr4	-	12103634	12103883	12103634	12103704	12103802	12103883
259	"AT4G32180"	"PANK2"	chr4	-	15537900	15538429	15537900	15537972	15538071	15538429
260	"AT4G32180"	"PANK2"	chr4	-	15538071	15538429	15538071	15538266	15538345	15538429
261	"AT3G15620"	"UVR3"	chr3	-	5294008	5294344	5294008	5294096	5294230	5294344
262	"AT4G26020"	"AT4G26020"	chr4	-	13202012	13202385	13202012	13202248	13202326	13202385
263	"AT5G64390"	"HEN4"	chr5	+	25746564	25747548	25746564	25746676	25747215	25747548
264	"AT5G48310"	"AT5G48310"	chr5	-	19579475	19579849	19579475	19579556	19579637	19579849
265	"AT1G48110"	"ECT7"	chr1	-	17772718	17773493	17772718	17772858	17773284	17773493
266	"AT5G52240"	"MSBP1"	chr5	+	21214214	21214739	21214214	21214414	21214611	21214739
267	"AT1G68240"	"BHLH109"	chr1	-	25574863	25575438	25574863	25575217	25575285	25575438
268	"AT1G69800"	"CBSCBS2"	chr1	-	26275927	26276329	26275927	26276144	26276277	26276329
269	"AT3G07565"	"AT3G07565"	chr3	+	2415063	2415354	2415063	2415181	2415271	2415354
270	"AT2G22120"	"AT2G22120"	chr2	+	9396660	9397022	9396660	9396764	9396858	9397022
271	"AT1G20960"	"emb1507"	chr1	-	7301747	7302051	7301747	7301865	7301956	7302051
272	"AT1G48980"	"AT1G48980"	chr1	+	18119784	18120098	18119784	18119853	18119938	18120098
273	"AT5G24360"	"IRE1B"	chr5	+	8316828	8317184	8316828	8316877	8316937	8317184
274	"AT5G42080"	"DRP1A"	chr5	-	16821414	16821795	16821414	16821447	16821569	16821795
275	"AT5G42080"	"DRP1A"	chr5	-	16821414	16821795	16821414	16821465	16821569	16821795
276	"AT1G52470"	"AT1G52470"	chr1	+	19554908	19555164	19554908	19554991	19555070	19555164
277	"AT1G52470"	"AT1G52470"	chr1	+	19554908	19555164	19554908	19554991	19555072	19555164
278	"AT5G01010"	"AT5G01010"	chr5	-	1278	1646	1278	1459	1571	1646
279	"AT3G47560"	"AT3G47560"	chr3	-	17525858	17526189	17525858	17525952	17526030	17526189
280	"AT3G47560"	"AT3G47560"	chr3	-	17526286	17526572	17526286	17526408	17526489	17526572
281	"AT1G05550"	"AT1G05550"	chr1	-	1641649	1642373	1641649	1641791	1641874	1642373
282	"AT1G30814"	"AT1G30814"	chr1	-	10943006	10943561	10943006	10943060	10943153	10943561
283	"AT4G26370"	"AT4G26370"	chr4	-	13333723	13334436	13333723	13334236	13334337	13334436
