ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
71	"AT1G30810"	"JMJ18"	chr1	-	10941469	10941580	10941766	10941825	10941018	10941105	10942045	10942292
72	"AT3G61440"	"CYSC1"	chr3	+	22737383	22737443	22737518	22737599	22737225	22737305	22737693	22737978
73	"AT4G27040"	"VP22-1"	chr4	-	13574948	13575081	13575225	13575299	13574741	13574852	13575398	13575538
74	"AT2G36010"	"E2FA"	chr2	+	15120718	15120760	15120800	15120854	15120479	15120666	15120938	15121113
75	"AT1G03090"	"MCCA"	chr1	+	741147	741207	741508	741601	740969	741065	741683	741795
76	"AT1G18700"	"AT1G18700"	chr1	+	6439895	6439938	6439972	6440030	6439529	6439640	6440188	6440285
77	"AT4G04330"	"AT4G04330"	chr4	-	2117037	2117054	2118002	2118120	2116865	2116928	2118202	2118297
78	"AT5G48335"	"AT5G48335"	chr5	+	19588227	19588259	19588608	19588740	19587992	19588159	19589126	19589177
79	"AT5G48335"	"AT5G48335"	chr5	+	19588608	19588740	19589126	19589177	19588227	19588259	19589313	19589606
80	"AT2G14285"	"AT2G14285"	chr2	-	6053097	6053135	6053487	6053537	6052852	6052917	6053917	6053994
81	"AT3G23255"	"AT3G23255"	chr3	+	8312156	8312200	8312274	8312391	8311965	8312086	8312486	8312570
82	"AT4G02120"	"AT4G02120"	chr4	+	942339	942386	942473	942543	942202	942265	942609	942672
83	"AT4G02120"	"AT4G02120"	chr4	+	942473	942543	942609	942672	942202	942265	942737	942827
84	"AT4G02120"	"AT4G02120"	chr4	+	942473	942543	942609	942672	942339	942386	942737	942827
85	"AT5G10510"	"AIL6"	chr5	+	3318742	3318811	3318812	3318821	3317438	3317521	3318903	3318992
86	"AT2G22990"	"SCPL8"	chr2	+	9787643	9787681	9787776	9787878	9787444	9787547	9788309	9788396
87	"AT3G07770"	"Hsp89.1"	chr3	+	2481576	2481651	2481719	2481824	2481378	2481438	2481947	2482088
