ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
16	"AT5G59770"	"AT5G59770"	chr5	-	24079962	24080009	24080110	24080178	24079796	24079894	24080373	24080427	16	97,80,154	82,84,117	119,99,155	98,83,142	167	146	0.968383650557	1.0	0.508,0.454,0.535	0.515,0.51,0.488	-0.005
17	"AT5G13030"	"AT5G13030"	chr5	+	4133878	4133988	4134287	4134344	4133203	4133566	4134433	4134733	17	164,124,290	89,110,145	279,101,225	171,67,138	209	156	0.937174287384	1.0	0.579,0.457,0.599	0.549,0.529,0.549	0.003
18	"AT1G55690"	"SFH13"	chr1	-	20811824	20811922	20812172	20812296	20811439	20811743	20812616	20812840	18	44,37,75	37,50,70	56,33,65	56,30,82	223	197	0.743066647708	1.0	0.512,0.395,0.486	0.469,0.493,0.412	0.006
19	"AT3G16220"	"AT3G16220"	chr3	+	5498154	5498267	5498362	5498428	5497926	5498077	5498501	5498592	19	61,73,89	37,39,56	126,73,117	93,67,89	212	165	0.0664235220611	0.413869637458	0.562,0.593,0.553	0.513,0.459,0.506	0.077
20	"AT1G10600"	"AMSH2"	chr1	+	3504358	3504392	3504425	3504488	3504023	3504113	3504568	3504643	20	14,7,19	100,80,98	10,4,8	105,74,117	133	162	0.0162996926162	0.188610728845	0.146,0.096,0.191	0.104,0.062,0.077	0.063
21	"AT3G09260"	"BGLU23"	chr3	-	2842524	2842602	2842737	2842813	2842341	2842429	2842935	2842991	21	3440,3096,6196	4270,3869,7662	6396,2755,5989	8243,3445,7613	175	177	0.794421988599	1.0	0.449,0.447,0.45	0.44,0.447,0.443	0.005
22	"AT1G02120"	"VAD1"	chr1	+	396166	396217	396290	396356	396028	396088	396438	396534	22	58,57,85	100,101,118	119,50,94	170,68,149	150	165	0.548069404869	1.0	0.389,0.383,0.442	0.435,0.447,0.41	-0.026
23	"AT5G14550"	"AT5G14550"	chr5	-	4692239	4692278	4692548	4692629	4691988	4692054	4692759	4692841	23	33,17,45	39,19,34	54,26,42	41,18,47	180	138	0.59387640745	1.0	0.393,0.407,0.504	0.502,0.525,0.407	-0.043
24	"AT3G24360"	"AT3G24360"	chr3	-	8841905	8841958	8842174	8842239	8841401	8841536	8842411	8842513	24	16,23,31	5,1,3	16,18,32	4,0,0	164	152	0.0768291295177	0.44451139221	0.748,0.955,0.905	0.788,1.0,1.0	-0.06
25	"AT2G04395"	"POT1C"	chr2	-	1529429	1529516	1529545	1529724	1529082	1529166	1529827	1529954	25	2,4,4	2,1,0	2,0,1	1,0,0	278	186	1	1.0	0.401,0.728,1.0	0.572,NA,1.0	-0.076
26	"AT1G72190"	"AT1G72190"	chr1	-	27168940	27169085	27169329	27169468	27168708	27168836	27169598	27169717	26	46,25,61	56,29,47	60,29,48	40,18,48	238	244	0.21345490409	0.823326058633	0.457,0.469,0.571	0.606,0.623,0.506	-0.079
27	"AT1G77080"	"AGL27"	chr1	+	28958333	28958391	28958455	28958501	28955636	28955863	28958601	28958663	27	311,269,405	8,5,9	245,180,342	61,35,96	157	145	0	0.0	0.973,0.98,0.977	0.788,0.826,0.767	0.183
28	"AT2G42500"	"PP2A4"	chr2	-	17700252	17700336	17700467	17700524	17700102	17700174	17701133	17701417	28	147,123,235	203,165,287	208,108,213	246,120,293	156	183	0.633630234779	1.0	0.459,0.467,0.49	0.498,0.514,0.46	-0.019
29	"AT1G07470"	"AT1G07470"	chr1	+	2292658	2292717	2292895	2293006	2292539	2292585	2293335	2293479	29	46,22,41	80,62,86	53,21,42	108,60,87	158	210	0.807879199245	1.0	0.433,0.32,0.388	0.395,0.317,0.391	0.013
30	"AT3G15390"	"SDE5"	chr3	-	5198289	5198358	5198838	5198864	5198123	5198194	5198975	5199539	30	6,3,2	16,11,15	1,4,4	14,17,20	125	168	0.41568963216	1.0	0.335,0.268,0.152	0.088,0.24,0.212	0.072
31	"AT3G54880"	"AT3G54880"	chr3	-	20337656	20337880	20337967	20338005	20337399	20337487	20338400	20338522	31	4,3,1	118,96,161	6,1,8	227,104,186	137	323	0.392879791384	1.0	0.074,0.069,0.014	0.059,0.022,0.092	-0.005
32	"AT3G53570"	"AFC1"	chr3	-	19862862	19862977	19863089	19863138	19862552	19862644	19863221	19863375	32	32,28,51	64,49,67	62,18,49	64,33,87	148	214	0.590537733122	1.0	0.42,0.452,0.524	0.583,0.441,0.449	-0.026
33	"AT5G42770"	"AT5G42770"	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	33	11,8,26	73,65,95	10,15,20	106,52,126	180	180	0.557595743293	1.0	0.131,0.11,0.215	0.086,0.224,0.137	0.003
34	"AT2G17190"	"DSK2A"	chr2	-	7478502	7478592	7478736	7478765	7478264	7478420	7479154	7479210	34	58,48,75	222,165,257	65,66,74	223,147,265	128	189	0.318148891188	0.971793436047	0.278,0.3,0.301	0.301,0.399,0.292	-0.038
35	"AT1G56300"	"AT1G56300"	chr1	-	21079414	21079471	21079658	21079729	21078819	21079162	21079861	21079949	35	105,75,130	82,52,88	93,40,95	51,33,51	170	156	0.317676801947	0.971793436047	0.54,0.57,0.575	0.626,0.527,0.631	-0.033
36	"AT1G60640"	"AT1G60640"	chr1	-	22338173	22338233	22338466	22338526	22338008	22338074	22338617	22338683	36	62,57,69	33,21,50	66,32,75	37,29,49	159	159	0.323931145349	0.971793436047	0.653,0.731,0.58	0.641,0.525,0.605	0.064
37	"AT5G42210"	"AT5G42210"	chr5	+	16866491	16866603	16867007	16867120	16866039	16866261	16867802	16867925	37	12,14,36	21,17,18	13,5,18	19,7,17	211	212	0.571088200385	1.0	0.365,0.453,0.668	0.407,0.418,0.515	0.049
38	"AT5G52070"	"AT5G52070"	chr5	+	21162095	21162208	21163578	21163648	21161310	21161353	21163726	21163968	38	13,8,17	1,2,1	25,22,43	8,6,5	212	169	0.0327248016801	0.294523215121	0.912,0.761,0.931	0.714,0.745,0.873	0.091
39	"AT5G52070"	"AT5G52070"	chr5	+	21162095	21162208	21163726	21163968	21161310	21161353	21164079	21164196	39	7,4,6	11,16,23	9,11,19	40,19,37	212	341	0.617751646752	1.0	0.506,0.287,0.296	0.266,0.482,0.452	-0.037
40	"AT5G40210"	"AT5G40210"	chr5	-	16074470	16074663	16075445	16075559	16074202	16074364	16075749	16075815	40	6,6,8	8,5,7	11,5,5	5,3,10	213	292	0.692470057428	1.0	0.507,0.622,0.61	0.751,0.696,0.407	-0.038
41	"AT3G55080"	"AT3G55080"	chr3	-	20412581	20412665	20412826	20412862	20412265	20412399	20413137	20413218	41	15,12,18	36,25,40	23,13,21	46,27,48	135	183	0.818571400447	1.0	0.361,0.394,0.379	0.404,0.395,0.372	-0.012
42	"AT3G55080"	"AT3G55080"	chr3	-	20412581	20412665	20412826	20412877	20412265	20412399	20413137	20413218	42	0,0,0	36,25,40	1,1,0	46,27,48	150	183	1	1.0	0.0,0.0,0.0	0.026,0.043,0.0	-0.023
43	"AT3G55080"	"AT3G55080"	chr3	-	20413481	20413554	20414040	20414148	20413302	20413343	20414391	20414451	43	56,52,66	32,34,37	51,41,77	42,18,32	207	172	0.686831225254	1.0	0.593,0.56,0.597	0.502,0.654,0.667	-0.024
44	"AT2G31870"	"PARG1"	chr2	-	13552221	13552399	13552825	13552929	13552022	13552127	13553230	13553416	44	12,15,33	26,20,27	7,13,6	15,10,10	203	277	0.869222962861	1.0	0.386,0.506,0.625	0.389,0.639,0.45	0.013
45	"AT3G28080"	"AT3G28080"	chr3	+	10452019	10452133	10453377	10453624	10451837	10451903	10454695	10454844	45	62,41,68	11,15,17	62,45,61	19,18,20	213	346	0.206293259041	0.823326058633	0.902,0.816,0.867	0.841,0.802,0.832	0.037
46	"AT1G54370"	"NHX5"	chr1	-	20294634	20294732	20294971	20295019	20294148	20294246	20295131	20295163	46	80,60,67	0,1,0	64,30,73	1,0,0	147	197	1	1.0	1.0,0.988,1.0	0.988,1.0,1.0	0.0
47	"AT5G10290"	"AT5G10290"	chr5	-	3236705	3236846	3236945	3237016	3235866	3236603	3237095	3237161	47	42,30,46	96,52,105	63,28,35	117,60,112	170	240	0.677488640637	1.0	0.382,0.449,0.382	0.432,0.397,0.306	0.026
48	"AT2G25640"	"AT2G25640"	chr2	+	10910809	10912691	10912924	10913045	10910497	10910593	10913420	10913480	48	28,27,34	34,16,32	50,23,34	23,27,32	1981	220	0.47426872956	1.0	0.084,0.158,0.106	0.194,0.086,0.106	-0.013
49	"AT3G48190"	"ATM"	chr3	+	17809436	17809508	17809639	17809810	17808771	17809354	17809888	17810014	49	15,11,10	14,21,29	11,8,12	18,6,18	171	270	0.479238254611	1.0	0.628,0.453,0.353	0.491,0.678,0.513	-0.083
50	"AT1G66880"	"AT1G66880"	chr1	+	24950291	24950846	24952951	24953677	24948885	24949495	24953891	24953921	50	1,0,5	22,8,21	3,0,2	37,19,39	654	825	0.369414110282	1.0	0.054,0.0,0.231	0.093,0.0,0.061	0.044
51	"AT1G66880"	"AT1G66880"	chr1	+	24951434	24952058	24952951	24953677	24950291	24950846	24953891	24953921	51	11,6,12	24,9,20	10,7,11	38,19,39	723	825	0.0533852136264	0.379439909199	0.343,0.432,0.406	0.231,0.296,0.243	0.137
52	"AT2G22920"	"SCPL12"	chr2	+	9756348	9756473	9756975	9757089	9756175	9756247	9757203	9757249	52	23,13,36	39,27,59	52,38,36	73,47,93	224	213	0.798598973035	1.0	0.359,0.314,0.367	0.404,0.435,0.269	-0.023
53	"AT2G22920"	"SCPL12"	chr2	+	9756348	9756473	9756975	9757111	9756175	9756247	9757203	9757249	53	23,13,36	11,8,5	52,38,36	7,11,16	224	235	0.581523209608	1.0	0.687,0.63,0.883	0.886,0.784,0.702	-0.057
54	"AT4G14385"	"AT4G14385"	chr4	-	8287347	8287430	8287516	8287544	8287010	8287279	8288078	8288148	54	12,15,18	18,14,19	21,17,15	15,7,8	127	182	0.0248558584257	0.25166556656	0.489,0.606,0.576	0.667,0.777,0.729	-0.167
55	"AT4G14385"	"AT4G14385"	chr4	-	8287378	8287430	8287516	8287544	8286985	8287279	8288078	8288148	55	12,15,18	65,27,59	21,17,15	72,46,84	127	151	0.628390428557	1.0	0.18,0.398,0.266	0.257,0.305,0.175	0.036
56	"AT3G60910"	"AT3G60910"	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708	56	20,9,24	29,31,52	21,13,27	66,54,75	119	152	0.138529652462	0.71459588766	0.468,0.271,0.371	0.289,0.235,0.315	0.09
57	"AT3G08840"	"AT3G08840"	chr3	-	2682386	2682478	2682619	2682856	2681948	2682193	2683232	2683280	57	40,57,63	2,5,8	68,23,61	23,6,9	336	191	0.00297699795832	0.0482273669248	0.919,0.866,0.817	0.627,0.685,0.794	0.165
58	"AT4G01290"	"AT4G01290"	chr4	-	539944	540029	540446	540863	538540	539878	541483	541764	58	191,166,247	181,176,222	251,95,229	222,135,230	516	184	0.480218943374	1.0	0.273,0.252,0.284	0.287,0.201,0.262	0.02
60	"AT2G34680"	"AIR9"	chr2	-	14626308	14626374	14626464	14626527	14625909	14626009	14626659	14626725	60	41,46,91	37,39,75	84,24,75	80,26,71	162	165	0.448357023053	1.0	0.53,0.546,0.553	0.517,0.485,0.518	0.036
61	"AT2G38550"	"FAX3"	chr2	+	16133670	16133720	16133809	16133847	16133142	16133310	16134111	16134415	61	129,93,167	102,83,101	131,87,143	83,86,92	149	137	0.924545161988	1.0	0.538,0.507,0.603	0.592,0.482,0.588	-0.005
62	"AT2G17200"	"DSK2B"	chr2	-	7482613	7482642	7483034	7483087	7482357	7482441	7483267	7483381	62	145,108,153	73,44,67	148,96,164	72,43,69	152	128	0.98552186965	1.0	0.626,0.674,0.658	0.634,0.653,0.667	0.001
64	"AT1G14820"	"AT1G14820"	chr1	-	5105887	5105924	5106162	5106531	5105682	5105800	5106721	5106949	64	1,0,2	24,20,36	1,1,0	26,13,35	468	136	1	1.0	0.012,0.0,0.016	0.011,0.022,0.0	-0.002
65	"AT1G14820"	"AT1G14820"	chr1	-	5105887	5105924	5106162	5106421	5105682	5105800	5106721	5106954	65	54,68,97	24,20,36	94,53,92	26,13,35	358	136	0.419275975062	1.0	0.461,0.564,0.506	0.579,0.608,0.5	-0.052
66	"AT3G28130"	"AT3G28130"	chr3	+	10467731	10467978	10468076	10468238	10466086	10466200	10468314	10468463	66	176,127,201	148,134,170	77,45,117	79,52,84	346	261	0.881864722183	1.0	0.473,0.417,0.471	0.424,0.395,0.512	0.01
67	"AT5G10490"	"MSL2"	chr5	-	3303785	3303842	3303927	3303981	3303545	3303706	3304642	3304761	67	0,4,1	41,44,55	3,0,8	42,29,59	153	156	0.0550402004836	0.379439909199	0.0,0.085,0.018	0.068,0.0,0.121	-0.029
68	"AT5G10490"	"MSL2"	chr5	-	3303785	3303842	3303927	3304104	3303545	3303706	3304642	3304761	68	72,57,106	41,44,55	123,42,144	42,29,59	276	156	0.149976914694	0.71459588766	0.498,0.423,0.521	0.623,0.45,0.58	-0.07
69	"AT1G54730"	"AT1G54730"	chr1	+	20428048	20428111	20428387	20428447	20427299	20427343	20428788	20428842	69	45,26,41	82,56,82	52,34,54	75,41,63	162	159	0.0158408335375	0.188610728845	0.35,0.313,0.329	0.405,0.449,0.457	-0.106
70	"AT1G09932"	"AT1G09932"	chr1	-	3231736	3231811	3232016	3232137	3231543	3231632	3232476	3232556	70	34,10,26	16,7,10	15,19,30	15,13,14	220	174	0.301108746224	0.971793436047	0.627,0.53,0.673	0.442,0.536,0.629	0.074
71	"AT1G30810"	"JMJ18"	chr1	-	10941469	10941580	10941766	10941825	10941018	10941105	10942045	10942292	71	0,0,2	23,15,36	1,0,0	18,11,27	158	210	1	1.0	0.0,0.0,0.069	0.069,0.0,0.0	0.0
72	"AT3G61440"	"CYSC1"	chr3	+	22737383	22737443	22737518	22737599	22737225	22737305	22737693	22737978	72	1151,950,1474	1872,1475,2219	1661,980,1774	2261,1556,2850	159	180	0.727904293303	1.0	0.41,0.422,0.429	0.454,0.416,0.413	-0.007
73	"AT4G27040"	"VP22-1"	chr4	-	13574948	13575081	13575225	13575299	13574741	13574852	13575398	13575538	73	17,14,29	90,84,153	28,11,30	162,82,170	173	232	0.662891259408	1.0	0.202,0.183,0.203	0.188,0.152,0.191	0.019
75	"AT1G03090"	"MCCA"	chr1	+	741147	741207	741508	741601	740969	741065	741683	741795	75	22,30,43	49,31,58	37,15,41	46,20,57	159	192	0.685934627364	1.0	0.352,0.539,0.472	0.493,0.475,0.465	-0.023
77	"AT4G04330"	"AT4G04330"	chr4	-	2117037	2117054	2118002	2118120	2116865	2116928	2118202	2118297	77	266,188,339	50,21,56	276,121,239	44,27,43	217	116	0.436557022633	1.0	0.74,0.827,0.764	0.77,0.706,0.748	0.036
78	"AT5G48335"	"AT5G48335"	chr5	+	19588227	19588259	19588608	19588740	19587992	19588159	19589126	19589177	78	53,56,79	135,112,173	96,63,124	220,142,265	131	231	0.962058635498	1.0	0.409,0.469,0.446	0.435,0.439,0.452	-0.001
79	"AT5G48335"	"AT5G48335"	chr5	+	19588608	19588740	19589126	19589177	19588227	19588259	19589313	19589606	79	135,130,201	96,73,88	196,134,222	119,57,139	231	150	0.983915000971	1.0	0.477,0.536,0.597	0.517,0.604,0.509	-0.007
80	"AT2G14285"	"AT2G14285"	chr2	-	6053097	6053135	6053487	6053537	6052852	6052917	6053917	6053994	80	12,7,16	40,43,53	10,4,23	43,33,67	149	137	0.939657015272	1.0	0.216,0.13,0.217	0.176,0.1,0.24	0.016
81	"AT3G23255"	"AT3G23255"	chr3	+	8312156	8312200	8312274	8312391	8311965	8312086	8312486	8312570	81	11,5,22	33,28,53	15,13,13	39,25,39	143	216	0.470566275347	1.0	0.335,0.212,0.385	0.367,0.44,0.335	-0.07
82	"AT4G02120"	"AT4G02120"	chr4	+	942339	942386	942473	942543	942202	942265	942609	942672	82	70,48,68	77,57,97	73,55,104	82,51,97	146	169	0.159245460474	0.716604572133	0.513,0.494,0.448	0.508,0.555,0.554	-0.054
83	"AT4G02120"	"AT4G02120"	chr4	+	942473	942543	942609	942672	942202	942265	942737	942827	83	13,5,10	74,76,107	5,1,2	95,72,85	169	162	0.00034916625142	0.00707061659125	0.144,0.059,0.082	0.048,0.013,0.022	0.067
84	"AT4G02120"	"AT4G02120"	chr4	+	942473	942543	942609	942672	942339	942386	942737	942827	84	84,77,142	72,71,104	104,75,153	86,68,81	169	162	0.460496654353	1.0	0.528,0.51,0.567	0.537,0.514,0.644	-0.03
86	"AT2G22990"	"SCPL8"	chr2	+	9787643	9787681	9787776	9787878	9787444	9787547	9788309	9788396	86	305,269,440	701,519,894	548,236,490	1045,445,1005	137	201	0.503463350982	1.0	0.39,0.432,0.419	0.435,0.438,0.417	-0.016
87	"AT3G07770"	"Hsp89.1"	chr3	+	2481576	2481651	2481719	2481824	2481378	2481438	2481947	2482088	87	85,84,127	131,84,189	140,61,123	151,73,142	174	204	0.274122354489	0.965387422331	0.432,0.54,0.441	0.521,0.495,0.504	-0.036
