ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
56	"AT3G48110"	"GLYRS-2"	chr3	+	17765536	17765620	17765151	17765278	17765813	17765900
57	"AT3G48110"	"GLYRS-2"	chr3	+	17767101	17767173	17766757	17766813	17767275	17767358
58	"AT4G02290"	"AtGH9B13"	chr4	-	1003890	1003983	1003628	1003790	1004064	1004472
59	"AT5G66250"	"AT5G66250"	chr5	+	26469043	26469801	26468546	26468711	26470207	26470554
60	"AT5G66250"	"AT5G66250"	chr5	+	26469048	26469801	26468534	26468711	26470207	26470554
62	"AT5G53700"	"AT5G53700"	chr5	+	21801495	21801639	21801387	21801422	21801721	21801889
64	"AT2G18910"	"AT2G18910"	chr2	-	8193497	8193595	8192707	8193069	8193887	8194338
66	"AT5G25150"	"TAF5"	chr5	+	8678163	8678220	8677967	8678065	8678336	8678424
67	"AT3G52290"	"IQD3"	chr3	+	19394136	19394240	19393818	19394036	19394414	19394509
68	"AT5G20660"	"AT5G20660"	chr5	+	6990049	6990162	6989838	6989948	6990284	6991043
69	"AT3G26590"	"AT3G26590"	chr3	-	9762278	9762397	9762095	9762182	9762607	9762846
70	"AT1G36070"	"AT1G36070"	chr1	-	13470338	13470394	13470095	13470269	13470509	13470899
71	"AT3G06790"	"MORF3"	chr3	-	2144846	2144912	2144383	2144754	2145166	2145260
72	"AT5G47750"	"D6PKL2"	chr5	-	19340983	19341920	19339702	19340826	19342145	19342361
73	"AT2G37220"	"CP29B"	chr2	-	15635752	15635854	15635142	15635481	15635968	15636409
74	"AT1G09810"	"ECT11"	chr1	-	3182998	3183047	3182752	3182817	3183128	3183190
79	"AT4G12020"	"WRKY19"	chr4	+	7208343	7208416	7208086	7208244	7208915	7209032
81	"AT3G47040"	"AT3G47040"	chr3	-	17326313	17326479	17325878	17326024	17326601	17326806
83	"AT5G13480"	"FY"	chr5	-	4328715	4328794	4328403	4328493	4329044	4329108
84	"AT1G75500"	"WAT1"	chr1	-	28339522	28339639	28338842	28339263	28339876	28340241
85	"AT1G75500"	"WAT1"	chr1	-	28339716	28339779	28339522	28339639	28339876	28340241
86	"AT5G11640"	"AT5G11640"	chr5	+	3742568	3742610	3742403	3742473	3742677	3742751
88	"AT5G13660"	"AT5G13660"	chr5	+	4406443	4406515	4405093	4406365	4406614	4406813
89	"AT5G13660"	"AT5G13660"	chr5	+	4406446	4406515	4405093	4406365	4406614	4406813
90	"AT5G48970"	"AT5G48970"	chr5	-	19859233	19859403	19858924	19859041	19859529	19859763
91	"AT5G40280"	"FTB"	chr5	+	16102637	16102720	16102244	16102280	16102816	16102870
92	"AT5G40280"	"FTB"	chr5	+	16103768	16103841	16103546	16103603	16103925	16104012
93	"AT1G50670"	"AT1G50670"	chr1	-	18776487	18776569	18776359	18776405	18776785	18776959
94	"AT4G33050"	"EDA39"	chr4	-	15945573	15945661	15945059	15945477	15945749	15945838
95	"AT3G17590"	"BSH"	chr3	-	6018267	6018306	6018059	6018142	6018409	6018493
98	"AT1G17140"	"ICR1"	chr1	-	5857847	5857957	5856572	5857760	5858247	5858310
99	"AT1G17140"	"ICR1"	chr1	-	5858247	5858310	5857847	5857957	5858452	5858550
101	"AT4G12590"	"AT4G12590"	chr4	-	7452120	7452169	7451834	7451934	7452250	7452370
102	"AT3G53900"	"UPP"	chr3	-	19957334	19957402	19957206	19957262	19957565	19957627
103	"AT3G59950"	"ATG4B"	chr3	-	22144781	22144852	22144279	22144652	22144942	22144998
104	"AT1G51610"	"MTPC4"	chr1	+	19138915	19138988	19138728	19138830	19139154	19139222
107	"AT5G07770"	"FH16"	chr5	+	2475710	2475827	2475229	2475350	2475908	2475955
109	"AT1G73602"	"CPuORF32"	chr1	+	27671553	27671691	27671311	27671449	27671798	27671942
111	"AT5G16280"	"AT5G16280"	chr5	-	5329675	5329735	5329469	5329550	5329841	5329962
112	"AT1G75170"	"AT1G75170"	chr1	+	28213919	28213949	28213798	28213821	28214345	28214473
113	"AT5G40490"	"AT5G40490"	chr5	+	16225906	16225947	16225375	16225607	16226050	16226214
114	"AT1G56280"	"ATDI19"	chr1	-	21073908	21073974	21073560	21073793	21074056	21074199
115	"AT3G66654"	"CYP21-4"	chr3	+	2089355	2089441	2089131	2089182	2089738	2089876
116	"AT5G65940"	"CHY1"	chr5	-	26378562	26378642	26378409	26378493	26378717	26378781
117	"AT5G65940"	"CHY1"	chr5	-	26378975	26379056	26378842	26378911	26379131	26379235
119	"AT1G67500"	"REV3"	chr1	-	25294487	25294579	25292788	25294409	25294657	25294841
120	"AT5G54200"	"AT5G54200"	chr5	-	21995308	21995399	21994885	21995043	21995636	21997076
121	"AT1G73875"	"CCR4-5"	chr1	+	27781917	27781970	27781778	27781844	27782311	27782393
122	"AT5G49555"	"AT5G49555"	chr5	-	20110124	20110286	20109866	20110046	20110366	20110636
123	"AT1G75850"	"VPS35B"	chr1	-	28482891	28482979	28482652	28482709	28483056	28483242
124	"AT3G47760"	"ATATH4"	chr3	+	17615244	17615427	17614808	17615155	17615557	17615667
125	"AT3G61111"	"AT3G61111"	chr3	-	22613442	22613471	22613229	22613356	22613637	22613739
126	"AT3G56150"	"TIF3C1"	chr3	-	20836796	20836851	20834953	20836708	20837064	20837157
127	"AT3G56150"	"TIF3C1"	chr3	-	20836796	20836874	20834953	20836708	20837064	20837160
128	"AT3G17430"	"AT3G17430"	chr3	+	5967065	5967173	5966472	5966689	5967307	5967339
129	"AT5G04240"	"ELF6"	chr5	+	1171501	1171652	1171127	1171195	1171742	1172254
130	"AT3G29130"	"AT3G29130"	chr3	-	11103190	11103335	11102722	11102875	11103805	11103852
131	"AT4G24680"	"MOS1"	chr4	+	12735670	12735787	12735164	12735267	12736011	12737089
134	"AT5G64000"	"SAL2"	chr5	+	25617965	25618119	25617773	25617863	25618314	25618631
135	"AT5G16210"	"AT5G16210"	chr5	-	5296909	5297062	5296329	5296508	5297580	5297974
137	"AT3G16700"	"AT3G16700"	chr3	+	5688438	5688491	5688064	5688230	5688826	5688889
138	"AT3G48440"	"AT3G48440"	chr3	+	17942101	17942170	17941401	17941827	17942339	17942459
140	"AT5G59250"	"AT5G59250"	chr5	+	23905999	23906062	23905849	23905897	23906164	23906245
142	"AT5G20090"	"MPC1"	chr5	-	6787761	6787816	6787524	6787682	6787901	6788002
143	"AT1G01790"	"KEA1"	chr1	+	288086	288176	287788	287854	288400	288505
144	"AT1G01790"	"KEA1"	chr1	+	289717	289776	289538	289592	290027	290094
145	"AT1G26110"	"DCP5"	chr1	-	9024946	9025057	9024344	9024807	9025137	9025311
146	"AT5G13260"	"AT5G13260"	chr5	+	4244406	4244456	4244261	4244324	4244548	4244576
147	"AT1G65260"	"VIPP1"	chr1	+	24238279	24238354	24237439	24237521	24238779	24238850
148	"AT5G35560"	"AT5G35560"	chr5	-	13746227	13746287	13746009	13746054	13746729	13746813
149	"AT3G18070"	"BGLU43"	chr3	+	6189279	6189311	6188816	6189037	6189403	6189506
150	"AT2G45270"	"GCP1"	chr2	+	18667200	18667275	18666976	18667021	18667454	18667551
151	"AT1G67060"	"AT1G67060"	chr1	+	25038083	25038168	25037052	25037148	25038271	25038393
152	"AT1G10570"	"ULP1C"	chr1	+	3489673	3489776	3489484	3489589	3490054	3490152
153	"AT1G10570"	"ULP1C"	chr1	+	3490054	3490152	3489673	3489776	3490367	3490490
154	"AT3G19190"	"ATATG2"	chr3	+	6640611	6641612	6639710	6640085	6641750	6641899
155	"AT3G53190"	"AT3G53190"	chr3	+	19715541	19715750	19714515	19714770	19716125	19716376
156	"AT3G59300"	"AT3G59300"	chr3	+	21920404	21920503	21920190	21920307	21920716	21920870
157	"AT5G66420"	"AT5G66420"	chr5	-	26522762	26523010	26522459	26522638	26523128	26523342
158	"AT5G54750"	"AT5G54750"	chr5	+	22242403	22242501	22242063	22242136	22242750	22242850
159	"AT5G54750"	"AT5G54750"	chr5	+	22242403	22242540	22242063	22242136	22242750	22242850
160	"AT2G37080"	"ICR2"	chr2	-	15584037	15584111	15583685	15583866	15584945	15585186
161	"AT1G29940"	"NRPA2"	chr1	-	10480805	10480931	10480557	10480698	10481203	10481279
162	"AT5G13980"	"AT5G13980"	chr5	+	4508915	4508999	4508495	4508826	4509161	4509250
163	"AT5G13980"	"AT5G13980"	chr5	+	4513925	4514025	4513841	4513889	4514091	4514425
164	"AT5G13980"	"AT5G13980"	chr5	+	4513956	4514025	4513841	4513889	4514091	4514415
166	"AT1G05350"	"AT1G05350"	chr1	-	1563581	1563650	1563389	1563503	1563924	1564123
167	"AT5G22720"	"AT5G22720"	chr5	-	7548816	7548921	7548647	7548727	7549289	7549368
168	"AT5G22720"	"AT5G22720"	chr5	-	7549055	7549137	7548816	7548921	7549289	7549368
169	"AT1G18270"	"AT1G18270"	chr1	-	6292811	6292892	6292629	6292706	6292979	6293060
170	"AT1G18270"	"AT1G18270"	chr1	-	6293295	6293371	6292979	6293060	6293676	6293871
171	"AT1G17960"	"AT1G17960"	chr1	-	6182972	6183045	6182821	6182916	6183194	6183495
173	"AT5G44750"	"REV1"	chr5	+	18053375	18053491	18053044	18053189	18053567	18053644
174	"AT3G06550"	"AT3G06550"	chr3	-	2042031	2042088	2041859	2041932	2042169	2042310
175	"AT5G09290"	"SAL4"	chr5	+	2883474	2883564	2883195	2883385	2883662	2883816
176	"AT1G54450"	"B''DELTA"	chr1	-	20337174	20337284	20336798	20337081	20337373	20337521
177	"AT1G54450"	"B''DELTA"	chr1	-	20338402	20338502	20338157	20338263	20338582	20338688
179	"AT5G11580"	"AT5G11580"	chr5	+	3719542	3719578	3719096	3719267	3719684	3719809
180	"AT5G11580"	"AT5G11580"	chr5	+	3719684	3719809	3719096	3719267	3719892	3721334
182	"AT2G41490"	"GPT"	chr2	+	17303484	17303545	17303233	17303320	17303639	17303680
183	"AT5G03300"	"ADK2"	chr5	+	798124	798195	797915	798013	798281	798348
184	"AT4G03960"	"AT4G03960"	chr4	+	1888074	1888168	1887527	1887866	1888492	1888550
185	"AT3G01590"	"AT3G01590"	chr3	+	227517	227649	227250	227408	227745	227848
186	"AT3G51820"	"CHLG"	chr3	-	19218048	19218134	19217873	19217960	19218216	19218304
187	"AT3G56080"	"AT3G56080"	chr3	-	20811069	20811315	20810794	20810989	20811413	20811585
188	"AT1G03770"	"RING1B"	chr1	+	945110	945168	944571	944982	945471	945530
189	"AT1G03770"	"RING1B"	chr1	+	945116	945168	944594	944982	945471	945530
190	"AT4G15470"	"AT4G15470"	chr4	+	8844725	8844839	8843566	8843952	8845032	8845190
191	"AT1G34780"	"APRL4"	chr1	-	12749649	12749837	12749441	12749566	12749935	12750383
192	"AT1G34780"	"APRL4"	chr1	-	12749736	12749837	12749441	12749566	12749935	12750383
193	"AT2G04160"	"AIR3"	chr2	-	1402210	1402539	1401267	1401988	1405426	1405535
194	"AT4G00230"	"SBT4.14"	chr4	+	95789	95887	95201	95715	95965	96190
195	"AT3G58050"	"AT3G58050"	chr3	+	21493595	21493682	21493247	21493507	21493769	21493911
197	"AT1G51980"	"AT1G51980"	chr1	-	19326176	19326422	19325802	19326099	19326732	19326916
198	"AT2G34357"	"AT2G34357"	chr2	+	14499052	14499111	14498589	14498723	14499205	14499757
200	"AT1G20890"	"AT1G20890"	chr1	-	7266971	7267082	7266736	7266875	7267226	7267323
201	"AT1G05360"	"KMS2"	chr1	+	1565151	1565363	1564597	1564861	1565621	1565700
202	"AT1G67840"	"CSK"	chr1	+	25436194	25436472	25435893	25436099	25436593	25437075
203	"AT1G67840"	"CSK"	chr1	+	25436198	25436472	25435893	25436099	25436593	25437075
204	"AT5G24750"	"AT5G24750"	chr5	-	8491614	8491654	8491079	8491304	8491767	8491827
207	"AT5G23020"	"MAM3"	chr5	+	7720502	7720595	7719926	7720007	7720702	7720789
208	"AT5G23020"	"MAM3"	chr5	+	7721287	7721362	7721087	7721121	7721511	7721839
209	"AT3G57550"	"GK-2"	chr3	+	21307231	21307271	21306722	21307018	21307349	21307463
210	"AT5G14910"	"AT5G14910"	chr5	+	4824342	4824396	4823713	4824108	4824659	4824719
211	"AT5G14910"	"AT5G14910"	chr5	+	4824659	4824719	4823713	4824108	4825067	4825373
212	"AT5G49970"	"PPOX1"	chr5	+	20330161	20330267	20329905	20330073	20330442	20330609
213	"AT4G19830"	"FKBP17-1"	chr4	-	10773407	10773530	10773052	10773169	10773612	10774023
214	"AT5G40760"	"ACG12"	chr5	+	16312775	16312812	16312616	16312675	16312942	16313014
215	"AT2G25660"	"emb2410"	chr2	-	10919654	10919786	10918637	10919444	10919947	10920013
216	"AT2G25660"	"emb2410"	chr2	-	10920565	10920598	10920183	10920459	10920777	10920900
217	"AT2G30105"	"AT2G30105"	chr2	+	12850318	12850477	12850096	12850191	12850616	12850727
219	"AT1G05710"	"AT1G05710"	chr1	+	1716558	1716624	1716418	1716484	1716690	1716735
220	"AT5G44785"	"OSB3"	chr5	-	18071545	18071610	18071249	18071442	18071696	18071847
221	"AT5G44785"	"OSB3"	chr5	-	18071545	18071616	18071249	18071442	18071696	18071847
222	"AT5G11800"	"KEA6"	chr5	-	3805205	3805294	3805023	3805120	3805410	3805488
223	"AT1G73177"	"BNS"	chr1	-	27517140	27517194	27516571	27516782	27517276	27517388
224	"AT1G75560"	"AT1G75560"	chr1	-	28372562	28372748	28372027	28372120	28373191	28373241
225	"AT1G75560"	"AT1G75560"	chr1	-	28372562	28373050	28372027	28372120	28373191	28373241
226	"AT5G51100"	"FSD2"	chr5	-	20773751	20773778	20773624	20773648	20773873	20773992
227	"AT5G51100"	"FSD2"	chr5	-	20775166	20775244	20774635	20774824	20775446	20775484
228	"AT1G05785"	"AT1G05785"	chr1	+	1730921	1731008	1730298	1730332	1731293	1731385
229	"AT1G05785"	"AT1G05785"	chr1	+	1730958	1731008	1730248	1730332	1731293	1731385
230	"AT5G13120"	"PNSL5"	chr5	-	4164390	4164591	4164003	4164246	4164696	4164794
231	"AT5G13120"	"PNSL5"	chr5	-	4164390	4164603	4164003	4164246	4164696	4164784
232	"AT1G55535"	"AT1G55535"	chr1	-	20732362	20732458	20732231	20732255	20732877	20733208
233	"AT4G27340"	"AT4G27340"	chr4	-	13688449	13688520	13688015	13688158	13688814	13688981
234	"AT3G56480"	"SCAB3"	chr3	-	20936622	20936772	20936097	20936506	20936872	20937004
235	"AT3G04450"	"AT3G04450"	chr3	+	1185615	1185676	1185427	1185473	1185772	1185842
236	"AT4G16860"	"RPP4"	chr4	-	9489371	9489851	9488465	9489255	9489967	9490378
237	"AT4G16860"	"RPP4"	chr4	-	9490478	9490811	9489967	9490378	9495230	9495816
238	"AT4G16860"	"RPP4"	chr4	-	9490994	9492072	9490478	9490811	9495230	9495816
239	"AT5G65400"	"AT5G65400"	chr5	+	26132080	26132122	26131884	26131983	26132351	26132496
240	"AT5G17310"	"UGP2"	chr5	-	5699551	5699612	5699401	5699479	5700033	5700124
242	"AT1G04080"	"PRP39"	chr1	+	1054464	1054528	1054284	1054385	1054662	1054806
243	"AT3G57860"	"GIG1"	chr3	+	21426719	21427077	21426313	21426415	21427434	21428253
244	"AT4G01210"	"AT4G01210"	chr4	-	511199	511250	510846	511018	511533	511643
246	"AT4G18260"	"AT4G18260"	chr4	-	10096846	10097011	10096138	10096287	10097181	10097503
247	"AT4G23300"	"CRK22"	chr4	+	12182929	12183061	12181931	12182854	12183171	12183293
248	"AT4G13020"	"MHK"	chr4	+	7604046	7604125	7603650	7603954	7604203	7604272
249	"AT4G13020"	"MHK"	chr4	+	7606522	7606601	7606381	7606427	7606679	7606835
250	"AT2G20280"	"AT2G20280"	chr2	-	8741951	8742036	8741707	8741848	8742178	8742349
251	"AT4G11010"	"NDPK3"	chr4	-	6733428	6733479	6733170	6733338	6733559	6733597
252	"AT1G13770"	"RUS3"	chr1	+	4722221	4722260	4722085	4722145	4722350	4722413
254	"AT5G08720"	"AT5G08720"	chr5	-	2844589	2844710	2844041	2844127	2844940	2845381
255	"AT5G40710"	"AT5G40710"	chr5	+	16296160	16296218	16295844	16295967	16296401	16296475
257	"AT1G32550"	"FdC1"	chr1	-	11773466	11773530	11773118	11773207	11773883	11774187
258	"AT4G00460"	"ROPGEF3"	chr4	-	212182	212257	211352	212087	212339	212494
259	"AT5G11700"	"AT5G11700"	chr5	-	3768983	3769103	3768645	3768777	3769353	3769562
260	"AT5G66030"	"GRIP"	chr5	-	26406264	26406384	26406086	26406135	26406444	26406542
262	"AT2G01260"	"AT2G01260"	chr2	-	136937	137164	136622	136851	137252	137803
264	"AT2G38740"	"SGPP"	chr2	-	16195475	16195590	16195178	16195330	16195960	16196113
265	"AT1G73980"	"AT1G73980"	chr1	-	27821718	27821913	27821497	27821620	27822026	27822200
266	"AT3G19960"	"VIII-1"	chr3	+	6950974	6951002	6950714	6950865	6951249	6951415
268	"AT1G53440"	"AT1G53440"	chr1	+	19947060	19947132	19946804	19946982	19947246	19947315
272	"AT2G16990"	"AT2G16990"	chr2	+	7385434	7385547	7384137	7384249	7385648	7385771
273	"AT2G16990"	"AT2G16990"	chr2	+	7386202	7386278	7385880	7386116	7386376	7386463
274	"AT1G09150"	"AT1G09150"	chr1	+	2948392	2948460	2948173	2948310	2948709	2948773
278	"AT5G11470"	"AT5G11470"	chr5	-	3666678	3667062	3666026	3666195	3667845	3667923
279	"AT1G19690"	"AT1G19690"	chr1	-	6808497	6808632	6808277	6808415	6808701	6808741
280	"AT5G45510"	"AT5G45510"	chr5	+	18445186	18448755	18444656	18444846	18449020	18449446
281	"AT5G19820"	"emb2734"	chr5	-	6696774	6696860	6696553	6696687	6697096	6697189
282	"AT3G29644"	"AT3G29644"	chr3	-	11499624	11499687	11499198	11499505	11501158	11501366
283	"AT3G29644"	"AT3G29644"	chr3	-	11500666	11500727	11499624	11499687	11501158	11501366
284	"AT2G20060"	"AT2G20060"	chr2	+	8659353	8659459	8659042	8659129	8659531	8659587
285	"AT3G22430"	"AT3G22430"	chr3	+	7956136	7956444	7953259	7954323	7957249	7957884
286	"AT4G00026"	"TIM21"	chr4	-	12923	12959	12790	12809	13171	13359
287	"AT3G54440"	"AT3G54440"	chr3	-	20151820	20151956	20150502	20150558	20152174	20152283
288	"AT3G21810"	"AT3G21810"	chr3	+	7686173	7686317	7684732	7684984	7686440	7686474
289	"AT1G08540"	"SIGB"	chr1	+	2704494	2705091	2704079	2704261	2705536	2705767
290	"AT3G27110"	"AT3G27110"	chr3	+	9999051	9999148	9998745	9998925	9999323	9999433
291	"AT3G55880"	"SUE4"	chr3	+	20738259	20738445	20737315	20737584	20738625	20738913
292	"AT1G45015"	"AT1G45015"	chr1	+	17022042	17022126	17021609	17021730	17022221	17022388
293	"AT5G64500"	"AT5G64500"	chr5	+	25782727	25782847	25782486	25782600	25782923	25783052
294	"AT1G72090"	"AT1G72090"	chr1	+	27124852	27124972	27124390	27124640	27125073	27125149
295	"AT3G16310"	"NUP35"	chr3	-	5527038	5527150	5526413	5526892	5527528	5528136
296	"AT5G18420"	"AT5G18420"	chr5	-	6107904	6107958	6107600	6107746	6108271	6108358
297	"AT3G12977"	"AT3G12977"	chr3	+	4144688	4144963	4143725	4144024	4145488	4145967
298	"AT1G34260"	"FAB1D"	chr1	+	12486090	12486124	12485966	12486012	12486213	12486804
300	"AT3G58680"	"MBF1B"	chr3	+	21707942	21708026	21707275	21707508	21708335	21708418
304	"AT3G15353"	"MT3"	chr3	-	5181019	5181067	5180641	5180936	5181275	5181400
305	"AT5G55760"	"SRT1"	chr5	+	22569504	22569558	22569270	22569349	22569687	22569784
306	"AT1G50490"	"UBC20"	chr1	-	18705767	18705795	18705453	18705681	18706187	18706478
307	"AT4G17300"	"SYNO"	chr4	+	9683888	9683975	9683709	9683793	9684240	9684411
308	"AT1G68540"	"TKPR2"	chr1	+	25720700	25721053	25720257	25720622	25721140	25721410
311	"AT3G43740"	"AT3G43740"	chr3	+	15644749	15644893	15644587	15644659	15645035	15645107
312	"AT1G33810"	"AT1G33810"	chr1	+	12266290	12266405	12265032	12265311	12266581	12266847
313	"AT5G15680"	"AT5G15680"	chr5	-	5109654	5109727	5109511	5109569	5109941	5109987
314	"AT2G42240"	"AT2G42240"	chr2	+	17597956	17598029	17597654	17597711	17598259	17598308
315	"AT5G48545"	"HINT3"	chr5	+	19677544	19677600	19676967	19677034	19677693	19677747
316	"AT1G28610"	"AT1G28610"	chr1	-	10054614	10054760	10054233	10054510	10054865	10055081
317	"AT5G45600"	"TAF14B"	chr5	+	18488291	18488374	18487901	18488163	18488750	18488972
318	"AT5G45600"	"TAF14B"	chr5	+	18488294	18488374	18487949	18488163	18488750	18488972
319	"AT5G22120"	"AT5G22120"	chr5	-	7336223	7336306	7336074	7336137	7336435	7336814
320	"AT2G18180"	"SFH10"	chr2	-	7911767	7911828	7911270	7911671	7911893	7912034
321	"AT1G55360"	"AT1G55360"	chr1	-	20667234	20667288	20666985	20667132	20667396	20667561
322	"AT1G78670"	"GGH3"	chr1	+	29592711	29592774	29592530	29592620	29592905	29592994
324	"AT4G15110"	"CYP97B3"	chr4	-	8631062	8631149	8630887	8630976	8631233	8631293
326	"AT5G26146"	"AT5G26146"	chr5	+	9137544	9137685	9135912	9136002	9137792	9138264
327	"AT3G57880"	"AT3G57880"	chr3	-	21433636	21433689	21430982	21433556	21434267	21434600
329	"AT5G55470"	"NHX4"	chr5	-	22471683	22471730	22471407	22471602	22471828	22471888
331	"AT1G69450"	"AT1G69450"	chr1	-	26109429	26109493	26109088	26109298	26109572	26110051
332	"AT4G23260"	"CRK18"	chr4	-	12167916	12168070	12167353	12167839	12168161	12168399
333	"AT1G72070"	"AT1G72070"	chr1	-	27119207	27119270	27118620	27118973	27119413	27119708
334	"AT5G08370"	"AGAL2"	chr5	-	2692888	2692923	2692707	2692811	2693019	2693076
335	"AT5G08370"	"AGAL2"	chr5	-	2693313	2693360	2693166	2693225	2693438	2693550
336	"AT2G27840"	"HDT4"	chr2	+	11863270	11863329	11863141	11863177	11863420	11863562
338	"AT3G16260"	"TRZ4"	chr3	+	5510037	5510082	5509870	5509960	5510173	5510228
341	"AT2G34750"	"AT2G34750"	chr2	-	14661757	14661864	14661570	14661654	14661975	14662044
342	"AT2G34750"	"AT2G34750"	chr2	-	14661975	14662044	14661570	14661654	14662152	14662278
344	"AT2G32390"	"GLR3.5"	chr2	-	13749550	13749582	13749020	13749430	13749691	13749770
347	"AT4G17140"	"AT4G17140"	chr4	-	9625060	9625350	9624895	9624980	9625477	9625581
349	"AT4G17140"	"AT4G17140"	chr4	-	9630396	9630493	9630128	9630227	9630998	9631099
351	"AT2G32010"	"CVL1"	chr2	+	13628778	13628888	13628602	13628700	13628975	13629121
352	"AT5G06180"	"AT5G06180"	chr5	+	1874840	1874934	1874708	1874772	1875008	1875117
354	"AT5G44740"	"POLH"	chr5	-	18049726	18049850	18049419	18049533	18050050	18050170
355	"AT2G45640"	"SAP18"	chr2	-	18801065	18801098	18800842	18800953	18801212	18801383
