ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
34	"AT3G59950"	"ATG4B"	chr3	-	22146421	22146963	22146421	22146796	22146890	22146963	34	10,14,21	5,4,9	18,10,26	13,3,4	192	99	0.768296022607	1.0	0.508,0.643,0.546	0.417,0.632,0.77	-0.041
35	"AT5G07770"	"FH16"	chr5	+	2475710	2475955	2475710	2475827	2475908	2475955	35	5,8,8	1,0,0	3,2,4	2,1,1	179	99	0.00906902214666	0.0902367703593	0.734,1.0,1.0	0.453,0.525,0.689	0.356
36	"AT1G14170"	"AT1G14170"	chr1	-	4844653	4845283	4844653	4845126	4845225	4845283	36	10,9,17	0,0,1	12,12,15	0,0,0	197	99	1	1.0	1.0,1.0,0.895	1.0,1.0,1.0	-0.035
37	"AT1G14170"	"AT1G14170"	chr1	-	4844653	4845283	4844653	4845150	4845225	4845283	37	8,9,17	3,5,8	12,12,15	25,9,27	173	99	0.00327783573614	0.0367486936052	0.604,0.507,0.549	0.215,0.433,0.241	0.257
39	"AT5G65940"	"CHY1"	chr5	-	26377037	26377257	26377037	26377079	26377155	26377257	39	22,15,36	145,101,171	23,17,20	187,119,211	174	99	0.0484297814917	0.315984475962	0.079,0.078,0.107	0.065,0.075,0.051	0.024
40	"AT1G67500"	"REV3"	chr1	-	25294487	25294841	25294487	25294579	25294657	25294841	40	0,1,2	7,6,10	0,0,0	8,3,12	176	99	0.434168761153	1.0	0.0,0.086,0.101	0.0,0.0,0.0	0.062
41	"AT5G24770"	"VSP2"	chr5	-	8500475	8501193	8500475	8500887	8500980	8501193	41	0,0,0	1368,1026,1384	0,1,0	3286,1301,2775	191	99	1	1.0	0.0,0.0,0.0	0.0,0.0,0.0	0.0
42	"AT3G04910"	"WNK1"	chr3	+	1355717	1356244	1355717	1355945	1356023	1356244	42	0,0,0	245,185,334	0,0,1	346,121,291	176	99	1	1.0	0.0,0.0,0.0	0.0,0.0,0.002	-0.001
44	"AT5G57290"	"RPP3B"	chr5	-	23206801	23207213	23206801	23207114	23207167	23207213	44	271,147,403	12,18,36	297,292,299	30,20,19	151	99	0.875164783459	1.0	0.937,0.843,0.88	0.867,0.905,0.912	-0.008
46	"AT3G61280"	"AT3G61280"	chr3	+	22682701	22683080	22682701	22682766	22682869	22683080	46	1,1,0	10,5,11	0,1,0	21,14,13	198	99	1	1.0	0.048,0.091,0.0	0.0,0.034,0.0	0.035
47	"AT3G60600"	"PVA11"	chr3	+	22401521	22401990	22401521	22401575	22401912	22401990	47	26,18,18	407,350,486	22,12,26	498,314,574	198	99	0.48808243149	1.0	0.031,0.025,0.018	0.022,0.019,0.022	0.004
48	"AT1G75380"	"BBD1"	chr1	-	28281388	28281850	28281388	28281708	28281783	28281850	48	0,1,2	1016,710,1297	3,2,1	1534,807,1853	173	99	1	1.0	0.0,0.001,0.001	0.001,0.001,0.0	0.0
49	"AT1G72830"	"NFYA3"	chr1	-	27406172	27406343	27406172	27406250	27406325	27406343	49	38,35,57	3,3,1	49,33,41	0,1,10	173	99	0.480650357073	1.0	0.879,0.87,0.97	1.0,0.95,0.701	0.023
50	"AT3G10300"	"CML49"	chr3	+	3187558	3187844	3187558	3187734	3187825	3187844	50	2,0,1	139,81,141	1,0,1	135,72,128	189	99	1	1.0	0.007,0.0,0.004	0.004,0.0,0.004	0.001
52	"AT3G10300"	"CML49"	chr3	+	3187558	3188205	3187558	3187844	3187966	3188205	52	4,4,10	137,67,130	3,1,2	122,70,116	198	99	0.0215010051864	0.171148001284	0.014,0.029,0.037	0.012,0.007,0.009	0.017
53	"AT3G16700"	"AT3G16700"	chr3	+	5689215	5689448	5689215	5689266	5689330	5689448	53	12,8,15	4,1,3	16,13,15	3,4,4	162	99	0.755419429879	1.0	0.647,0.83,0.753	0.765,0.665,0.696	0.035
54	"AT5G40520"	"AT5G40520"	chr5	-	16233788	16233968	16233788	16233822	16233908	16233968	54	1,8,3	11,23,19	5,2,4	33,11,12	184	99	0.842291894469	1.0	0.047,0.158,0.078	0.075,0.089,0.152	-0.011
57	"AT2G26430"	"CYCL1-1"	chr2	-	11245186	11245528	11245186	11245261	11245352	11245528	57	3,5,5	0,0,3	3,2,8	1,0,0	189	99	0.334286428755	1.0	1.0,1.0,0.466	0.611,1.0,1.0	-0.048
58	"AT2G26430"	"CYCL1-1"	chr2	-	11245186	11245528	11245186	11245268	11245352	11245528	58	0,2,0	60,55,92	1,0,0	95,35,81	182	99	1	1.0	0.0,0.019,0.0	0.006,0.0,0.0	0.004
60	"AT5G22820"	"AT5G22820"	chr5	-	7623880	7624408	7623880	7624041	7624136	7624408	60	0,0,0	25,9,35	0,1,0	29,17,39	193	99	1	1.0	0.0,0.0,0.0	0.0,0.029,0.0	-0.01
61	"AT1G56145"	"AT1G56145"	chr1	-	21008863	21009387	21008863	21009095	21009176	21009387	61	0,1,0	45,31,68	1,0,0	38,28,33	179	99	1	1.0	0.0,0.018,0.0	0.014,0.0,0.0	0.001
62	"AT2G37340"	"RS2Z33"	chr2	-	15671324	15671600	15671324	15671420	15671560	15671600	62	5,4,9	241,170,345	5,7,3	395,209,441	198	99	0.801722916787	1.0	0.01,0.012,0.013	0.006,0.016,0.003	0.003
64	"AT5G46290"	"KAS1"	chr5	-	18775641	18776073	18775641	18775782	18775947	18776073	64	9,10,8	2,1,0	10,7,12	3,1,1	198	99	0.162218596678	0.797074092319	0.692,0.833,1.0	0.625,0.778,0.857	0.088
69	"AT1G02880"	"TPK1"	chr1	-	643876	644256	643876	643949	644159	644256	69	5,4,18	62,45,84	11,10,9	94,51,76	198	99	0.80224263894	1.0	0.039,0.043,0.097	0.055,0.089,0.056	-0.007
70	"AT2G01060"	"AT2G01060"	chr2	-	74508	74907	74508	74585	74784	74907	70	0,2,3	118,116,200	0,0,2	133,75,175	198	99	1	1.0	0.0,0.009,0.007	0.0,0.0,0.006	0.003
71	"AT1G73470"	"AT1G73470"	chr1	+	27625148	27625485	27625148	27625294	27625406	27625485	71	3,3,1	51,34,62	4,2,2	139,44,137	198	99	0.676597347391	1.0	0.029,0.042,0.008	0.014,0.022,0.007	0.012
72	"AT1G05710"	"AT1G05710"	chr1	+	1716558	1716735	1716558	1716624	1716690	1716735	72	52,40,68	74,33,74	26,11,21	86,44,81	164	99	1.00564019334e-08	4.21310312578e-07	0.298,0.423,0.357	0.154,0.131,0.135	0.219
73	"AT5G04510"	"PDPK1"	chr5	+	1289000	1289512	1289000	1289173	1289289	1289512	73	0,1,0	79,61,99	0,0,0	99,80,114	198	99	1	1.0	0.0,0.008,0.0	0.0,0.0,0.0	0.003
74	"AT5G66040"	"STR16"	chr5	+	26410731	26410993	26410731	26410805	26410868	26410993	74	13,12,10	830,673,1169	22,11,19	1671,889,1599	161	99	1	1.0	0.01,0.011,0.005	0.008,0.008,0.007	0.001
76	"AT4G09760"	"F17A8.110"	chr4	-	6149383	6149883	6149383	6149501	6149690	6149883	76	1,1,0	34,38,73	0,0,2	99,43,97	198	99	1	1.0	0.014,0.013,0.0	0.0,0.0,0.01	0.006
77	"AT1G13770"	"RUS3"	chr1	+	4721694	4722005	4721694	4721838	4721947	4722005	77	4,5,3	22,17,38	8,5,10	42,24,47	198	99	0.349842933785	1.0	0.083,0.128,0.038	0.087,0.094,0.096	-0.009
81	"AT4G04692"	"AT4G04692"	chr4	-	2375601	2376364	2375601	2375978	2376114	2376364	81	7,7,13	9,11,15	12,12,10	51,26,54	198	99	0.00232815624333	0.0272531230837	0.28,0.241,0.302	0.105,0.188,0.085	0.148
83	"AT1G20100"	"AT1G20100"	chr1	-	6969106	6969819	6969106	6969507	6969619	6969819	83	5,2,2	0,1,0	2,6,6	3,1,0	198	99	0.0332264679991	0.239471767634	1.0,0.5,1.0	0.25,0.75,1.0	0.167
85	"AT2G01260"	"AT2G01260"	chr2	-	135243	136087	135243	135717	135995	136087	85	5,1,2	71,65,85	1,1,1	81,67,81	198	99	0.679489165966	1.0	0.034,0.008,0.012	0.006,0.007,0.006	0.012
86	"AT4G24830"	"AT4G24830"	chr4	-	12792872	12793637	12792872	12793344	12793476	12793637	86	4,9,3	0,0,5	7,4,7	1,2,2	198	99	0.334701803754	1.0	1.0,1.0,0.231	0.778,0.5,0.636	0.106
90	"AT4G02200"	"DI19-5"	chr4	+	974085	974692	974085	974159	974309	974692	90	17,12,14	2,0,0	25,20,34	0,0,1	198	99	1	1.0	0.81,1.0,1.0	1.0,1.0,0.944	-0.045
91	"AT1G75190"	"AT1G75190"	chr1	+	28219381	28220227	28219381	28219804	28219915	28220227	91	5,1,3	0,0,1	3,0,5	0,1,0	198	99	1	1.0	1.0,1.0,0.6	1.0,0.0,1.0	0.2
94	"AT1G65040"	"HRD1B"	chr1	-	24162832	24163379	24162832	24163023	24163236	24163379	94	0,2,1	0,0,0	0,1,0	4,2,2	198	99	1	1.0	NA,1.0,1.0	0.0,0.2,0.0	0.933
95	"AT3G44620"	"AT3G44620"	chr3	+	16194914	16195138	16194914	16194982	16195051	16195138	95	17,3,13	180,162,237	15,9,18	301,214,374	167	99	0.568824754495	1.0	0.053,0.011,0.031	0.029,0.024,0.028	0.005
100	"AT5G64630"	"FAS2"	chr5	+	25835674	25836384	25835674	25835775	25835841	25836384	100	0,0,0	13,10,10	1,0,0	26,12,25	164	99	1	1.0	0.0,0.0,0.0	0.023,0.0,0.0	-0.008
101	"AT1G49180"	"AT1G49180"	chr1	-	18184653	18185040	18184653	18184820	18184942	18185040	101	2,0,3	7,4,4	1,0,2	12,12,11	198	99	0.225111421969	1.0	0.125,0.0,0.273	0.04,0.0,0.083	0.092
103	"AT1G76990"	"ACR3"	chr1	+	28934840	28935539	28934840	28935187	28935271	28935539	103	3,6,1	1,0,0	4,7,11	4,0,1	182	99	0.0144935767156	0.132607897306	0.62,1.0,1.0	0.352,1.0,0.857	0.137
104	"AT2G32840"	"AT2G32840"	chr2	-	13933290	13933577	13933290	13933370	13933463	13933577	104	2,0,1	30,33,41	0,0,0	32,28,31	191	99	1	1.0	0.033,0.0,0.012	0.0,0.0,0.0	0.015
105	"AT1G29120"	"AT1G29120"	chr1	+	10177613	10177958	10177613	10177782	10177860	10177958	105	0,0,0	143,127,181	0,0,1	146,116,181	176	99	1	1.0	0.0,0.0,0.0	0.0,0.0,0.003	-0.001
107	"AT1G11170"	"AT1G11170"	chr1	+	3743983	3744148	3743983	3744010	3744112	3744148	107	3,2,2	15,15,24	0,2,0	17,10,14	198	99	0.0453177023874	0.305702466952	0.091,0.063,0.04	0.0,0.091,0.0	0.034
108	"AT1G68540"	"TKPR2"	chr1	+	25720700	25721053	25720700	25720830	25720911	25721053	108	0,0,2	0,0,0	0,0,2	0,1,1	179	99	1	1.0	NA,NA,1.0	NA,0.0,0.525	0.738
109	"AT2G47860"	"SETH6"	chr2	+	19599947	19601439	19599947	19600073	19600136	19601439	109	1,1,3	18,6,18	3,1,2	24,14,22	161	99	0.83866492989	1.0	0.033,0.093,0.093	0.071,0.042,0.053	0.018
110	"AT2G47860"	"SETH6"	chr2	+	19600136	19601439	19600136	19600203	19600272	19601439	110	2,0,0	12,10,25	2,0,0	21,16,35	167	99	1	1.0	0.09,0.0,0.0	0.053,0.0,0.0	0.012
111	"AT3G43740"	"AT3G43740"	chr3	+	15644587	15644893	15644587	15644659	15644749	15644893	111	6,5,23	68,68,100	4,2,7	109,71,119	188	99	0.000151183571896	0.00300855308073	0.044,0.037,0.108	0.019,0.015,0.03	0.042
112	"AT3G06820"	"BRCC36B"	chr3	-	2152574	2152923	2152574	2152662	2152794	2152923	112	2,3,2	33,17,40	1,0,0	44,22,46	198	99	0.213291517232	0.968585809087	0.029,0.081,0.024	0.011,0.0,0.0	0.041
113	"AT1G28610"	"AT1G28610"	chr1	-	10054233	10054760	10054233	10054510	10054614	10054760	113	1,3,1	17,20,21	0,0,0	102,34,77	198	99	0.825859797481	1.0	0.029,0.07,0.023	0.0,0.0,0.0	0.041
114	"AT2G47890"	"COL13"	chr2	+	19608793	19609310	19608793	19608955	19609038	19609310	114	0,0,0	113,82,169	0,0,1	129,70,125	181	99	1	1.0	0.0,0.0,0.0	0.0,0.0,0.004	-0.001
117	"AT1G79790"	"AT1G79790"	chr1	-	30017371	30017632	30017371	30017442	30017517	30017632	117	21,20,37	103,89,123	18,15,18	326,157,333	173	99	4.95715690718e-11	3.03530530624e-09	0.104,0.114,0.147	0.031,0.052,0.03	0.084
118	"AT4G32551"	"LUG"	chr4	+	15710236	15710476	15710236	15710312	15710426	15710476	118	1,0,3	82,96,161	3,2,3	137,61,110	198	99	1	1.0	0.006,0.0,0.009	0.011,0.016,0.013	-0.008
119	"AT1G75390"	"AtbZIP44"	chr1	+	28291697	28293008	28291697	28292538	28292608	28293008	119	2,2,3	5,2,4	2,2,3	4,6,11	168	99	0.458244602706	1.0	0.191,0.371,0.307	0.228,0.164,0.138	0.113
121	"AT1G65060"	"4CL3"	chr1	-	24167769	24168150	24167769	24167837	24168004	24168150	121	10,4,11	149,107,149	5,5,11	126,92,195	198	99	0.525579223641	1.0	0.032,0.018,0.036	0.019,0.026,0.027	0.005
122	"AT5G09230"	"SRT2"	chr5	+	2873143	2873443	2873143	2873271	2873343	2873443	122	0,0,0	78,41,60	0,3,2	78,43,98	170	99	1	1.0	0.0,0.0,0.0	0.0,0.039,0.012	-0.017
123	"AT1G14320"	"RPL10A"	chr1	+	4888548	4889050	4888548	4888766	4888937	4889050	123	45,52,82	0,0,0	38,39,64	1,1,0	198	99	1	1.0	1.0,1.0,1.0	0.95,0.951,1.0	0.033
128	"AT5G04320"	"AT5G04320"	chr5	+	1209745	1209960	1209745	1209835	1209922	1209960	128	4,1,5	39,24,48	5,4,3	43,28,42	185	99	0.661102046395	1.0	0.052,0.022,0.053	0.059,0.071,0.037	-0.013
129	"AT2G32480"	"ARASP"	chr2	-	13788516	13790073	13788516	13788996	13789107	13790073	129	5,10,10	7,6,6	8,3,16	14,4,21	198	99	0.140466020753	0.72604514623	0.263,0.455,0.455	0.222,0.273,0.276	0.134
130	"AT2G03280"	"AT2G03280"	chr2	-	997430	997763	997430	997593	997674	997763	130	0,0,2	6,9,17	1,0,0	15,9,15	179	99	1	1.0	0.0,0.0,0.061	0.036,0.0,0.0	0.008
133	"AT5G55670"	"AT5G55670"	chr5	-	22544655	22546801	22544655	22545207	22545582	22546801	133	2,0,2	4,4,6	1,4,2	10,2,4	198	99	0.282901040213	1.0	0.2,0.0,0.143	0.048,0.5,0.2	-0.135
134	"AT2G16980"	"AT2G16980"	chr2	+	7380438	7380753	7380438	7380517	7380682	7380753	134	0,0,3	33,17,26	2,0,1	22,26,18	198	99	1	1.0	0.0,0.0,0.055	0.043,0.0,0.027	-0.005
135	"AT4G29020"	"AT4G29020"	chr4	+	14304920	14305721	14304920	14305287	14305422	14305721	135	70,42,86	23,30,97	101,37,109	47,27,58	198	99	0.486089482175	1.0	0.603,0.412,0.307	0.518,0.407,0.484	-0.029
136	"AT5G05740"	"EGY2"	chr5	-	1725809	1726058	1725809	1725920	1726007	1726058	136	4,3,7	274,267,383	3,2,3	375,199,473	185	99	1	1.0	0.008,0.006,0.01	0.004,0.005,0.003	0.004
137	"AT3G26085"	"AT3G26085"	chr3	+	9531001	9531384	9531001	9531042	9531129	9531384	137	87,60,64	79,85,114	41,20,51	125,66,153	185	99	4.07081011478e-06	0.00011572731612	0.371,0.274,0.231	0.149,0.14,0.151	0.145
140	"AT5G48440"	"AT5G48440"	chr5	-	19630109	19630453	19630109	19630198	19630294	19630453	140	2,0,0	102,56,103	0,0,0	111,54,115	194	99	1	1.0	0.01,0.0,0.0	0.0,0.0,0.0	0.003
142	"AT1G11450"	"AT1G11450"	chr1	+	3853757	3854111	3853757	3853820	3853994	3854111	142	0,1,1	26,24,34	0,0,1	28,14,38	198	99	1	1.0	0.0,0.02,0.014	0.0,0.0,0.013	0.007
143	"AT4G16280"	"FCA"	chr4	-	9211428	9213665	9211428	9211511	9213586	9213665	143	8,8,12	15,26,26	10,5,6	32,9,30	198	99	0.302953845504	1.0	0.211,0.133,0.188	0.135,0.217,0.091	0.03
144	"AT4G16280"	"FCA"	chr4	-	9214078	9214825	9214078	9214282	9214486	9214825	144	3,3,5	6,1,4	2,0,5	4,6,3	198	99	0.225436869347	1.0	0.2,0.6,0.385	0.2,0.0,0.455	0.177
145	"AT1G01060"	"LHY"	chr1	-	37372	37780	37372	37398	37568	37780	145	7,0,11	145,155,146	5,3,13	509,213,486	198	99	0.10387327085	0.562470228548	0.024,0.0,0.036	0.005,0.007,0.013	0.012
148	"AT1G29170"	"SCAR3"	chr1	-	10190529	10190839	10190529	10190632	10190746	10190839	148	3,3,0	0,0,0	0,2,5	2,0,2	198	99	1	1.0	1.0,1.0,NA	0.0,1.0,0.556	0.481
149	"AT1G29170"	"SCAR3"	chr1	-	10190529	10190839	10190529	10190646	10190746	10190839	149	3,3,0	64,37,49	0,2,5	71,34,87	198	99	0.927643107982	1.0	0.023,0.039,0.0	0.0,0.029,0.028	0.002
150	"AT5G45710"	"HSFA4C"	chr5	+	18541502	18542863	18541502	18541791	18541884	18542863	150	0,0,1	25,18,48	0,0,0	45,17,27	191	99	1	1.0	0.0,0.0,0.011	0.0,0.0,0.0	0.004
151	"AT1G33050"	"AT1G33050"	chr1	-	11968347	11968675	11968347	11968507	11968588	11968675	151	0,0,0	105,69,99	0,1,0	142,79,125	179	99	1	1.0	0.0,0.0,0.0	0.0,0.007,0.0	-0.002
152	"AT1G25280"	"TULP10"	chr1	+	8865424	8865728	8865424	8865512	8865595	8865728	152	0,0,1	79,82,102	0,0,0	129,56,134	181	99	1	1.0	0.0,0.0,0.005	0.0,0.0,0.0	0.002
153	"AT1G08350"	"TMN5"	chr1	-	2635208	2635622	2635208	2635249	2635459	2635622	153	1,2,2	23,15,43	0,1,1	30,7,28	198	99	0.304870593994	1.0	0.021,0.063,0.023	0.0,0.067,0.018	0.007
154	"AT1G68530"	"CUT1"	chr1	-	25712587	25714807	25712587	25713329	25713688	25714807	154	1,1,0	426,378,676	3,0,0	1028,427,1095	198	99	1	1.0	0.001,0.001,0.0	0.001,0.0,0.0	0.0
155	"AT1G77480"	"AT1G77480"	chr1	-	29114557	29115061	29114557	29114834	29114973	29115061	155	2,1,6	28,29,55	2,1,5	64,34,65	198	99	0.379762567396	1.0	0.034,0.017,0.052	0.015,0.014,0.037	0.012
160	"AT5G66180"	"AT5G66180"	chr5	+	26450357	26450585	26450357	26450425	26450523	26450585	160	7,4,13	40,27,54	4,2,10	45,34,50	196	99	0.156507456233	0.784923637196	0.081,0.07,0.108	0.043,0.029,0.092	0.032
161	"AT2G44920"	"AT2G44920"	chr2	+	18526083	18526338	18526083	18526165	18526277	18526338	161	8,6,16	172,137,212	9,5,12	340,228,377	198	99	0.012989196126	0.121025004569	0.023,0.021,0.036	0.013,0.011,0.016	0.013
163	"AT4G07410"	"AT4G07410"	chr4	-	4204691	4205224	4204691	4204835	4204977	4205224	163	0,0,2	124,100,199	0,0,0	146,85,136	198	99	1	1.0	0.0,0.0,0.005	0.0,0.0,0.0	0.002
165	"AT4G12780"	"AT4G12780"	chr4	+	7513758	7515229	7513758	7513910	7513991	7515229	165	1,2,3	10,10,32	1,1,1	39,10,28	179	99	1	1.0	0.052,0.1,0.049	0.014,0.052,0.019	0.039
166	"AT3G07700"	"AT3G07700"	chr3	-	2460653	2460909	2460653	2460738	2460825	2460909	166	3,1,2	152,143,236	10,5,8	275,148,295	185	99	0.140082740693	0.72604514623	0.01,0.004,0.005	0.019,0.018,0.014	-0.011
169	"AT3G58640"	"AT3G58640"	chr3	-	21692426	21692821	21692426	21692693	21692791	21692821	169	15,18,39	24,35,40	24,10,18	101,42,118	196	99	1.77490740549e-07	5.65130517908e-06	0.24,0.206,0.33	0.107,0.107,0.072	0.163
170	"AT5G12150"	"ROPGAP6"	chr5	-	3924125	3924769	3924125	3924578	3924652	3924769	170	2,2,1	360,281,495	2,0,0	500,334,633	172	99	1	1.0	0.003,0.004,0.001	0.002,0.0,0.0	0.002
171	"AT2G26980"	"CIPK3"	chr2	-	11515562	11515817	11515562	11515619	11515703	11515817	171	4,4,5	217,158,302	4,8,6	224,155,287	182	99	0.513583033174	1.0	0.01,0.014,0.009	0.01,0.027,0.011	-0.005
172	"AT2G26980"	"CIPK3"	chr2	-	11515562	11515817	11515562	11515637	11515703	11515817	172	0,1,2	0,0,3	1,2,1	1,0,0	164	99	1	1.0	NA,1.0,0.287	0.376,1.0,1.0	-0.148
174	"AT4G02005"	"AT4G02005"	chr4	-	876907	878628	876907	878510	878578	878628	174	8,2,7	5,2,6	2,0,8	16,7,14	166	99	0.0013867831503	0.0187098201295	0.488,0.374,0.41	0.069,0.0,0.254	0.316
179	"AT5G23510"	"AT5G23510"	chr5	+	7928901	7929338	7928901	7928947	7929060	7929338	179	4,2,6	61,65,95	4,6,6	74,56,64	198	99	0.266562365243	1.0	0.032,0.015,0.031	0.026,0.051,0.045	-0.015
180	"AT5G14200"	"IMDH3"	chr5	+	4577743	4578240	4577743	4577950	4578036	4578240	180	1,1,0	983,790,1115	0,0,0	902,584,915	184	99	1	1.0	0.001,0.001,0.0	0.0,0.0,0.0	0.001
