ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
20	"AT1G10600"	"AMSH2"	chr1	+	3504358	3504392	3504425	3504488	3504023	3504113	3504568	3504643	20	14,7,19	100,80,98	10,4,8	105,74,117	132	161	0.016302064864	0.188638179141	0.146,0.096,0.191	0.104,0.062,0.077	0.063
21	"AT3G09260"	"BGLU23"	chr3	-	2842524	2842602	2842737	2842813	2842341	2842429	2842935	2842991	21	3440,3096,6196	4270,3869,7662	6396,2755,5989	8243,3445,7613	174	176	0.79442194499	1.0	0.449,0.447,0.45	0.44,0.447,0.443	0.005
22	"AT1G02120"	"VAD1"	chr1	+	396166	396217	396290	396356	396028	396088	396438	396534	22	58,57,85	100,101,118	119,50,94	170,68,149	149	164	0.548075041354	1.0	0.39,0.383,0.442	0.435,0.447,0.41	-0.026
23	"AT5G14550"	"AT5G14550"	chr5	-	4692239	4692278	4692548	4692629	4691988	4692054	4692759	4692841	23	33,17,45	39,19,34	54,26,42	41,18,47	179	137	0.593843309349	1.0	0.393,0.406,0.503	0.502,0.525,0.406	-0.044
24	"AT3G24360"	"AT3G24360"	chr3	-	8841905	8841958	8842174	8842239	8841401	8841536	8842411	8842513	24	16,23,31	5,1,3	16,18,32	4,0,0	163	151	0.0768321578469	0.414893652373	0.748,0.955,0.905	0.787,1.0,1.0	-0.06
25	"AT2G04395"	"POT1C"	chr2	-	1529429	1529516	1529545	1529724	1529082	1529166	1529827	1529954	25	2,4,4	2,1,0	2,0,1	1,0,0	198	185	1	1.0	0.483,0.789,1.0	0.651,NA,1.0	-0.068
26	"AT1G72190"	"AT1G72190"	chr1	-	27168940	27169085	27169329	27169468	27168708	27168836	27169598	27169717	26	46,25,61	56,29,46	60,29,47	40,17,48	198	198	0.22977843519	0.886288250019	0.451,0.463,0.57	0.6,0.63,0.495	-0.08
27	"AT1G77080"	"AGL27"	chr1	+	28958333	28958391	28958455	28958501	28955636	28955863	28958601	28958663	27	311,269,405	8,5,9	245,180,342	61,35,96	156	144	0	0.0	0.973,0.98,0.976	0.788,0.826,0.767	0.183
28	"AT2G42500"	"PP2A4"	chr2	-	17700252	17700336	17700467	17700524	17700102	17700174	17701133	17701417	28	147,123,235	203,165,287	208,108,213	246,120,293	155	182	0.633630280537	1.0	0.46,0.467,0.49	0.498,0.514,0.461	-0.019
29	"AT1G07470"	"AT1G07470"	chr1	+	2292658	2292717	2292895	2293006	2292539	2292585	2293335	2293479	29	46,22,41	80,62,86	53,21,42	108,60,87	157	198	0.807189065642	1.0	0.42,0.309,0.375	0.382,0.306,0.378	0.013
30	"AT3G15390"	"SDE5"	chr3	-	5198289	5198358	5198838	5198864	5198123	5198194	5198975	5199539	30	6,3,2	16,11,15	1,4,4	14,17,20	124	167	0.415679645056	1.0	0.336,0.269,0.152	0.088,0.241,0.212	0.072
31	"AT3G54880"	"AT3G54880"	chr3	-	20337656	20337880	20337967	20338005	20337399	20337487	20338400	20338522	31	4,3,1	116,94,157	6,1,8	225,102,185	136	198	0.386731752054	1.0	0.048,0.044,0.009	0.037,0.014,0.059	-0.003
32	"AT3G53570"	"AFC1"	chr3	-	19862862	19862977	19863089	19863138	19862552	19862644	19863221	19863375	32	32,28,51	64,49,67	62,18,49	64,33,87	147	198	0.59047194511	1.0	0.402,0.435,0.506	0.566,0.424,0.431	-0.026
33	"AT5G42770"	"AT5G42770"	chr5	+	17152681	17152762	17153216	17153297	17152529	17152604	17153562	17153632	33	11,8,26	73,65,95	10,15,20	106,52,126	179	179	0.557595743293	1.0	0.131,0.11,0.215	0.086,0.224,0.137	0.003
34	"AT2G17190"	"DSK2A"	chr2	-	7478502	7478592	7478736	7478765	7478264	7478420	7479154	7479210	34	58,48,75	222,165,257	65,66,74	223,147,265	127	188	0.318232068844	0.971793436047	0.279,0.301,0.302	0.301,0.399,0.292	-0.037
35	"AT1G56300"	"AT1G56300"	chr1	-	21079414	21079471	21079658	21079729	21078819	21079162	21079861	21079949	35	105,75,130	82,52,88	93,40,95	51,33,51	169	155	0.317700991354	0.971793436047	0.54,0.569,0.575	0.626,0.526,0.631	-0.033
36	"AT1G60640"	"AT1G60640"	chr1	-	22338173	22338233	22338466	22338526	22338008	22338074	22338617	22338683	36	62,57,69	33,21,50	66,32,75	37,29,49	158	158	0.323931145349	0.971793436047	0.653,0.731,0.58	0.641,0.525,0.605	0.064
37	"AT5G42210"	"AT5G42210"	chr5	+	16866491	16866603	16867007	16867120	16866039	16866261	16867802	16867925	37	12,14,36	21,17,18	13,5,18	19,7,17	198	198	0.570882840067	1.0	0.364,0.452,0.667	0.406,0.417,0.514	0.049
38	"AT5G52070"	"AT5G52070"	chr5	+	21162095	21162208	21163578	21163648	21161310	21161353	21163726	21163968	38	13,8,17	1,2,1	25,22,43	8,6,5	198	168	0.0317867588231	0.258961404592	0.917,0.772,0.935	0.726,0.757,0.879	0.087
39	"AT5G52070"	"AT5G52070"	chr5	+	21162095	21162208	21163726	21163968	21161310	21161353	21164079	21164196	39	7,4,6	10,16,22	9,11,19	39,19,37	198	198	0.617651543384	1.0	0.412,0.2,0.214	0.188,0.367,0.339	-0.023
40	"AT5G40210"	"AT5G40210"	chr5	-	16074470	16074663	16075445	16075559	16074202	16074364	16075749	16075815	40	6,6,8	8,5,7	11,5,5	5,3,10	198	198	0.713686892798	1.0	0.429,0.545,0.533	0.688,0.625,0.333	-0.046
41	"AT3G55080"	"AT3G55080"	chr3	-	20412581	20412665	20412826	20412862	20412265	20412399	20413137	20413218	41	15,12,18	36,25,40	23,13,21	46,27,48	134	182	0.818597322791	1.0	0.361,0.395,0.379	0.404,0.395,0.373	-0.012
42	"AT3G55080"	"AT3G55080"	chr3	-	20412581	20412665	20412826	20412877	20412265	20412399	20413137	20413218	42	0,0,0	36,25,40	1,1,0	46,27,48	149	182	1	1.0	0.0,0.0,0.0	0.026,0.043,0.0	-0.023
43	"AT3G55080"	"AT3G55080"	chr3	-	20413481	20413554	20414040	20414148	20413302	20413343	20414391	20414451	43	56,52,66	32,34,37	51,41,77	42,18,32	198	171	0.686197079362	1.0	0.602,0.569,0.606	0.512,0.663,0.675	-0.024
44	"AT2G31870"	"PARG1"	chr2	-	13552221	13552399	13552825	13552929	13552022	13552127	13553230	13553416	44	12,15,33	25,20,27	6,13,6	15,10,10	198	198	0.715729690828	1.0	0.324,0.429,0.55	0.286,0.565,0.375	0.026
45	"AT3G28080"	"AT3G28080"	chr3	+	10452019	10452133	10453377	10453624	10451837	10451903	10454695	10454844	45	62,41,67	10,11,11	62,45,61	18,17,19	198	198	0.0319705437768	0.258961404592	0.861,0.788,0.859	0.775,0.726,0.762	0.082
46	"AT1G54370"	"NHX5"	chr1	-	20294634	20294732	20294971	20295019	20294148	20294246	20295131	20295163	46	80,60,67	0,1,0	64,30,73	1,0,0	146	196	1	1.0	1.0,0.988,1.0	0.988,1.0,1.0	0.0
47	"AT5G10290"	"AT5G10290"	chr5	-	3236705	3236846	3236945	3237016	3235866	3236603	3237095	3237161	47	42,30,46	96,52,105	63,28,35	117,60,112	169	198	0.679751131077	1.0	0.339,0.403,0.339	0.387,0.353,0.268	0.024
48	"AT2G25640"	"AT2G25640"	chr2	+	10910809	10912691	10912924	10913045	10910497	10910593	10913420	10913480	48	20,20,31	34,16,32	48,18,29	23,27,32	198	198	0.4838089576	1.0	0.37,0.556,0.492	0.676,0.4,0.475	-0.044
49	"AT3G48190"	"ATM"	chr3	+	17809436	17809508	17809639	17809810	17808771	17809354	17809888	17810014	49	15,11,10	14,21,29	11,8,12	18,6,17	170	198	0.452804247002	1.0	0.555,0.379,0.287	0.416,0.608,0.451	-0.085
50	"AT1G66880"	"AT1G66880"	chr1	+	24950291	24950846	24952951	24953677	24948885	24949495	24953891	24953921	50	0,0,5	19,6,20	3,0,2	36,18,37	198	198	0.824926636922	1.0	0.0,0.0,0.2	0.077,0.0,0.051	0.024
51	"AT1G66880"	"AT1G66880"	chr1	+	24951434	24952058	24952951	24953677	24950291	24950846	24953891	24953921	51	11,4,10	21,7,19	10,6,9	37,18,37	198	198	0.0539704406243	0.344098821728	0.344,0.364,0.345	0.213,0.25,0.196	0.131
52	"AT2G22920"	"SCPL12"	chr2	+	9756348	9756473	9756975	9757089	9756175	9756247	9757203	9757249	52	23,13,36	39,27,59	51,38,36	72,47,93	198	198	0.808859160738	1.0	0.371,0.325,0.379	0.415,0.447,0.279	-0.022
53	"AT2G22920"	"SCPL12"	chr2	+	9756348	9756473	9756975	9757111	9756175	9756247	9757203	9757249	53	23,13,36	11,8,5	51,38,36	6,11,16	198	198	0.538278727003	1.0	0.676,0.619,0.878	0.895,0.776,0.692	-0.063
54	"AT4G14385"	"AT4G14385"	chr4	-	8287347	8287430	8287516	8287544	8287010	8287279	8288078	8288148	54	12,15,18	18,14,19	21,17,15	15,7,8	126	181	0.0248416971155	0.251522183294	0.489,0.606,0.576	0.668,0.777,0.729	-0.168
55	"AT4G14385"	"AT4G14385"	chr4	-	8287378	8287430	8287516	8287544	8286985	8287279	8288078	8288148	55	12,15,18	65,27,59	21,17,15	72,46,84	126	150	0.628415568806	1.0	0.18,0.398,0.266	0.258,0.306,0.175	0.035
56	"AT3G60910"	"AT3G60910"	chr3	+	22502405	22502425	22502511	22502564	22502241	22502310	22502677	22502708	56	20,9,24	29,31,52	21,13,27	66,54,75	118	151	0.138584482703	0.648929784951	0.469,0.271,0.371	0.289,0.236,0.315	0.09
57	"AT3G08840"	"AT3G08840"	chr3	-	2682386	2682478	2682619	2682856	2681948	2682193	2683232	2683280	57	40,57,61	2,5,8	68,22,61	23,6,9	198	190	0.0019159877198	0.0310390010608	0.95,0.916,0.88	0.739,0.779,0.867	0.12
58	"AT4G01290"	"AT4G01290"	chr4	-	539944	540029	540446	540863	538540	539878	541483	541764	58	187,162,246	181,176,222	248,95,224	222,135,230	198	183	0.502880386552	1.0	0.488,0.46,0.506	0.508,0.394,0.474	0.026
60	"AT2G34680"	"AIR9"	chr2	-	14626308	14626374	14626464	14626527	14625909	14626009	14626659	14626725	60	41,46,91	37,39,75	84,24,75	80,26,71	161	164	0.448356565721	1.0	0.53,0.546,0.553	0.517,0.485,0.518	0.036
61	"AT2G38550"	"FAX3"	chr2	+	16133670	16133720	16133809	16133847	16133142	16133310	16134111	16134415	61	129,93,167	102,83,101	131,87,143	83,86,92	148	136	0.924547161882	1.0	0.537,0.507,0.603	0.592,0.482,0.588	-0.005
62	"AT2G17200"	"DSK2B"	chr2	-	7482613	7482642	7483034	7483087	7482357	7482441	7483267	7483381	62	145,108,153	73,44,67	148,96,164	72,43,69	151	127	0.985522313585	1.0	0.626,0.674,0.658	0.634,0.653,0.667	0.001
64	"AT1G14820"	"AT1G14820"	chr1	-	5105887	5105924	5106162	5106531	5105682	5105800	5106721	5106949	64	0,0,0	24,20,36	1,0,0	26,13,35	198	135	1	1.0	0.0,0.0,0.0	0.026,0.0,0.0	-0.009
65	"AT1G14820"	"AT1G14820"	chr1	-	5105887	5105924	5106162	5106421	5105682	5105800	5106721	5106954	65	53,68,95	24,20,36	94,52,92	26,13,35	198	135	0.388933785111	1.0	0.601,0.699,0.643	0.711,0.732,0.642	-0.047
66	"AT3G28130"	"AT3G28130"	chr3	+	10467731	10467978	10468076	10468238	10466086	10466200	10468314	10468463	66	171,123,195	145,133,169	74,44,115	75,52,84	198	198	0.951882128338	1.0	0.541,0.48,0.536	0.497,0.458,0.578	0.008
67	"AT5G10490"	"MSL2"	chr5	-	3303785	3303842	3303927	3303981	3303545	3303706	3304642	3304761	67	0,4,1	41,44,55	3,0,8	42,29,59	152	155	0.0550334314337	0.344098821728	0.0,0.085,0.018	0.068,0.0,0.121	-0.029
68	"AT5G10490"	"MSL2"	chr5	-	3303785	3303842	3303927	3304104	3303545	3303706	3304642	3304761	68	72,57,106	41,44,55	123,42,144	42,29,59	198	155	0.140292308835	0.648929784951	0.579,0.504,0.601	0.696,0.531,0.656	-0.066
69	"AT1G54730"	"AT1G54730"	chr1	+	20428048	20428111	20428387	20428447	20427299	20427343	20428788	20428842	69	45,26,41	82,56,82	52,34,54	75,41,63	161	158	0.0158408621098	0.188638179141	0.35,0.313,0.329	0.405,0.449,0.457	-0.106
70	"AT1G09932"	"AT1G09932"	chr1	-	3231736	3231811	3232016	3232137	3231543	3231632	3232476	3232556	70	34,10,25	16,7,10	15,19,30	15,13,14	198	173	0.317256027128	0.971793436047	0.65,0.555,0.686	0.466,0.561,0.652	0.071
71	"AT1G30810"	"JMJ18"	chr1	-	10941469	10941580	10941766	10941825	10941018	10941105	10942045	10942292	71	0,0,2	23,15,36	1,0,0	18,11,27	157	198	1	1.0	0.0,0.0,0.065	0.065,0.0,0.0	0.0
72	"AT3G61440"	"CYSC1"	chr3	+	22737383	22737443	22737518	22737599	22737225	22737305	22737693	22737978	72	1151,950,1474	1872,1475,2219	1661,980,1774	2261,1556,2850	158	179	0.72790456298	1.0	0.411,0.422,0.429	0.454,0.416,0.414	-0.007
73	"AT4G27040"	"VP22-1"	chr4	-	13574948	13575081	13575225	13575299	13574741	13574852	13575398	13575538	73	17,14,29	90,84,152	28,11,30	161,81,168	172	198	0.688677651748	1.0	0.179,0.161,0.18	0.167,0.135,0.171	0.016
75	"AT1G03090"	"MCCA"	chr1	+	741147	741207	741508	741601	740969	741065	741683	741795	75	22,30,43	49,31,58	37,15,41	46,20,57	158	191	0.685956324515	1.0	0.352,0.539,0.473	0.493,0.476,0.465	-0.023
77	"AT4G04330"	"AT4G04330"	chr4	-	2117037	2117054	2118002	2118120	2116865	2116928	2118202	2118297	77	265,188,339	50,21,56	276,121,239	44,27,43	198	115	0.442119635665	1.0	0.755,0.839,0.779	0.785,0.722,0.763	0.034
78	"AT5G48335"	"AT5G48335"	chr5	+	19588227	19588259	19588608	19588740	19587992	19588159	19589126	19589177	78	53,56,79	135,111,173	96,63,124	220,141,263	130	198	0.946640572069	1.0	0.374,0.435,0.41	0.399,0.405,0.418	-0.001
79	"AT5G48335"	"AT5G48335"	chr5	+	19588608	19588740	19589126	19589177	19588227	19588259	19589313	19589606	79	135,129,201	96,73,88	196,133,220	119,57,139	198	149	0.964651196252	1.0	0.514,0.571,0.632	0.553,0.637,0.544	-0.006
80	"AT2G14285"	"AT2G14285"	chr2	-	6053097	6053135	6053487	6053537	6052852	6052917	6053917	6053994	80	12,7,16	40,43,53	10,4,23	43,33,67	148	136	0.939413118361	1.0	0.216,0.13,0.217	0.176,0.1,0.24	0.016
81	"AT3G23255"	"AT3G23255"	chr3	+	8312156	8312200	8312274	8312391	8311965	8312086	8312486	8312570	81	11,5,22	33,28,53	15,13,13	39,25,39	142	198	0.471625655631	1.0	0.317,0.199,0.367	0.349,0.42,0.317	-0.068
82	"AT4G02120"	"AT4G02120"	chr4	+	942339	942386	942473	942543	942202	942265	942609	942672	82	70,48,68	77,57,97	73,55,104	82,51,97	145	168	0.159247865503	0.678898795039	0.513,0.494,0.448	0.508,0.555,0.554	-0.054
83	"AT4G02120"	"AT4G02120"	chr4	+	942473	942543	942609	942672	942202	942265	942737	942827	83	13,5,10	74,76,107	5,1,2	95,72,85	168	161	0.000349170796957	0.00707070863838	0.144,0.059,0.082	0.048,0.013,0.022	0.067
84	"AT4G02120"	"AT4G02120"	chr4	+	942473	942543	942609	942672	942339	942386	942737	942827	84	84,77,142	72,71,104	104,75,153	86,68,81	168	161	0.460506031667	1.0	0.528,0.51,0.567	0.537,0.514,0.644	-0.03
86	"AT2G22990"	"SCPL8"	chr2	+	9787643	9787681	9787776	9787878	9787444	9787547	9788309	9788396	86	305,269,440	701,519,894	548,236,490	1045,445,1005	136	198	0.503453856402	1.0	0.388,0.43,0.417	0.433,0.436,0.415	-0.016
87	"AT3G07770"	"Hsp89.1"	chr3	+	2481576	2481651	2481719	2481824	2481378	2481438	2481947	2482088	87	85,84,127	131,84,189	140,61,123	149,73,142	173	198	0.259399613724	0.913537770071	0.426,0.534,0.435	0.518,0.489,0.498	-0.037
