ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
59	"AT5G58790"	"AT5G58790"	chr5	+	23745447	23745636	23745467	23745636	23745249	23745359
60	"AT5G58790"	"AT5G58790"	chr5	+	23745447	23745636	23745478	23745636	23745249	23745359
61	"AT5G58790"	"AT5G58790"	chr5	+	23745467	23745636	23745478	23745636	23745249	23745359
62	"AT4G33240"	"FAB1A"	chr4	-	16030372	16031812	16030372	16031800	16032190	16032355
63	"AT4G33240"	"FAB1A"	chr4	-	16035782	16036505	16035782	16036502	16036679	16037358
64	"AT1G33430"	"B3GALT8"	chr1	-	12124987	12125311	12124987	12125287	12125392	12125638
65	"AT3G08505"	"MKRN"	chr3	-	2580076	2580288	2580076	2580280	2580376	2580455
66	"AT4G18020"	"APRR2"	chr4	-	10006534	10006775	10006534	10006755	10007397	10007491
67	"AT1G59750"	"ARF1"	chr1	+	21983071	21983541	21983080	21983541	21982823	21982989
68	"AT1G59750"	"ARF1"	chr1	+	21983071	21983541	21983080	21983541	21982823	21982995
69	"AT5G20090"	"MPC1"	chr5	-	6787901	6788005	6787901	6788002	6788522	6788637
70	"AT2G26430"	"CYCL1-1"	chr2	-	11245186	11245268	11245186	11245261	11245352	11245528
71	"AT1G27760"	"SAT32"	chr1	+	9669341	9669422	9669353	9669422	9669096	9669265
72	"AT5G15070"	"AT5G15070"	chr5	+	4885144	4885249	4885174	4885249	4884899	4885067
73	"AT5G49020"	"PRMT14"	chr5	+	19872192	19872339	19872198	19872339	19871952	19872061
74	"AT2G37340"	"RS2Z33"	chr2	-	15671560	15671818	15671560	15671600	15672224	15672338
75	"AT5G13980"	"AT5G13980"	chr5	+	4513925	4514025	4513956	4514025	4513841	4513889
76	"AT1G59865"	"AT1G59865"	chr1	-	22032533	22032844	22032533	22032639	22032999	22033297
77	"AT1G18270"	"AT1G18270"	chr1	-	6292979	6293063	6292979	6293060	6293295	6293371
78	"AT3G06550"	"AT3G06550"	chr3	-	2042169	2042313	2042169	2042310	2042400	2042492
79	"AT5G65640"	"BHLH93"	chr5	+	26238553	26238721	26238563	26238721	26238239	26238422
80	"AT1G52560"	"HSP26.5"	chr1	-	19574759	19575201	19574759	19575180	19575486	19575866
81	"AT5G02840"	"RVE4"	chr5	+	651161	651286	651183	651286	650860	650920
82	"AT5G06839"	"TGA10"	chr5	+	2122774	2123049	2122777	2123049	2122602	2122684
83	"AT3G04520"	"THA2"	chr3	-	1217911	1217970	1217911	1217967	1218071	1218204
84	"AT5G24580"	"AT5G24580"	chr5	-	8411277	8411544	8411277	8411535	8411744	8411967
85	"AT1G42525"	"AT1G42525"	chr1	+	15966848	15967057	15966869	15967057	15966673	15966719
86	"AT2G30390"	"FC2"	chr2	-	12952011	12952194	12952011	12952164	12952286	12952413
87	"AT1G09840"	"ASK10"	chr1	-	3199380	3199623	3199380	3199619	3199709	3199978
88	"AT5G04430"	"BTR1"	chr5	-	1251439	1251564	1251439	1251501	1252064	1252258
89	"AT3G45090"	"AT3G45090"	chr3	-	16493512	16493811	16493512	16493806	16494299	16494454
90	"AT1G51980"	"AT1G51980"	chr1	-	19323827	19323940	19323827	19323932	19324050	19324100
91	"AT1G67840"	"CSK"	chr1	+	25436194	25436472	25436198	25436472	25435893	25436099
92	"AT1G55310"	"SCL33"	chr1	+	20632147	20632279	20632150	20632279	20631884	20632055
93	"AT3G57550"	"GK-2"	chr3	+	21308930	21309027	21308933	21309027	21308800	21308846
94	"AT5G49970"	"PPOX1"	chr5	+	20330718	20330961	20330751	20330961	20330442	20330609
95	"AT1G05710"	"AT1G05710"	chr1	+	1716558	1716735	1716690	1716735	1716418	1716484
96	"AT4G30560"	"CNGC9"	chr4	-	14928876	14929484	14928876	14929465	14929613	14929717
97	"AT1G18070"	"AT1G18070"	chr1	-	6215238	6215377	6215238	6215344	6215592	6215743
98	"AT5G44785"	"OSB3"	chr5	-	18071545	18071616	18071545	18071610	18071696	18071847
99	"AT2G30140"	"UGT87A2"	chr2	+	12872819	12873820	12872822	12873820	12872133	12872695
100	"AT1G75560"	"AT1G75560"	chr1	-	28372562	28373050	28372562	28372748	28373191	28373241
101	"AT3G04630"	"WDL1"	chr3	+	1259566	1259661	1259569	1259661	1259226	1259461
102	"AT5G38520"	"AT5G38520"	chr5	+	15422476	15422690	15422512	15422690	15422286	15422380
103	"AT1G54610"	"AT1G54610"	chr1	-	20393791	20394264	20393791	20394261	20394584	20394702
104	"AT5G36930"	"AT5G36930"	chr5	-	14571428	14571933	14571428	14571909	14572404	14572449
105	"AT4G24190"	"SHD"	chr4	-	12555562	12555680	12555562	12555676	12555784	12555909
106	"AT4G13020"	"MHK"	chr4	+	7604329	7604446	7604356	7604446	7604203	7604272
107	"AT4G13020"	"MHK"	chr4	+	7606676	7607155	7606679	7607155	7606522	7606601
108	"AT4G13020"	"MHK"	chr4	+	7606679	7607111	7606689	7607111	7606522	7606601
109	"AT2G11000"	"ATMAK10"	chr2	-	4344896	4345169	4344896	4345129	4345760	4345841
110	"AT1G62180"	"APR2"	chr1	-	22976899	22977029	22976899	22977008	22977113	22977251
111	"AT4G01100"	"ADNT1"	chr4	+	478390	478470	478432	478470	478155	478319
112	"AT3G61560"	"RTNLB6"	chr3	+	22778539	22778681	22778574	22778681	22778265	22778446
113	"AT5G11700"	"AT5G11700"	chr5	-	3763813	3764030	3763813	3763928	3764319	3764606
114	"AT5G52410"	"AT5G52410"	chr5	+	21276693	21277022	21276715	21277022	21276501	21276618
115	"AT1G64625"	"BHLH157"	chr1	+	24017646	24017736	24017676	24017736	24017545	24017587
116	"AT1G04020"	"BARD1"	chr1	+	1037920	1038175	1037923	1038175	1037530	1037746
117	"AT5G45510"	"AT5G45510"	chr5	+	18448937	18449446	18449020	18449446	18445186	18448755
118	"AT4G31800"	"WRKY18"	chr4	+	15383488	15383551	15383491	15383551	15383200	15383364
119	"AT4G10480"	"AT4G10480"	chr4	-	6478515	6478640	6478515	6478637	6478832	6478920
120	"AT1G54080"	"UBP1A"	chr1	-	20185312	20185400	20185312	20185388	20185573	20185661
121	"AT1G76440"	"AT1G76440"	chr1	-	28682821	28683044	28682821	28683009	28683672	28683750
122	"AT1G17130"	"AT1G17130"	chr1	+	5854864	5855035	5854885	5855035	5854147	5854461
123	"AT5G22050"	"AT5G22050"	chr5	+	7302762	7302832	7302769	7302832	7302596	7302692
124	"AT5G01520"	"AT5G01520"	chr5	+	208169	208611	208188	208611	207866	208101
125	"AT5G18420"	"AT5G18420"	chr5	-	6105904	6105989	6105904	6105986	6106199	6106341
126	"AT1G29120"	"AT1G29120"	chr1	+	10175212	10175363	10175215	10175363	10174280	10174670
127	"AT1G29120"	"AT1G29120"	chr1	+	10177134	10177190	10177137	10177190	10176986	10177042
128	"AT1G70730"	"PGM2"	chr1	-	26672645	26672882	26672645	26672711	26673091	26673166
129	"AT1G28610"	"AT1G28610"	chr1	-	10054233	10054760	10054233	10054510	10054865	10055081
130	"AT2G01250"	"RPL7B"	chr2	-	132696	133158	132696	133079	133257	133360
131	"AT2G39470"	"PNSL1"	chr2	+	16477367	16477464	16477369	16477464	16477211	16477283
132	"AT1G05170"	"B3GALT2"	chr1	-	1493327	1493401	1493327	1493392	1493494	1493591
133	"AT4G24620"	"PGI1"	chr4	-	12708751	12709106	12708751	12709102	12709192	12709259
134	"AT1G49870"	"AT1G49870"	chr1	+	18460907	18461054	18460916	18461054	18460211	18460464
135	"AT3G27460"	"AT3G27460"	chr3	-	10160563	10160673	10160563	10160670	10160879	10160956
136	"AT1G32410"	"AT1G32410"	chr1	+	11694367	11694496	11694388	11694496	11693831	11693925
137	"AT4G13250"	"NYC1"	chr4	-	7685840	7685915	7685840	7685909	7686007	7686143
138	"AT3G09350"	"Fes1A"	chr3	+	2871387	2871830	2871687	2871830	2871044	2871301
139	"AT4G17900"	"AT4G17900"	chr4	+	9946692	9946890	9946696	9946890	9945869	9946108
140	"AT5G65010"	"ASN2"	chr5	+	25972062	25972575	25972065	25972575	25971876	25971984
141	"AT4G17140"	"AT4G17140"	chr4	-	9618792	9618901	9618792	9618897	9618978	9619055
142	"AT2G32010"	"CVL1"	chr2	+	13628602	13628700	13628636	13628700	13627858	13628110
143	"AT1G47900"	"FPP6"	chr1	-	17648016	17648077	17648016	17648071	17648157	17650420
144	"AT2G37260"	"WRKY44"	chr2	+	15645767	15646408	15645773	15646408	15645575	15645701
145	"AT5G45190"	"CYCT1-5"	chr5	-	18279996	18280078	18279996	18280071	18280506	18280765
146	"AT4G21280"	"PSBQ1"	chr4	+	11335091	11335390	11335094	11335390	11334401	11334722
147	"AT1G76280"	"AT1G76280"	chr1	-	28621672	28621780	28621672	28621768	28621954	28622142
148	"AT4G02880"	"AT4G02880"	chr4	+	1275741	1276403	1275753	1276403	1275475	1275638
149	"AT2G20970"	"AT2G20970"	chr2	+	9010447	9011067	9010453	9011067	9010146	9010372
150	"AT3G62300"	"DUF7"	chr3	+	23055756	23055844	23055759	23055844	23055323	23055572
151	"AT5G18610"	"AT5G18610"	chr5	+	6192613	6192856	6192689	6192856	6192442	6192477
152	"AT1G16180"	"AT1G16180"	chr1	+	5540859	5541088	5540862	5541088	5540426	5540531
153	"AT4G21720"	"AT4G21720"	chr4	+	11543743	11543899	11543795	11543899	11543532	11543586
154	"AT2G02390"	"GSTZ1"	chr2	+	629517	629624	629538	629624	629296	629353
155	"AT5G64040"	"PSAN"	chr5	-	25628587	25628813	25628587	25628809	25628905	25629031
156	"AT5G58320"	"NET4A"	chr5	+	23579523	23579786	23579528	23579786	23578091	23579429
157	"AT3G24870"	"EAF1B"	chr3	-	9074664	9076772	9074664	9076766	9077021	9077400
158	"AT3G24870"	"EAF1B"	chr3	-	9080848	9080906	9080848	9080903	9081022	9081103
159	"AT1G66270"	"BGLU21"	chr1	-	24701799	24701887	24701799	24701881	24701977	24702055
160	"AT1G35190"	"AT1G35190"	chr1	+	12891418	12891540	12891487	12891540	12891224	12891276
161	"AT1G63860"	"AT1G63860"	chr1	-	23702094	23702184	23702094	23702146	23702325	23702660
162	"AT2G23740"	"SUVR5"	chr2	+	10099282	10101955	10099303	10101955	10099089	10099200
163	"AT2G40270"	"AT2G40270"	chr2	-	16823311	16823715	16823311	16823694	16824067	16824137
164	"AT1G60600"	"ABC4"	chr1	-	22326365	22326590	22326365	22326582	22326669	22326769
165	"AT3G44540"	"FAR4"	chr3	+	16127380	16127508	16127435	16127508	16126967	16127237
166	"AT5G09410"	"CMTA1"	chr5	+	2923507	2923572	2923518	2923572	2923203	2923333
167	"AT5G62950"	"AT5G62950"	chr5	-	25262224	25262495	25262224	25262488	25262597	25262750
168	"AT1G54217"	"AT1G54217"	chr1	-	20244703	20244824	20244703	20244821	20244995	20245059
169	"AT5G53460"	"GLT1"	chr5	+	21709698	21709736	21709709	21709736	21709368	21709630
170	"AT5G48830"	"AT5G48830"	chr5	-	19800861	19801212	19800861	19801191	19801276	19801414
171	"AT2G34470"	"UREG"	chr2	-	14532063	14532267	14532063	14532264	14532358	14532505
172	"AT5G08185"	"MIR162A"	chr5	-	2634771	2634875	2634771	2634872	2634973	2635046
173	"AT5G08185"	"MIR162A"	chr5	-	2634771	2634875	2634771	2634872	2635133	2635226
174	"AT5G08185"	"MIR162A"	chr5	-	2635133	2635226	2635133	2635215	2635321	2635438
175	"AT1G01060"	"LHY"	chr1	-	34400	35474	34400	35471	35566	35647
176	"AT1G62790"	"AT1G62790"	chr1	+	23253383	23253743	23253386	23253743	23252895	23252943
177	"AT1G73490"	"AT1G73490"	chr1	-	27634184	27634292	27634184	27634289	27634521	27634598
178	"AT1G73490"	"AT1G73490"	chr1	-	27634184	27634292	27634184	27634289	27634693	27634742
179	"AT1G34120"	"IP5P1"	chr1	+	12428879	12428988	12428882	12428988	12428612	12428803
180	"AT1G62800"	"ASP4"	chr1	-	23256617	23256701	23256617	23256695	23256952	23257014
181	"AT1G52630"	"AT1G52630"	chr1	-	19607836	19607941	19607836	19607907	19608198	19608278
182	"AT5G10630"	"AT5G10630"	chr5	+	3360756	3360921	3360759	3360921	3360551	3360663
183	"AT2G47650"	"UXS4"	chr2	-	19538609	19538996	19538609	19538978	19539063	19539156
184	"AT4G02760"	"AT4G02760"	chr4	-	1226311	1226412	1226311	1226397	1226580	1226691
185	"AT4G02760"	"AT4G02760"	chr4	-	1227479	1228236	1227479	1228011	1228662	1228941
186	"AT2G40910"	"AT2G40910"	chr2	-	17071203	17071311	17071203	17071279	17071449	17071657
187	"AT5G58370"	"AT5G58370"	chr5	+	23595538	23595672	23595561	23595672	23595422	23595458
188	"AT1G29170"	"SCAR3"	chr1	-	10190529	10190646	10190529	10190632	10190746	10190839
189	"AT5G66720"	"AT5G66720"	chr5	-	26639669	26639979	26639669	26639970	26640048	26640545
190	"AT1G33050"	"AT1G33050"	chr1	-	11968588	11968744	11968588	11968675	11968970	11970511
191	"AT5G15310"	"ATMYB16"	chr5	+	4975738	4976227	4975771	4976227	4975311	4975661
192	"AT1G25280"	"TULP10"	chr1	+	8865424	8865728	8865428	8865728	8864870	8865326
193	"AT4G17640"	"CKB2"	chr4	+	9826343	9826453	9826358	9826453	9825991	9826216
194	"AT1G08920"	"SUGTL2"	chr1	+	2869514	2869595	2869535	2869595	2869377	2869440
195	"AT2G28560"	"RAD51B"	chr2	-	12237321	12237457	12237321	12237441	12237532	12237624
196	"AT4G11890"	"CRK45"	chr4	+	7148614	7148825	7148619	7148825	7148429	7148527
197	"AT3G59210"	"AT3G59210"	chr3	+	21889788	21890877	21889811	21890877	21889637	21889695
198	"AT3G59210"	"AT3G59210"	chr3	+	21889788	21890877	21889909	21890877	21889637	21889695
199	"AT3G59210"	"AT3G59210"	chr3	+	21889811	21890877	21889909	21890877	21889637	21889695
200	"AT2G38995"	"AT2G38995"	chr2	+	16283820	16283918	16283823	16283918	16283314	16283381
201	"AT4G23800"	"HMGB6"	chr4	+	12392066	12392152	12392084	12392152	12391807	12391978
202	"AT5G47690"	"AT5G47690"	chr5	+	19325221	19325311	19325224	19325311	19324534	19325134
203	"AT5G47690"	"AT5G47690"	chr5	+	19326613	19326867	19326616	19326867	19326315	19326446
204	"AT2G17410"	"ARID3"	chr2	+	7562896	7562979	7562912	7562979	7562762	7562829
205	"AT3G26720"	"AT3G26720"	chr3	+	9822819	9823186	9822949	9823186	9822659	9822728
206	"AT3G28230"	"AT3G28230"	chr3	+	10529456	10529656	10529459	10529656	10529214	10529373
207	"AT2G36960"	"TKI1"	chr2	+	15525311	15525422	15525314	15525422	15524826	15525106
208	"AT2G36960"	"TKI1"	chr2	+	15525522	15525677	15525528	15525677	15525314	15525422
209	"AT2G26980"	"CIPK3"	chr2	-	11515562	11515637	11515562	11515619	11515703	11515817
210	"AT2G29960"	"CYP19-4"	chr2	-	12769032	12769397	12769032	12769367	12769480	12769663
211	"AT5G23430"	"AT5G23430"	chr5	-	7893670	7894139	7893670	7894136	7894223	7894292
212	"AT2G38185"	"AT2G38185"	chr2	+	16001041	16001135	16001064	16001135	16000675	16000801
213	"AT5G19330"	"ARIA"	chr5	-	6508971	6509051	6508971	6509006	6509132	6509196
214	"AT1G02190"	"AT1G02190"	chr1	+	416730	416838	416742	416838	416044	416435
215	"AT5G15020"	"SNL2"	chr5	-	4865492	4865576	4865492	4865571	4865716	4866031
216	"AT1G06960"	"AT1G06960"	chr1	+	2136414	2136587	2136449	2136587	2135851	2136002
217	"AT5G22320"	"AT5G22320"	chr5	-	7389283	7389379	7389283	7389331	7389452	7389517
218	"AT4G17740"	"CTPA2"	chr4	-	9869245	9869537	9869245	9869507	9869638	9869752
219	"AT4G38360"	"LAZ1"	chr4	+	17969107	17969364	17969112	17969364	17968672	17968934
220	"AT1G12740"	"CYP87A2"	chr1	+	4342722	4343062	4342740	4343062	4342281	4342658
221	"AT2G16960"	"AT2G16960"	chr2	+	7367961	7368081	7368009	7368081	7367848	7367923
222	"AT1G09195"	"AT1G09195"	chr1	-	2967939	2968254	2967939	2968199	2968379	2968403
223	"AT1G09195"	"AT1G09195"	chr1	-	2967939	2968254	2967939	2968199	2968474	2968536
224	"AT1G09195"	"AT1G09195"	chr1	-	2967939	2968254	2967939	2968199	2968652	2968758
225	"AT5G64080"	"AT5G64080"	chr5	-	25645262	25645629	25645262	25645617	25646000	25646027
226	"AT3G24560"	"RSY3"	chr3	+	8964625	8964812	8964635	8964812	8964394	8964555
227	"AT3G59820"	"AT3G59820"	chr3	-	22098027	22098394	22098027	22098392	22098475	22098591
228	"AT2G43010"	"PIF4"	chr2	+	17888715	17889050	17888721	17889050	17888259	17888577
229	"AT3G59770"	"SAC9"	chr3	-	22082389	22082680	22082389	22082632	22082750	22082921
230	"AT1G53780"	"RPT1B"	chr1	-	20076129	20076205	20076129	20076202	20076306	20076433
231	"AT1G53780"	"RPT1B"	chr1	-	20077199	20077316	20077199	20077292	20077441	20077543
232	"AT5G25040"	"AT5G25040"	chr5	+	8623852	8623970	8623860	8623970	8623371	8623755
233	"AT4G24230"	"ACBP3"	chr4	-	12566630	12567144	12566630	12567138	12567237	12567362
234	"AT5G32440"	"AT5G32440"	chr5	+	12078033	12078207	12078061	12078207	12077745	12077933
235	"AT1G77810"	"B3GALT7"	chr1	-	29261324	29261468	29261324	29261450	29261537	29261625
236	"AT1G77810"	"B3GALT7"	chr1	-	29262209	29262388	29262209	29262379	29262481	29262540
237	"AT4G01280"	"RVE5"	chr4	+	536210	536336	536213	536336	535947	536112
238	"AT1G80640"	"AT1G80640"	chr1	+	30313912	30314002	30313916	30314002	30313717	30313833
239	"AT5G66190"	"LFNR1"	chr5	-	26452349	26452483	26452349	26452478	26452571	26452800
240	"AT5G61410"	"RPE"	chr5	-	24683605	24683858	24683605	24683852	24684044	24684134
241	"AT5G01430"	"AT5G01430"	chr5	-	177979	178041	177979	178035	178447	178623
242	"AT2G32640"	"AT2G32640"	chr2	-	13848409	13848507	13848409	13848443	13848608	13848676
243	"AT4G26110"	"NAP1	chr4	+	13235009	13235879	13235430	13235879	13234714	13234904
244	"AT1G02090"	"CSN7"	chr1	-	387583	387672	387583	387655	388267	388406
245	"AT1G08220"	"AT1G08220"	chr1	-	2582796	2582865	2582796	2582860	2582997	2583038
246	"AT1G23690"	"AT1G23690"	chr1	-	8378065	8378206	8378065	8378191	8378300	8378465
247	"AT3G54620"	"BZIP25"	chr3	-	20218483	20218609	20218483	20218536	20218713	20218789
248	"AT1G67140"	"SWEETIE"	chr1	-	25104758	25105196	25104758	25105193	25105293	25105497
249	"AT2G38920"	"RF178"	chr2	-	16248145	16248522	16248145	16248517	16248826	16248885
250	"AT2G38920"	"RF178"	chr2	-	16248145	16248525	16248145	16248517	16248826	16248885
251	"AT2G38920"	"RF178"	chr2	-	16248145	16248525	16248145	16248522	16248826	16248885
252	"AT3G15840"	"PIFI"	chr3	-	5357810	5357889	5357810	5357880	5357965	5358050
253	"AT1G26320"	"AT1G26320"	chr1	+	9106481	9106564	9106496	9106564	9106232	9106399
254	"AT5G20580"	"AT5G20580"	chr5	-	6962000	6962109	6962000	6962105	6962214	6962306
255	"AT3G13810"	"IDD11"	chr3	+	4544953	4545119	4544970	4545119	4544363	4544501
256	"AT5G10320"	"AT5G10320"	chr5	-	3245895	3246032	3245895	3246029	3246155	3246237
257	"AT4G24400"	"CIPK8"	chr4	+	12620214	12620289	12620263	12620289	12620074	12620131
258	"AT4G36360"	"BGAL3"	chr4	-	17176341	17176980	17176341	17176977	17177068	17177608
259	"AT2G43680"	"IQD14"	chr2	+	18109479	18110415	18109482	18110415	18109278	18109376
260	"AT4G33625"	"AT4G33625"	chr4	-	16152925	16153185	16152925	16153182	16153264	16153345
261	"AT3G47910"	"AT3G47910"	chr3	-	17677229	17677430	17677229	17677427	17677516	17677643
262	"AT1G79870"	"HPR2"	chr1	+	30045332	30046027	30045366	30046027	30044745	30045193
263	"AT1G79870"	"HPR2"	chr1	+	30045332	30046027	30045366	30046027	30044745	30045216
264	"AT1G08450"	"CRT3"	chr1	-	2670158	2670417	2670158	2670255	2670606	2670799
265	"AT2G32000"	"AT2G32000"	chr2	-	13620663	13620757	13620663	13620752	13621014	13621118
266	"AT3G53520"	"UXS1"	chr3	+	19843461	19843554	19843467	19843554	19843281	19843356
267	"AT1G79480"	"AT1G79480"	chr1	-	29898016	29899099	29898016	29899096	29899188	29899604
268	"AT4G17620"	"AT4G17620"	chr4	+	9824575	9824639	9824579	9824639	9824425	9824510
269	"AT3G04600"	"AT3G04600"	chr3	+	1244816	1244897	1244820	1244897	1244653	1244750
270	"AT2G35520"	"DAD2"	chr2	+	14922188	14922279	14922191	14922279	14921763	14921811
271	"AT3G10915"	"RTNLB16"	chr3	-	3416444	3416517	3416444	3416514	3416617	3416759
272	"AT1G67660"	"AT1G67660"	chr1	+	25364104	25365229	25364117	25365229	25363534	25363689
273	"AT1G20020"	"LFNR2"	chr1	+	6943581	6943715	6943584	6943715	6943227	6943483
274	"AT1G20020"	"LFNR2"	chr1	+	6943581	6943715	6943584	6943715	6943227	6943486
275	"AT4G28640"	"IAA11"	chr4	+	14143738	14143969	14143743	14143969	14143586	14143648
276	"AT1G22700"	"AT1G22700"	chr1	-	8029085	8029399	8029085	8029384	8029487	8029524
277	"AT1G22700"	"AT1G22700"	chr1	-	8029487	8029528	8029487	8029524	8029755	8029971
278	"AT3G11945"	"HST"	chr3	-	3782140	3782265	3782140	3782253	3782673	3782954
279	"AT3G59060"	"PIF5"	chr3	-	21829824	21829913	21829824	21829902	21830181	21830507
280	"AT1G23950"	"AT1G23950"	chr1	-	8470134	8470221	8470134	8470215	8470346	8470602
281	"AT1G23950"	"AT1G23950"	chr1	-	8470134	8470221	8470134	8470215	8470351	8470602
282	"AT1G23950"	"AT1G23950"	chr1	-	8470351	8470602	8470351	8470512	8470683	8470897
283	"AT1G23950"	"AT1G23950"	chr1	-	8470351	8470602	8470351	8470512	8470698	8470897
