Gene ID	LSV ID	LSV Type	E(dPSI) per LSV junction	P(|dPSI|>=0.20) per LSV junction	P(|dPSI|<=0.05) per LSV junction	col0 E(PSI)	prmt5 E(PSI)	A5SS	A3SS	ES	Num. Junctions	Num. Exons	Junctions coords	IR coords
AT1G61900	AT1G61900:s:22882815-22882958	s|1e1.1o2|1e1.2o2	-0.00010466493434131672;0.0001046653360365543	1.0969230026827055e-12;6.11628136472418e-21	0.018017196288295456;0.01800249704077171	0.997;0.003	0.988;0.012	False	True	False	2	2	22882717-22882815;22882710-22882815	
AT1G11910	AT1G11910:s:4018905-4019017	s|1e1.1o1|i	0.0010205943658406404;-0.001020553945474868	1.3615464701814287e-20;3.1522053383350466e-18	0.002628295957666296;0.002628333476806688	0.646;0.354	0.644;0.356	False	False	False	1	2	4018821-4018905	4018821-4018905
AT3G14990	AT3G14990:s:5049194-5049334	s|1e1.1o1|i	-0.0027644438311411976;0.002764459293431956	0.0007568532353017919;0.0007568571944531233	0.0024490955198905873;0.0024490716623057907	0.648;0.352	0.633;0.367	False	False	False	1	2	5049334-5049424	5049334-5049424
AT5G12140	AT5G12140:s:3923270-3923480	s|1e1.1o1|i	0.005595243076479885;-0.005595228071761916	1.778156519827676e-20;1.8053321636019095e-20	0.0011812728177407195;0.0011812896801782768	0.650;0.350	0.658;0.342	False	False	False	1	2	3923174-3923270	3923174-3923270
AT1G01790	AT1G01790:s:286693-286807	s|1e1.1o2|1e1.2o2	0.01341678482628794;-0.013416733410363112	9.606303253929635e-07;9.607220481405532e-07	0.0002081501682515141;0.00020816388338307235	0.152;0.848	0.178;0.822	False	True	False	2	2	286807-286925;286807-286997	
AT3G16140	AT3G16140:s:5468940-5469066	s|1e1.1o1|i	0.0055372755114856615;-0.005537245392004593	1.2022216150713982e-20;1.228336374198386e-20	0.2995073193534136;0.2995070791523923	0.631;0.369	0.626;0.374	False	False	False	1	2	5468849-5468940	5468849-5468940
AT4G12780	AT4G12780:t:7516099-7516188	t|1e1.1o1|1e2.1o1	0.00021440742046297724;-0.00021440665649476504	1.1963926385925944e-08;1.1822635273333244e-08	0.0014686633991557799;0.001468743151403329	0.992;0.008	0.995;0.005	False	False	True	2	3	7515832-7516099;7516017-7516099	
AT3G60260	AT3G60260:t:22275069-22275178	t|1e1.1o1|1e2.1o1	0.007471330770014143;-0.007471283055534987	7.265290633094363e-05;7.265251996379382e-05	0.0001893948647404553;0.00018940235319009346	0.934;0.066	0.949;0.051	False	False	True	2	3	22274387-22275069;22274663-22275069	
AT3G59060	AT3G59060:s:21828386-21828736	s|1e1.1o2|1e1.2o2	0.019328976088620546;-0.019328926816637254	1.716707939786452e-10;1.564746576829791e-10	0.001006518444704353;0.0010065970609572927	0.845;0.155	0.871;0.129	False	True	False	2	2	21828308-21828386;21828302-21828386	
AT1G16880	AT1G16880:s:5775150-5775504	s|1e1.1o1|i	-0.0318077732317158;0.03180778719618587	2.391871549691438e-12;1.4090163021902532e-20	0.002433433991349987;0.002433236376980234	0.853;0.147	0.818;0.182	False	False	False	1	2	5775209-5775540	5775209-5775540
AT5G46270	AT5G46270:s:18764932-18766035	s|1e1.1o2|1e1.2o2	0.014798468284647561;-0.014798428281119717	8.747774618217703e-06;8.748288379489262e-06	0.00018942852262190252;0.00018944216356864274	0.097;0.903	0.122;0.878	False	True	False	2	2	18764859-18764932;18764841-18764932	
AT1G06410	AT1G06410:s:1957842-1958176	s|1e1.1o1|i	-0.032412937053372656;0.03241295832029602	2.2436511967383563e-06;2.243620308872729e-06	0.001136568532062232;0.0011364819281582655	0.635;0.365	0.595;0.405	False	False	False	1	2	1958176-1958283	1958176-1958283
AT2G02730	AT2G02730:s:765253-765324	s|1e1.1o2|1e1.2o2	-1.2527484184174098e-05;1.2527541733414615e-05	1.1143611957677398e-16;6.1002017633875435e-21	0.12969990564506484;0.12899190587806614	0.991;0.009	0.991;0.009	False	True	False	2	2	765168-765253;765164-765253	
AT2G26830	AT2G26830:s:11445426-11445517	s|1e1.1o2|1e1.2o2	0.15584993839783778;-0.15584993423433313	0.21227238448787913;0.21227234649748702	3.844367448536395e-06;3.8446608036091234e-06	0.763;0.237	0.926;0.074	False	True	False	2	2	11445517-11445947;11445517-11445957	
AT2G39800	AT2G39800:t:16601947-16602049	t|1e1.1o1|1e2.1o1	0.009357633547338342;-0.00935759025917098	8.442727323847924e-21;8.663890565439996e-21	0.448026849919604;0.44798594927642105	0.043;0.957	0.051;0.949	False	False	True	2	3	16602049-16602520;16602049-16602269	
AT5G35170	AT5G35170:s:13421489-13421508	s|1e1.1o1|i	-0.004023285347712983;0.004023301799548474	5.030033920912058e-09;5.0873290444197645e-09	0.002891129343496446;0.0028910886205769926	0.512;0.488	0.506;0.494	False	False	False	1	2	13421508-13421600	13421508-13421600
AT4G28780	AT4G28780:s:14215545-14215849	s|1e1.1o1|i	-0.02809709956650555;0.028097125712112578	5.746442512197085e-05;5.7465064090336966e-05	0.0008749994105499148;0.0008749354314778224	0.598;0.402	0.551;0.449	False	False	False	1	2	14215849-14215930	14215849-14215930
AT4G23010	AT4G23010:s:12061159-12061288	s|1e1.1o1|1e2.1o1	3.4743099932622845e-08;-3.4788294589744295e-08	6.0977273137790685e-21;6.097726840597611e-21	0.6403488775131828;0.59621298874839	0.002;0.998	0.002;0.998	False	False	True	2	3	12061075-12061159;12060738-12061159	
AT5G42080	AT5G42080:s:16821935-16822005	s|1e1.1o1|i	-0.01000079497943216;0.01000082135491915	2.529857072817142e-09;2.5599123489190673e-09	0.0028249683191318153;0.002824829010399016	0.647;0.353	0.625;0.375	False	False	False	1	2	16821795-16821935	16821795-16821935
AT4G18370	AT4G18370:s:10150352-10150443	s|1e1.1o1|2e1.1o1	3.2571859739272506e-10;-2.6637374642213e-10	6.097720019190963e-21;6.097720029839065e-21	0.9915856565451195;0.9936768671219923	0.987;0.013	0.990;0.010	True	False	False	2	2	10150439-10150773;10150443-10150773	
AT2G17130	AT2G17130:s:7461957-7462554	s|1e1.1o2|1e1.2o2	-0.04897010052004931;0.04897009997362577	0.004886476120845456;0.004886473395405387	3.418563651347295e-05;3.4182677681913846e-05	0.817;0.183	0.744;0.256	False	True	False	2	2	7461823-7461957;7461811-7461957	
AT3G04610	AT3G04610:t:1252157-1252403	t|1e1.2o2|1e2.1o1	-0.0022593222767669486;0.002259365228419399	4.603082613661273e-08;4.606053832962116e-08	0.000415563448148637;0.00041555497929324225	0.791;0.209	0.789;0.211	False	False	True	2	3	1252403-1253574;1252403-1252841	
AT3G49010	AT3G49010:t:18166769-18167192	t|1e1.1o1|1e2.1o2|1e2.2o2|i	7.77155982729795e-16;7.77155982729795e-16;-0.011485086665054082;0.01260470289074374	6.0448857830544e-21;6.0448857830544e-21;1.3860690863302953e-20;1.3496853344029307e-20	0.9999999926460882;0.9999999926460882;0.021729564208053276;0.01798815708501699	0.000;0.002;0.624;0.374	0.000;0.000;0.622;0.378	True	False	True	3	3	18167192-18167710;18167192-18167297;18167192-18167291	18167192-18167291
AT5G04510	AT5G04510:s:1286866-1287405	s|1e1.1o1|2e1.1o1	0.07733652646492353;-0.07733664414197591	0.004477715944135755;0.004477728780194992	1.5458409958821627e-05;1.5459567157316556e-05	0.037;0.963	0.131;0.869	True	False	False	2	2	1287385-1287543;1287405-1287543	
AT1G25440	AT1G25440:s:8934286-8935460	s|1e1.1o1|i	-0.0027666672517061394;0.0027667103625215335	1.1688726892370163e-20;1.1551694345656203e-20	0.011585632632245657;0.01158572464473051	0.628;0.372	0.614;0.386	False	False	False	1	2	8934193-8934286	8934193-8934286
AT2G22990	AT2G22990:s:9786316-9786511	s|1e1.1o1|i	-0.1496428352385747;0.14964283843589288	0.1759097026006978;0.175909648715316	9.89850280019855e-05;9.897689729052084e-05	0.557;0.443	0.418;0.582	False	False	False	1	2	9786511-9786583	9786511-9786583
AT3G03770	AT3G03770:s:945840-945951	s|1e1.1o1|i	-0.004824987042000431;0.0048250129086341575	2.3480783022353495e-10;2.357788761465025e-10	0.0031276112359556185;0.0031275470463654753	0.642;0.358	0.645;0.355	False	False	False	1	2	945760-945840	945760-945840
AT3G19670	AT3G19670:s:6830351-6830443	s|1e1.1o3|1e1.2o3|1e1.3o3	-0.005876498670838682;0.016737988802377795;-0.0006318857937664165	1.2425978224281528e-10;4.792546071200754e-08;6.223765367602633e-21	0.0027198928357622387;0.00035768633045478427;0.14807987156330937	0.092;0.880;0.028	0.082;0.905;0.013	False	True	False	3	2	6830168-6830351;6830155-6830351;6830151-6830351	
AT3G02468	AT3G02468:s:509797-509952	s|1e1.1o1|i	-0.0027407139469060884;0.0027407298726120684	1.0649701293644144e-20;1.051575566204325e-20	0.1326461769559587;0.13264287060582247	0.658;0.342	0.645;0.355	False	False	False	1	2	509952-510048	509952-510048
AT1G62540	AT1G62540:s:23153988-23154143	s|1e1.1o1|i	-0.38712157714191975;0.3871215837130482	0.999911348889554;0.9999113517269614	9.434897307869505e-12;3.688939832820994e-12	0.565;0.435	0.178;0.822	False	False	False	1	2	23154143-23154270	23154143-23154270
AT4G16845	AT4G16845:s:9478928-9479011	s|1e1.1o2|1e1.2o2	-0.025026884228849904;0.025026902242647378	4.306142221272627e-05;4.306155829109055e-05	8.799816605753463e-05;8.799127575188914e-05	0.157;0.843	0.113;0.887	False	True	False	2	2	9479011-9479103;9479011-9479109	
AT5G17920	AT5G17920:s:5936800-5937191	s|1e1.1o1|i	-0.02890314162013361;0.02890313261159041	1.4056183567833775e-14;1.2656562014145551e-14	0.0003030634981114888;0.0003030444043555236	0.639;0.361	0.623;0.377	False	False	False	1	2	5937191-5937293	5937191-5937293
AT4G26850	AT4G26850:s:13499705-13499953	s|1e1.1o2|1e1.2o2|i	0.009505362358771138;7.77155982729795e-16;-0.009227161585630151	1.0772637265379201e-20;6.0448857830544e-21;1.1216987107035547e-20	0.09545117980823614;0.9999999926460882;0.12320037479375001	0.628;0.001;0.371	0.644;0.000;0.355	False	True	False	2	2	13499621-13499705;13499611-13499705	13499611-13499705
AT3G07650	AT3G07650:s:2441657-2441840	s|1e1.1o2|1e1.2o2	-0.018935678465438296;0.018935702181933276	0.0003174474560180945;0.00031744670384375746	8.1697384462176e-05;8.169240849119352e-05	0.386;0.614	0.350;0.650	False	True	False	2	2	2441840-2442463;2441840-2442466	
AT5G47730	AT5G47730:t:19336156-19336239	t|1e1.1o1|1e2.1o1	4.050710423197997e-05;-4.050690842477703e-05	7.269007432370725e-12;6.118205864618154e-21	0.015239336036205087;0.015228517035931644	0.989;0.011	0.995;0.005	False	False	True	2	3	19336239-19336448;19336239-19336353	
AT5G51720	AT5G51720:s:21009592-21009868	s|1e1.1o1|2e1.1o1|i	7.77155982729795e-16;-0.028507632913782707;0.032001792707038554	6.0448857830544e-21;0.007076440258380706;0.007719452965803392	0.9999999926460882;0.0007549695996637018;0.0007415927031946545	0.003;0.689;0.307	0.001;0.654;0.346	True	False	False	2	2	21009812-21010125;21009868-21010125	21009868-21010125
AT5G11200	AT5G11200:s:3568865-3568983	s|1e1.1o1|1e2.1o1|1e3.1o1|i	7.77155982729795e-16;7.77155982729795e-16;-0.06374868654574356;0.0639298454104813	6.0448857830544e-21;6.0448857830544e-21;0.01855983960917226;0.018674689169695502	0.9999999926460882;0.9999999926460882;0.00032734370124642975;0.00032371829075225893	0.000;0.000;0.626;0.374	0.000;0.000;0.557;0.442	False	False	True	3	4	3568983-3569153;3568983-3569315;3568983-3569670	3568983-3569670
AT1G48900	AT1G48900:s:18085207-18085300	s|1e1.1o1|i	7.77155982729795e-16;7.77155982729795e-16	6.0448857830544e-21;6.0448857830544e-21	0.9999999926460882;0.9999999926460882	0.000;1.000	0.001;0.999	False	False	False	1	2	18085073-18085207	18085073-18085207
AT2G30910	AT2G30910:s:13155496-13155601	s|1e1.1o1|2e1.1o1	0.30156723068236985;-0.30156716674226	0.9362406933903176;0.9362406529699279	4.4521197799933866e-07;4.4524798359368845e-07	0.144;0.856	0.459;0.541	True	False	False	2	2	13155597-13155737;13155601-13155737	
AT4G31210	AT4G31210:s:15165593-15166234	s|1e1.1o2|1e1.2o2	0.047925009929391096;-0.04792503331724347	0.0001915943195817941;0.00019159491532994238	6.195126502344674e-05;6.195591425828262e-05	0.023;0.977	0.095;0.905	False	True	False	2	2	15166234-15166295;15166234-15166307	
AT3G19720	AT3G19720:s:6853773-6853880	s|1e1.1o1|2e1.1o1	-7.909234021789411e-06;7.909313499394215e-06	3.29052705573045e-14;6.099264626139874e-21	0.029845474088020296;0.03000202896923093	0.997;0.003	0.996;0.004	True	False	False	2	2	6853673-6853788;6853673-6853773	
AT5G55896	AT5G55896:s:22633201-22633342	s|1e1.1o1|1e2.1o1	-0.06179648666261383;0.061796501630792734	0.057882575735912586;0.057882588704773925	2.8752819771993288e-05;2.8750789704889285e-05	0.411;0.589	0.297;0.703	False	False	True	2	3	22632769-22633201;22632511-22633201	
AT1G77620	AT1G77620:s:29168418-29168686	s|1e1.1o2|1e1.2o2	-0.007364597645251833;0.007364641797793022	7.933820958997036e-05;7.933760151945552e-05	0.00013806636601310096;0.0001380626578499078	0.882;0.118	0.866;0.134	False	True	False	2	2	29168262-29168418;29168259-29168418	
AT5G24780	AT5G24780:s:8508043-8508255	s|1e1.1o2|1e1.2o2	7.771559702176269e-16;7.771559702176269e-16	6.097720061512472e-21;6.097720061512472e-21	0.9999999997576716;0.9999999997576716	0.000;1.000	0.000;1.000	False	True	False	2	2	8507977-8508043;8507957-8508043	
AT3G19860	AT3G19860:s:6903833-6904068	s|1e1.1o1|2e1.1o1	-0.05655815129230231;0.05655815417636274	0.0001887464712419123;0.00018874698121057717	6.002903365220913e-05;6.002358442206302e-05	0.137;0.863	0.064;0.936	True	False	False	2	2	6903989-6904568;6904068-6904568	
AT3G08770	AT3G08770:s:2664453-2664834	s|1e1.1o2|1e1.2o2|i	-0.006394431724891193;7.77155982729795e-16;0.007498452485776177	8.329054614409704e-07;6.0448857830544e-21;7.476575254468107e-07	0.0020716061450846146;0.9999999926460882;0.0022670205738063443	0.641;0.001;0.357	0.623;0.000;0.377	False	True	False	2	2	2664358-2664453;2664351-2664453	2664351-2664453
AT2G05755	AT2G05755:s:2171313-2171466	s|1e1.1o2|1e1.2o2	-0.10170178664856859;0.10170178393422993	0.10163140436083251;0.1016314396858608	1.5714640267061597e-05;1.5713314866466007e-05	0.878;0.122	0.736;0.264	False	True	False	2	2	2171466-2171781;2171466-2171786	
AT1G24180	AT1G24180:s:8562529-8562608	s|1e1.1o2|1e1.2o2	0.012141497700549668;-0.012141457342746506	8.243963929511008e-21;1.2763116144338036e-11	0.006449915834833652;0.006450398926758583	0.018;0.982	0.049;0.951	False	True	False	2	2	8562412-8562529;8562131-8562529	
AT1G01800	AT1G01800:s:293500-293756	s|1e1.1o1|2e1.1o1	6.144983207444276e-16;7.771559702176269e-16	6.0977200615124516e-21;6.097720061512472e-21	0.9999999956938075;0.9999999997576716	0.999;0.001	0.999;0.001	True	False	False	2	2	293752-294055;293756-294055	
AT1G10760	AT1G10760:s:3583624-3583727	s|1e1.1o1|i	-0.020786937267118374;0.02078694776756895	1.2792485804600741e-09;1.2441287142688953e-09	0.001407298915619859;0.0014072416796399173	0.692;0.308	0.676;0.324	False	False	False	1	2	3583470-3583624	3583470-3583624
AT4G04750	AT4G04750:t:2421372-2421434	t|1e1.1o1|1e2.1o1	-0.027298095681079722;0.02729811432703277	0.004034076101462134;0.0040340760435266885	5.336308746495266e-05;5.336023919498556e-05	0.290;0.710	0.239;0.761	False	False	True	2	3	2421170-2421372;2421289-2421372	
AT5G04510	AT5G04510:s:1289001-1289173	s|1e1.1o1|i	-0.046285339034582734;0.04628535249621949	0.0022793249198122967;0.0022793270352102304	0.0005169943919827169;0.0005169528859430447	0.549;0.451	0.485;0.515	False	False	False	1	2	1289173-1289290	1289173-1289290
AT2G43850	AT2G43850:s:18160438-18160500	s|1e1.1o2|1e1.2o2	0.04781656696751185;-0.047816572229824765	0.018698962519610205;0.018698965182526697	3.318365368034856e-05;3.318616826442078e-05	0.561;0.439	0.641;0.359	False	True	False	2	2	18160334-18160438;18160327-18160438	
AT1G29660	AT1G29660:s:10371839-10372198	s|1e1.1o1|i	-0.07949742306625907;0.07949741449437958	0.06565798525563651;0.06565797084890546	0.0003013427906761734;0.0003013203726754721	0.659;0.341	0.566;0.434	False	False	False	1	2	10372198-10372359	10372198-10372359
AT4G00355	AT4G00355:s:154705-154895	s|1e1.1o2|1e1.2o2	-0.012151647327045515;0.012151687172677523	9.355973779464294e-07;9.352935224606561e-07	0.00019291226134043882;0.00019289971727332045	0.892;0.108	0.866;0.134	False	True	False	2	2	154895-155192;154895-155203	
AT4G24750	AT4G24750:s:12760397-12760492	s|1e1.1o1|i	-0.16297783389594722;0.16297785511191087	0.26156910651777965;0.26156921385169063	8.759427028670608e-05;8.758705251136314e-05	0.647;0.353	0.485;0.515	False	False	False	1	2	12760284-12760397	12760284-12760397
AT2G29630	AT2G29630:s:12668889-12669572	s|1e1.1o1|i	-0.008861511344520281;0.008861519843013116	1.089217694317905e-20;1.0340601302690242e-20	0.01665373622648067;0.01665332779163764	0.722;0.278	0.713;0.287	False	False	False	1	2	12669572-12669755	12669572-12669755
AT1G80050	AT1G80050:s:30112127-30112304	s|1e1.1o1|2e1.1o1	0.011843105525377425;-0.011843063870421059	8.226878102064628e-21;8.506835325006878e-21	0.13112963737889166;0.13113649478641365	0.022;0.978	0.048;0.952	True	False	False	2	2	30111980-30112160;30111980-30112127	
AT5G19140	AT5G19140:s:6425010-6425250	s|1e1.1o1|i	0.007602128010531147;-0.0076020936636182505	1.2046730584541813e-20;1.2670820491137092e-20	0.0021602109665734143;0.0021602873092864128	0.639;0.361	0.637;0.363	False	False	False	1	2	6425250-6425343	6425250-6425343
AT3G14990	AT3G14990:s:5047400-5047532	s|1e1.2o2|2e1.2o2	7.771559702176269e-16;7.771559702176269e-16	6.097720061512472e-21;6.097720061512472e-21	0.9999999997576716;0.9999999997576716	0.999;0.001	0.999;0.001	True	False	False	2	2	5047530-5047635;5047532-5047635	
AT2G26250	AT2G26250:s:11171492-11172117	s|1e1.1o1|i	-0.07354953885374516;0.0735495244531624	0.01841782541279983;0.018417826047327446	0.00030858091435703727;0.00030855601342668216	0.587;0.413	0.539;0.461	False	False	False	1	2	11171417-11171492	11171417-11171492
AT5G36700	AT5G36700:s:14421890-14422035	s|1e1.1o2|1e1.2o2|i	-0.0017852592162589116;7.77155982729795e-16;0.006599610432601146	6.619323034017939e-21;6.0448857830544e-21;7.969625801651593e-21	0.47500001036329287;0.9999999926460882;0.4750000025308351	0.040;0.005;0.956	0.008;0.000;0.992	False	True	False	2	2	14421791-14421890;14421775-14421890	14421775-14421890
AT3G30300	AT3G30300:s:11922788-11922878	s|1e1.1o2|1e1.2o2	0.014031653688126516;-0.014031631117016078	7.100292243054102e-09;7.15691601621594e-09	0.0005030388605697135;0.0005030724862887803	0.050;0.950	0.073;0.927	False	True	False	2	2	11922700-11922788;11922690-11922788	
AT4G02920	AT4G02920:s:1292523-1292905	s|1e1.1o2|1e1.2o2	-0.0019823694789878644;0.00198240529672971	2.3730334095203817e-07;2.3718191277915296e-07	0.00015107461304253444;0.00015107216405765844	0.445;0.555	0.437;0.563	False	True	False	2	2	1292905-1293227;1292905-1293230	
AT3G46970	AT3G46970:s:17305116-17305201	s|1e1.1o1|i	-0.06319313357080188;0.06319311734303476	0.006537106483760498;0.006537074069021347	0.000357550046570676;0.000357520496788956	0.683;0.317	0.610;0.390	False	False	False	1	2	17304961-17305116	17304961-17305116
AT2G23390	AT2G23390:s:9962799-9962981	s|1e1.1o2|1e1.2o2	-0.041391167337649505;0.04139121994846707	6.08468896165938e-16;1.339260657177026e-20	0.007089922840459284;0.00708939065355033	0.979;0.021	0.937;0.063	False	True	False	2	2	9962703-9962799;9962696-9962799	
AT3G25840	AT3G25840:s:9457090-9457554	s|1e1.1o1|1e2.1o1	-0.0011958572514263219;0.0011958598333717176	6.271041500551545e-10;1.1209239741739542e-09	0.003540354452484462;0.0035399986372848134	0.024;0.976	0.009;0.991	False	False	True	2	3	9456929-9457090;9456751-9457090	
AT4G02640	AT4G02640:s:1155593-1155942	s|1e1.1o1|i	-0.03918750772158232;0.039187501930108844	5.3046773822776764e-05;5.304624982816139e-05	0.000589846707452435;0.000589803634763762	0.461;0.539	0.403;0.597	False	False	False	1	2	1155942-1156064	1155942-1156064
AT3G56650	AT3G56650:s:20985307-20985634	s|1e1.1o1|i	-0.01852731781825375;0.01852732160119567	4.448935332650021e-08;4.449510001576454e-08	0.0009922390485006538;0.0009921868886919871	0.650;0.350	0.633;0.367	False	False	False	1	2	20985634-20985743	20985634-20985743
AT1G09750	AT1G09750:s:3157501-3158593	s|1e1.1o1|i	0.019975853370980824;-0.019975830300625122	0.00012811711895544876;0.00012811645469140424	0.001425904673415957;0.0014259990497541564	0.594;0.406	0.624;0.376	False	False	False	1	2	3158593-3158664	3158593-3158664
AT1G10865	AT1G10865:s:3615037-3615141	s|1e1.1o2|1e1.2o2	0.007917660329841565;-0.007917613627039903	3.4432808549902505e-15;7.40954960474777e-21	0.005272706111597943;0.005273096290047241	0.906;0.094	0.924;0.076	False	True	False	2	2	3614830-3615037;3614826-3615037	
AT4G24290	AT4G24290:s:12596809-12597028	s|1e1.1o1|2e1.1o1	0.028607149251599885;-0.028607121692374057	9.880996058297402e-15;1.181808857830746e-20	0.0072256403127417155;0.007226292609373686	0.941;0.059	0.993;0.007	True	False	False	2	2	12596975-12597123;12597028-12597123	
AT1G68890	AT1G68890:s:25902754-25902879	s|1e1.1o1|i	-0.18559970151726957;0.18559967818881468	0.3929513638674548;0.39295143702567104	3.703823216427704e-05;3.7035757285096915e-05	0.581;0.419	0.404;0.596	False	False	False	1	2	25902879-25902965	25902879-25902965
AT5G59290	AT5G59290:t:23915530-23915996	t|1e1.1o1|1e2.1o1	0.002059811773973412;-0.0020597990039234832	6.4598890184033045e-21;6.508573565540816e-21	0.4750053457443476;0.474904691938109	0.001;0.999	0.039;0.961	False	False	True	2	3	23915996-23916228;23915996-23916090	
