gene_name	gene_id	seqid	start	end
PCMP-E4	AT1G03540	1	883782	885611
AT1G03545	AT1G03545	1	885941	886608
SCAMP2	AT1G03550	1	887725	887956
AT1G03560	AT1G03560	1	890156	892410
AT1G03570	AT1G03570	1	892514	892585
AT1G03580	AT1G03580	1	892847	894052
PPC6-6	AT1G03590	1	897356	897518
PSB27-1	AT1G03600	1	898876	899655
AT1G03610	AT1G03610	1	900887	901396
AT1G03620	AT1G03620	1	906135	906186
PORC	AT1G03630	1	907642	907755
AT1G03640	AT1G03640	1	909811	909883
AT1G03650	AT1G03650	1	910860	911193
AT1G03660	AT1G03660	1	911436	911759
AT1G03670	AT1G03670	1	915538	916222
ATHM1	AT1G03680	1	917640	918064
AT1G03687	AT1G03687	1	918299	918601
AT1G03700	AT1G03700	1	920950	921195
AT1G03710	AT1G03710	1	923426	923755
AT1G03720	AT1G03720	1	926160	926373
AT1G03730	AT1G03730	1	930828	931895
AT1G03740	AT1G03740	1	933512	934708
AT1G03743	AT1G03743	1	937207	937287
AT1G03746	AT1G03746	1	937401	937485
SWI2	AT1G03750	1	937920	938309
AT1G03760	AT1G03760	1	943123	943377
RING1B	AT1G03770	1	944595	944982
TPX2	AT1G03780	1	951528	951730
SOM	AT1G03790	1	954525	956097
ERF10	AT1G03800	1	957261	957998
AT1G03810	AT1G03810	1	958759	959008
AT1G03820	AT1G03820	1	959869	960728
AT1G03830	AT1G03830	1	966446	966622
MGP	AT1G03840	1	969908	970130
GRXS13	AT1G03850	1	977280	977761
PHB2	AT1G03860	1	981773	981885
FLA9	AT1G03870	1	982506	983540
CRB	AT1G03880	1	985751	986068
CRD	AT1G03890	1	989198	989550
ATNAP4	AT1G03900	1	991139	991746
ABCI19	AT1G03905	1	993400	993631
CTN	AT1G03910	1	996115	996217
AT1G03920	AT1G03920	1	1001321	1001747
ADK1	AT1G03930	1	1004769	1005514
AT1G03935	AT1G03935	1	1008810	1008896
3AT1	AT1G03940	1	1009542	1011056
VPS2.3	AT1G03950	1	1013179	1013365
B''EPSILON	AT1G03960	1	1013715	1014237
GBF4	AT1G03970	1	1018100	1019247
PCS2	AT1G03980	1	1021800	1022108
RIC8	AT1G03982	1	1023008	1023719
FAO1	AT1G03990	1	1024847	1025095
AT1G04000	AT1G04000	1	1028106	1029119
PSAT	AT1G04010	1	1035886	1036237
BARD1	AT1G04020	1	1036537	1036692
AT1G04030	AT1G04030	1	1040383	1040680
AT1G04040	AT1G04040	1	1043392	1043864
SUVR1	AT1G04050	1	1049014	1049297
TOM9-1	AT1G04070	1	1050553	1051186
PRP39	AT1G04080	1	1051343	1051491
AT1G04090	AT1G04090	1	1057151	1057330
IAA10	AT1G04100	1	1059506	1060080
SBT1.2	AT1G04110	1	1061457	1063784
ABCC5	AT1G04120	1	1070688	1070927
TPR2	AT1G04130	1	1073427	1073569
AT1G04140	AT1G04140	1	1080233	1080630
AT1G04150	AT1G04150	1	1081208	1084246
XI-B	AT1G04160	1	1086495	1086497
EIF2 GAMMA	AT1G04170	1	1096946	1097120
AT1G04171	AT1G04171	1	1100444	1100608
YUC9	AT1G04180	1	1104623	1105288
TPR3	AT1G04190	1	1108400	1108715
AT1G04200	AT1G04200	1	1109482	1109865
AT1G04210	AT1G04210	1	1114405	1115192
KCS17	AT1G04220	1	1121716	1122526
AT1G04230	AT1G04230	1	1125518	1125728
IAA3	AT1G04240	1	1129135	1129551
IAA17	AT1G04250	1	1136258	1136620
PRA1D	AT1G04260	1	1140528	1141365
RPS15A	AT1G04270	1	1142958	1143053
AT1G04280	AT1G04280	1	1146523	1146654
AT1G04295	AT1G04295	1	1147781	1148072
AT1G04290	AT1G04290	1	1148173	1148533
AT1G04300	AT1G04300	1	1154496	1154652
ERS2	AT1G04310	1	1157546	1157711
AT1G04320	AT1G04320	1	1159023	1159093
AT1G04330	AT1G04330	1	1161311	1161982
AT1G04340	AT1G04340	1	1164670	1164851
AT1G04350	AT1G04350	1	1165165	1165801
ATL1	AT1G04360	1	1167457	1168878
ERF14	AT1G04370	1	1175177	1175578
AT1G04380	AT1G04380	1	1177921	1178407
AT1G04390	AT1G04390	1	1183530	1183704
CRY2	AT1G04400	1	1188187	1188517
MDH1	AT1G04410	1	1191225	1191412
AT1G04420	AT1G04420	1	1191608	1191858
AT1G04425	AT1G04425	1	1194187	1194277
AT1G04430	AT1G04430	1	1198118	1198326
CKL13	AT1G04440	1	1202255	1202890
AT1G04445	AT1G04445	1	1207344	1207862
RIC3	AT1G04450	1	1208521	1208547
AT1G04457	AT1G04457	1	1210319	1210549
AT1G04470	AT1G04470	1	1213980	1214662
RPL23C	AT1G04480	1	1216095	1216122
AT1G04490	AT1G04490	1	1219794	1219914
AT1G04500	AT1G04500	1	1224194	1224366
AT1G04501	AT1G04501	1	1224552	1224680
PRP19A	AT1G04510	1	1226575	1226761
CRRSP3	AT1G04520	1	1231578	1232272
TPR4	AT1G04530	1	1235455	1236034
AT1G04540	AT1G04540	1	1237256	1239061
IAA12	AT1G04550	1	1240375	1240784
AT1G04555	AT1G04555	1	1242558	1242896
AT1G04560	AT1G04560	1	1244947	1245199
AT1G04570	AT1G04570	1	1248117	1248775
AAO4	AT1G04580	1	1257375	1257510
AT1G04590	AT1G04590	1	1261270	1261426
XI-A	AT1G04600	1	1262123	1262125
YUC3	AT1G04610	1	1279388	1280237
HCAR	AT1G04620	1	1286411	1286584
AT1G04625	AT1G04625	1	1289694	1289820
MEE4	AT1G04630	1	1290772	1291112
EMB1687	AT1G04635	1	1291314	1291995
LIP2	AT1G04640	1	1292080	1292155
AT1G04645	AT1G04645	1	1293770	1294263
AT1G04650	AT1G04650	1	1298856	1299002
AT1G04660	AT1G04660	1	1300486	1301773
AT1G04670	AT1G04670	1	1301861	1302089
AT1G04680	AT1G04680	1	1307680	1307884
AT1G04684	AT1G04684	1	1310430	1310579
KAB1	AT1G04690	1	1313564	1314029
AT1G04700	AT1G04700	1	1316254	1316437
KAT1	AT1G04710	1	1321904	1322018
AT1G04720	AT1G04720	1	1324923	1324960
CTF18	AT1G04730	1	1330680	1331086
VAMP721	AT1G04750	1	1333237	1333567
VAMP726	AT1G04760	1	1334760	1334949
AT1G04770	AT1G04770	1	1337648	1337849
AT1G04778	AT1G04778	1	1339892	1340175
AT1G04780	AT1G04780	1	1341340	1343584
AT1G04790	AT1G04790	1	1345036	1345108
AT1G04800	AT1G04800	1	1348452	1349286
RPN2B	AT1G04810	1	1350180	1350449
TUBA4	AT1G04820	1	1358174	1358386
AT1G04830	AT1G04830	1	1361539	1361981
PCMP-H64	AT1G04840	1	1363798	1364962
AT1G04850	AT1G04850	1	1368539	1368844
UBP2	AT1G04860	1	1372828	1373101
PRMT10	AT1G04870	1	1375383	1375742
HMGB15	AT1G04880	1	1379093	1379185
AT1G04890	AT1G04890	1	1382351	1382599
AT1G04900	AT1G04900	1	1383841	1384040
AT1G04910	AT1G04910	1	1391067	1391187
SPS3	AT1G04920	1	1395463	1395864
AT1G04930	AT1G04930	1	1398440	1399053
TIC20-I	AT1G04940	1	1399182	1399322
AT1G04945	AT1G04945	1	1400908	1401155
TAF6	AT1G04950	1	1407314	1407468
AT1G04960	AT1G04960	1	1410619	1410868
AT1G04970	AT1G04970	1	1411170	1411623
PDIL2-2	AT1G04980	1	1415986	1416144
AT1G04985	AT1G04985	1	1418175	1418482
AT1G04990	AT1G04990	1	1421379	1421789
AT1G05000	AT1G05000	1	1425593	1425925
ACO4	AT1G05010	1	1432591	1432858
AP180	AT1G05020	1	1435254	1437667
AT1G05030	AT1G05030	1	1441217	1441417
AT1G05040	AT1G05040	1	1448141	1448448
ATGTF2H2	AT1G05055	1	1450577	1450887
AT1G05060	AT1G05060	1	1452509	1452872
AT1G05061	AT1G05061	1	1453216	1454260
CLE20	AT1G05065	1	1454969	1455220
AT1G05070	AT1G05070	1	1458348	1458744
AT1G05080	AT1G05080	1	1459091	1459978
AT1G05085	AT1G05085	1	1460988	1461125
AT1G05090	AT1G05090	1	1463202	1463528
MAPKKK18	AT1G05100	1	1469610	1470881
AT1G05120	AT1G05120	1	1476022	1476078
AT1G05135	AT1G05135	1	1477500	1478821
AT1G05136	AT1G05136	1	1478923	1479063
ARASP2	AT1G05140	1	1482548	1484056
AT1G05150	AT1G05150	1	1484067	1486960
KAO1	AT1G05160	1	1490730	1490947
B3GALT2	AT1G05170	1	1493822	1494248
AXR1	AT1G05180	1	1501690	1501824
RPL6	AT1G05190	1	1503704	1503830
GLR3.4	AT1G05200	1	1505317	1505462
AT1G05205	AT1G05205	1	1510139	1510281
AT1G05210	AT1G05210	1	1510404	1510792
AT1G05220	AT1G05220	1	1511907	1512263
HDG2	AT1G05230	1	1517176	1517248
PER1	AT1G05240	1	1521137	1521414
PER1	AT1G05250	1	1526957	1527234
PER3	AT1G05260	1	1529767	1530039
AT1G05270	AT1G05270	1	1533943	1534410
AT1G05280	AT1G05280	1	1537011	1537525
AT1G05290	AT1G05290	1	1540082	1540562
AT1G05291	AT1G05291	1	1542192	1542432
ZIP5	AT1G05300	1	1547083	1547849
PME8	AT1G05310	1	1552049	1552517
AT1G05320	AT1G05320	1	1553608	1553759
AT1G05330	AT1G05330	1	1558170	1558583
AT1G05340	AT1G05340	1	1559616	1559903
AT1G05350	AT1G05350	1	1563925	1564123
KMS2	AT1G05360	1	1564598	1564861
AT1G05370	AT1G05370	1	1572173	1572280
AT1G05380	AT1G05380	1	1576863	1577127
PSB27-2	AT1G05385	1	1583570	1583718
AT1G05390	AT1G05390	1	1583772	1583845
AT1G05400	AT1G05400	1	1584073	1584152
AT1G05410	AT1G05410	1	1587596	1587778
OFP12	AT1G05420	1	1590073	1590753
AT1G05430	AT1G05430	1	1595675	1595818
AT1G05440	AT1G05440	1	1597133	1597848
AT1G05450	AT1G05450	1	1600454	1600533
SDE3	AT1G05460	1	1604890	1605027
CVP2	AT1G05470	1	1611262	1611703
CLSY3	AT1G05490	1	1623297	1623452
SYT5	AT1G05500	1	1624955	1625202
AT1G05510	AT1G05510	1	1629446	1629672
AT1G05520	AT1G05520	1	1634918	1635711
UGT75B2	AT1G05530	1	1636496	1637863
AT1G05540	AT1G05540	1	1639286	1639401
AT1G05550	AT1G05550	1	1642586	1642662
UGT75B1	AT1G05560	1	1645498	1647147
AT1G05562	AT1G05562	1	1645875	1647162
CALS1	AT1G05570	1	1659256	1659437
AT1G05575	AT1G05575	1	1661691	1662187
AT1G05577	AT1G05577	1	1664156	1664398
CHX23	AT1G05580	1	1668540	1668902
HEXO2	AT1G05590	1	1669350	1669527
AT1G05600	AT1G05600	1	1672099	1673748
APS2	AT1G05610	1	1675485	1675934
AT1G05615	AT1G05615	1	1678116	1678270
URH2	AT1G05620	1	1679158	1679337
5PTASE13	AT1G05630	1	1682318	1683299
AT1G05640	AT1G05640	1	1688898	1689501
AT1G05650	AT1G05650	1	1691689	1692126
AT1G05660	AT1G05660	1	1695621	1696058
AT1G05670	AT1G05670	1	1698136	1701025
UGT74E1	AT1G05675	1	1702071	1702749
UGT74E2	AT1G05680	1	1703995	1704691
BT3	AT1G05690	1	1707011	1707195
AT1G05700	AT1G05700	1	1709796	1709883
AT1G05710	AT1G05710	1	1716022	1716308
AT1G05730	AT1G05730	1	1718555	1719235
AT1G05720	AT1G05720	1	1718672	1718909
AT1G05740	AT1G05740	1	1720674	1720802
PDE247	AT1G05750	1	1721509	1724734
RTM1	AT1G05760	1	1724234	1724486
JAL2	AT1G05770	1	1726032	1726283
AT1G05780	AT1G05780	1	1726608	1726857
AT1G05785	AT1G05785	1	1730249	1730332
AT1G05790	AT1G05790	1	1733039	1733299
DGL	AT1G05800	1	1741204	1742619
BHLH128	AT1G05805	1	1744773	1745317
ARA	AT1G05810	1	1748314	1748776
SPPL5	AT1G05820	1	1749682	1749913
ATX2	AT1G05830	1	1754244	1755077
AT1G05835	AT1G05835	1	1762224	1762308
AT1G05840	AT1G05840	1	1765918	1766281
CTL1	AT1G05850	1	1768548	1768695
AT1G05860	AT1G05860	1	1769014	1769638
AT1G05870	AT1G05870	1	1772739	1773293
ARI12	AT1G05880	1	1775643	1775887
ARI5	AT1G05890	1	1779357	1779786
AT1G05894	AT1G05894	1	1784803	1786292
NTH2	AT1G05900	1	1786856	1787043
AT1G05910	AT1G05910	1	1790224	1790346
AT1G05920	AT1G05920	1	1796778	1798254
AT1G05925	AT1G05925	1	1798901	1799062
AT1G05930	AT1G05930	1	1799418	1800289
CAT9	AT1G05940	1	1803693	1803984
AT1G05950	AT1G05950	1	1807307	1807471
AT1G05960	AT1G05960	1	1815392	1815474
AT1G05970	AT1G05970	1	1817228	1817282
AT1G05980	AT1G05980	1	1817400	1817471
CML7	AT1G05990	1	1818447	1819040
UGT89C1	AT1G06000	1	1820308	1821894
AT1G06002	AT1G06002	1	1820977	1821918
AT1G06010	AT1G06010	1	1822618	1822683
AT1G06020	AT1G06020	1	1824548	1824949
AT1G06030	AT1G06030	1	1826880	1827284
BBX24	AT1G06040	1	1829477	1829890
AT1G06050	AT1G06050	1	1832338	1832555
AT1G06060	AT1G06060	1	1832943	1833097
AT1G06070	AT1G06070	1	1837428	1837648
ADS1	AT1G06080	1	1843568	1843990
AT1G06090	AT1G06090	1	1847883	1848232
AT1G06100	AT1G06100	1	1851530	1851841
SKIP16	AT1G06110	1	1854735	1855031
AT1G06120	AT1G06120	1	1855943	1856274
GLX2-4	AT1G06130	1	1860587	1860730
AT1G06135	AT1G06135	1	1862197	1862742
AT1G06137	AT1G06137	1	1863544	1863750
PCMP-E61	AT1G06140	1	1864796	1866472
EMB1444	AT1G06150	1	1873100	1873718
CPuORF8	AT1G06149	1	1873100	1873718
AT1G06148	AT1G06148	1	1877043	1877528
ERF094	AT1G06160	1	1883004	1883934
BHLH89	AT1G06170	1	1886787	1886897
ATMYB13	AT1G06180	1	1889408	1889642
RHON1	AT1G06190	1	1894033	1894148
AT1G06200	AT1G06200	1	1896781	1896935
AT1G06210	AT1G06210	1	1897203	1897304
MEE5	AT1G06220	1	1899964	1900107
CLE3	AT1G06225	1	1905975	1906226
GTE4	AT1G06230	1	1907089	1907169
AT1G06240	AT1G06240	1	1911122	1911567
AT1G06250	AT1G06250	1	1914615	1914895
AT1G06260	AT1G06260	1	1916430	1916893
AT1G06265	AT1G06265	1	1917302	1917661
AT1G06270	AT1G06270	1	1919507	1919760
LBD2	AT1G06280	1	1920307	1920949
ACX3	AT1G06290	1	1922352	1922892
ACX3.2	AT1G06310	1	1926791	1927271
AT1G06320	AT1G06320	1	1930523	1930700
AT1G06330	AT1G06330	1	1932158	1932266
AT1G06340	AT1G06340	1	1933284	1934014
AT1G06350	AT1G06350	1	1936475	1936819
AT1G06360	AT1G06360	1	1940106	1940459
AT1G06370	AT1G06370	1	1944650	1944934
AT1G06380	AT1G06380	1	1945124	1946076
ASK9	AT1G06390	1	1946788	1946964
RABA1A	AT1G06400	1	1952466	1952785
TPS7	AT1G06410	1	1954850	1954897
AT1G06420	AT1G06420	1	1958923	1959947
FTSH8	AT1G06430	1	1962971	1963011
AT1G06440	AT1G06440	1	1963380	1965051
CAF1-1	AT1G06450	1	1965840	1967219
ACD32.1	AT1G06460	1	1969310	1969561
AT1G06470	AT1G06470	1	1969729	1969883
AT1G06475	AT1G06475	1	1973834	1974386
AT1G06480	AT1G06480	1	1978084	1978157
CALS7	AT1G06490	1	1978762	1978996
AT1G06500	AT1G06500	1	1989479	1989526
AT1G06515	AT1G06515	1	1992053	1992197
AT1G06510	AT1G06510	1	1992333	1992545
GPAT1	AT1G06520	1	1995180	1996112
PMD2	AT1G06530	1	2001594	2002596
AT1G06540	AT1G06540	1	2003112	2003393
